playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
proksjo01,,Joseph,P.,Proksa,,,,Joe,G,0.0,0.0,73.0,185.0,Penn State,,1914-06-30,,,,,,,,1999-10-25,W
scrugch01,,Charlie,,Scruggs,,,,,F,0.0,0.0,72.0,180.0,Georgia Tech,,0000-00-00,,,,,,,,0000-00-00,W
schrobi01,,William,Henry,Schroeder,,,,Bill,G-F,0.0,0.0,72.0,190.0,Wisconsin,,1923-04-11,Sheboygan,WI,USA,Sheboygan Central,Sheboygan,WI,USA,2003-12-09,W
parsoch01,Chandler,Chandler,,Parsons,,,,,F,0.0,0.0,81.0,200.0,Florida,,1988-10-25,Casselberry,FK,USA,Lake Howell,Winter Park,FL,USA,0000-00-00,W
searced01,Ed,Edwin,,Searcy,,,,Ed,F,0.0,0.0,78.0,210.0,St. John's (NY),,1952-04-17,New York,NY,USA,Power Memorial,New York,NY,USA,0000-00-00,B
maydo01,Don,Donald,John,May,,,,"Don, Donnie",F,0.0,0.0,76.0,200.0,Dayton,,1946-01-03,Dayton,OH,USA,Belmont,Dayton,OH,USA,0000-00-00,W
perigbi01,,William,J.,Perigo,,,,Bill,F,0.0,0.0,72.0,180.0,Western Michigan,,1911-09-17,,,,Delphi,Delphi,IN,USA,1990-02-07,W
schenlu01,Luke,Luke,Dean,Schenscher,,,,,C,0.0,0.0,85.0,255.0,Georgia Tech,Australian Institute of Sport,1982-12-31,Hope Forest,,AUS,Lake Ginninderra College,Canberra,,AUS,0000-00-00,W
goldfbe01,Ben,Benjamin,Paul,Goldfaden,,,,Ben,F,0.0,0.0,73.0,185.0,George Washington,,1913-09-06,,,,Southside,Newark,NJ,USA,0000-00-00,W
obrieto01,,Tommy,,O'Brien,,,,,G-F,0.0,0.0,0.0,0.0,George Washington,,0000-00-00,,,,,,,,0000-00-00,W
evansma01,Maurice,Maurice,Eugene,Evans,,,,,G,0.0,0.0,77.0,220.0,Texas,Wichita State,1978-11-08,Wichita,KS,USA,Wichita Collegiate,Wichita,KS,USA,0000-00-00,B
murphal01,Allen,Allen,,Murphy,,,,,G-F,0.0,0.0,76.5,190.0,Louisville,,1952-07-15,Birmingham,AL,USA,Parker,Birmingham,AL,USA,0000-00-00,B
cartyja01,Jay,Jay,J.,Carty,,,Jr.,,F,0.0,0.0,79.5,220.0,Oregon State,,1941-07-04,West Plains,MO,USA,Burroughs,China Lake,CA,USA,0000-00-00,W
spanova01,Vassilis,Vassilis,,Spanoulis,,,,,G,0.0,0.0,76.0,188.0,none,,1982-07-08,Larissa,,GRE,,,,,0000-00-00,W
farledi01,Dick,Richard,L.,Farley,,,,Dick,G-F,0.0,0.0,76.0,190.0,Indiana,,1932-04-13,,,,Winslow,Winslow,IN,USA,1969-10-01,W
willira01,Ray,Thomas,Ray,Williams,,,,Ray,G,0.0,0.0,74.0,188.0,Minnesota,San Jacinto JC,1954-10-14,Mount Vernon,NY,USA,Mount Vernon,Mount Vernon,NY,USA,0000-00-00,B
heanebr01,Brian,Brian,Patrick,Heaney,,,,,G,0.0,0.0,74.0,180.0,Acadia,,1946-09-03,Rockaway Beach,NY,USA,Bishop Laughlin,Brooklyn,NY,USA,0000-00-00,W
mckeeje01,Jerry,Gerald,,McKee,,,,Jerry,G,0.0,0.0,75.0,190.0,Ohio University,,1946-08-04,,,,Dunbar,Dayton,OH,USA,0000-00-00,B
mulleby01,Byron,Byron,James,Mullens,,,,B.J.,C,0.0,0.0,84.0,275.0,Ohio State,,1989-02-14,Canal Winchester,OH,USA,Canal Winchester,Canal Winchester,OH,USA,0000-00-00,W
reynoje01,Jerry,Jerry,,Reynolds,,,,Ice,G-F,0.0,0.0,80.0,198.0,Louisiana State,Madison Area Tech,1962-12-23,Brooklyn,NY,USA,Alexander Hamilton,Brooklyn,NY,USA,0000-00-00,B
oliveji01,Jimmy,Jimmy,Allen,Oliver,,,,,G-F,0.0,0.0,77.0,205.0,Purdue,,1969-07-12,Menifee,AR,USA,Morrilton,Morrilton,AR,USA,0000-00-00,B
wrighbr03,Brandan,Brandan,Keith,Wright,,,,,F,0.0,0.0,81.0,205.0,North Carolina,,1987-10-05,Nashville,TN,USA,Brentwood Academy,Brentwood,TN,USA,0000-00-00,B
whiteol01,,Ollie,,White,,,,,F,0.0,0.0,72.0,185.0,Michigan State,,0000-00-00,,,,Shaw,Cleveland,OH,USA,0000-00-00,W
bracest01,Steve,Stephen,Henry,Bracey,,,,Steve,G,0.0,0.0,73.0,175.0,Tulsa,Kilgore JC,1950-08-01,Brooklyn,NY,USA,Midwood,Brooklyn,NY,USA,0000-00-00,B
thompge01,George,George,,Thompson,,,,"Tip, Tipper",G,0.0,0.0,74.0,200.0,Marquette,,1947-11-29,Brooklyn,NY,USA,Erasmus Hall,Brooklyn,NY,USA,0000-00-00,B
bramlaj01,A.J.,Aaron,Jordan,Bramlett,,,,A.J.,C,0.0,0.0,82.0,227.0,Arizona,,1977-01-10,DeKalb,IL,USA,La Cueva,Albuquerque,NM,USA,0000-00-00,W
piotrto01,Tom,Thomas,Tracy,Piotrowski,,,,Tom,C,0.0,0.0,85.0,240.0,LaSalle,,1960-10-17,West Chester,PA,USA,Great Valley,Newtown Square,PA,USA,0000-00-00,W
divacvl01,Vlade,Vlade,,Divac,,,,,C,0.0,0.0,83.0,243.0,none,,1968-02-03,Prijepolje,,YUG,Belgrade,Belgrade   ,,YUG,0000-00-00,W
sundedo01,Don,Don,J.,Sunderlage,,,,,G,0.0,0.0,73.0,180.0,Illinois,,1929-12-20,Roselle,IL,USA,Elgin,Elgin,IL,USA,1961-07-15,W
hudsolo01,Lou,Louis,Clyde,Hudson,,,,"Lou, Sweet Lou, Super Lou",F-G,0.0,0.0,76.5,205.0,Minnesota,,1944-07-11,Greensboro,NC,USA,Dudley Senior,Greensboro,NC,USA,0000-00-00,B
leaksma01,Manny,Emanuel,,Leaks,,,Jr.,Manny,C-F,0.0,0.0,80.0,225.0,Niagara,,1945-11-27,Cleveland,OH,USA,John Adams / East,Cleveland,OH,USA,0000-00-00,B
mortori01,Richard,Richard,,Morton,,,,,G,0.0,0.0,75.0,190.0,Cal. State - Fullerton,,1966-02-02,San Francisco,CA,USA,Balboa,San Francisco,CA,USA,0000-00-00,B
johnsra01,Ralph,David,Ralph,Johnson,,,,"Boag, Ralph",G,0.0,0.0,71.0,170.0,Huntington,,1921-12-06,,,,Union Center,Huntington County,IN,USA,2005-07-13,W
vanardi01,Dick,Richard,Albert,Van Arsdale,,,,"Dick, Van, The Original Sun",G-F,0.0,0.0,76.5,202.0,Indiana,,1943-02-22,Indianapolis,IN,USA,Manual,Indianapolis,IN,USA,0000-00-00,W
carrau01,Austin,Austin,George,Carr,,,,,G,0.0,0.0,76.0,200.0,Notre Dame,,1948-03-10,Washington,DC,USA,Mackin,Washington,DC,USA,0000-00-00,B
durenjo01,John,John,Thomas,Duren,,,,,G,0.0,0.0,75.0,190.0,Georgetown,,1958-10-30,Washington,DC,USA,Dunbar,Washington,DC,USA,0000-00-00,B
blounma01,Mark,Mark,D.,Blount,,,,,C,0.0,0.0,84.0,230.0,Pittsburgh,,1975-11-30,Dobbs Ferry,NY,USA,Oak Hill Academy / Sacred Heart / Dobbs Ferry,Mouth of Wilson / Yonkers / Dobbs Ferry,VA / NY / NY,USA,0000-00-00,B
favorde01,Derrick,Derrick,Bernard,Favors,,,,,F,0.0,0.0,82.0,246.0,Georgia Tech,,1991-07-15,Atlanta,GA,USA,South Atlanta,Atlanta,GA,USA,0000-00-00,B
evansre01,Reggie,Reginald,Jamaal,Evans,,,,Reggie,F-C,0.0,0.0,80.0,245.0,Iowa,Coffeyville JC,1980-05-18,Pensacola,FL,USA,Woodham,Pensacola,FL,USA,0000-00-00,B
hinriki01,Kirk,Kirk,James,Hinrich,,,,,G,0.0,0.0,75.0,190.0,Kansas,,1981-01-02,Sioux City,IA,USA,Sioux City West,Sioux City,IA,USA,0000-00-00,W
dougljo01,John,John,David,Douglas,,,,,G,0.0,0.0,74.0,170.0,Kansas,John C. Calhoun CC.,1956-06-12,Town Creek,AL,USA,Colbert County,Leighton,AL,USA,0000-00-00,B
riordmi01,Mike,Michael,W.,Riordan,,,,Mike,G-F,0.0,0.0,76.0,200.0,Providence,,1945-07-09,New York,NY,USA,Holy Cross,Flushing,NY,USA,0000-00-00,W
greenta01,Taurean,Taurean,,Green,,,,,G,0.0,0.0,72.0,177.0,Florida,,1986-11-28,Boca Raton,FL,USA,Lk Howell/Westminster/Pendleton/Card. Gibbons,Orlando/Ft. Lauderdale/Bradenton/Raleigh,FL/FL/FL/NC,USA,0000-00-00,B
owesra01,Ray,Raymond,,Owes,,,,Ray,F,0.0,0.0,81.0,224.0,Arizona,,1972-12-11,San Bernardino,CA,USA,San Bernardino,San Bernardino,CA,USA,0000-00-00,B
