id,draftyear,draftround,draftselection,draftoverall,tmid,firstname,lastname,suffixname,playerid,draftfrom,lgid
8,1967,0,0,0,ANA,Эдгар,Лейси,,lacyed01,ОАКЛА,ABA
10,1967,0,0,0,ANA,Малкольм,Сильные,,,Сиэтл,ABA
18,1967,0,0,0,DNR,Вон,Харпер,,,Сиракуз,ABA
24,1967,0,0,0,DNR,Билл,Тёрнер,,turnebi01,Акрон,ABA
33,1967,0,0,0,DLC,Дуэйн,Хекман,,,Дикинсон,ABA
55,1967,0,0,0,INA,Джерри,Джонс,,,Айова,ABA
56,1967,0,0,0,INA,Рон,Козлики,,kozliro01,Северо-западный,ABA
64,1967,0,0,0,KEN,Вилли,Волны,,,Бостонский колледж,ABA
72,1967,0,0,0,KEN,Джон,Смит,,,Государство Кент,ABA
100,1967,0,0,0,NOB,Джордж,Картер,,cartege01,Сент-Бонатура,ABA
108,1967,0,0,0,OAK,Ричи,Мур,,mooreri01,Хирам Скотт,ABA
116,1967,0,0,0,OAK,Билл,Морган,,,Новая Мексика,ABA
126,1967,0,0,0,PTP,Майк,Риордан,,riordmi01,Провидение,ABA
131,1968,0,0,0,DNR,Уолт,Пьяковски,,piatkwa01,Зеленый боулинг,ABA
132,1968,0,0,0,DNR,Билл,Хьюитт,,hewitbi01,Южная Калифорния,ABA
135,1968,0,0,0,DNR,Чарли,Парки,,parksch01,Штат Айдахо,ABA
140,1968,0,0,0,DNR,Мелвин,Джонс,,,Государство Олбани (ГА),ABA
145,1968,0,0,0,DLC,Богатый,Джонс,,jonesri01,Государство Мемфис,ABA
164,1968,0,0,0,HSM,Аарон,Продавцы,,,Государство Джексон,ABA
168,1968,0,0,0,HSM,Майк,Нордхольц,,,Алабама,ABA
177,1968,0,0,0,INA,Дон,Май,,maydo01,Дейтон,ABA
188,1968,0,0,0,INA,Том,Нимиер,,,Эвансвилль,ABA
189,1968,0,0,0,KEN,Уэйн,Чапман,,chapmwa01,Западный Кентукки,ABA
203,1968,0,0,0,KEN,Боб,Зоретих,,,Де Поль,ABA
207,1968,0,0,0,KEN,Бо,Вайнандт,,,Вандербильт,ABA
244,1968,0,0,0,MNP,Сэм,Уильямс,,willisa01,Айова,ABA
255,1968,0,0,0,NOB,Майк,Батлер,,,Государство Мемфис,ABA
263,1968,0,0,0,NOB,Дэйв,Уильямс,,,Государство Миссисипи,ABA
283,1968,0,0,0,OAK,Боб,Кауфман,,kauffbo01,Гилфорд,ABA
