year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1968,NBA,SEA,SEA,,WD,6,0,,Сиэтл Суперзоника,3543,8149,2105,2979,0,0,0,0,4498,1927,2281,0,0,0,9191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9589,0,0,18,18,6,29,6,5,0,0,15,23,0,30,52,82,19830.0,Центр Сиэтла &lt; &lt; Колизей &gt; &gt;,32767,SEA
2005,NBA,TOR,TOR,EC,AT,4,12,,Торонто Рапторс,3013,6639,1653,2089,608,1620,864,2291,3155,1593,1965,529,1071,272,8287,3164,6448,1696,508,1363,2267,835,2539,3374,1938,1834,518,1165,359,8532,0,0,15,26,12,29,0,0,20,32,6,10,0,27,55,82,19955.0,Центр &lt; &lt; Эйр-Канад &gt; &gt;,32767,TOR
2007,NBA,SAS,SAS,WC,SW,2,3,CF,Сан-Антонио Спорс,2938,6424,1350,1774,594,1610,771,2612,3383,1718,1537,521,981,337,7820,2857,6431,1293,420,1227,1710,776,2527,3303,1490,1625,566,1009,361,7427,0,0,34,7,22,19,0,0,33,19,10,6,90,56,26,82,19730.0,Центр AT&T,32767,
1962,NBA,LAL,LAL,,WD,1,0,F,Лос-Анджелес Лейкерс,3506,7948,2230,2931,0,0,0,0,5282,1739,1775,0,0,0,9242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8992,711,0,27,7,20,17,6,3,0,0,33,13,0,53,27,80,19350.0,Лос-Анджелесская мемориальная спортивная арена,32767,LAL
1946,NBL,YOU,YOU,,EA,6,0,,Медведи Youngstown,925,0,505,819,0,0,0,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0,0,10,12,2,20,0,0,0,0,0,0,0,12,32,44,,,0,YOU
2011,NBA,LAL,LAL,WC,PC,1,0,CS,Лос-Анджелес Лейкерс,2429,5319,1202,1589,362,1112,799,2251,3050,1485,1109,390,997,351,6422,2492,5703,901,1215,443,1274,758,1946,2704,1446,1332,556,745,302,6328,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,0,,,0,
1996,NBA,SAS,SAS,WC,MW,6,13,,Сан-Антонио Спорс,2827,6391,1386,1929,378,1180,1101,2129,3230,1661,1764,646,1243,431,7418,3002,6379,1508,552,1425,2042,1048,2302,3350,1955,1646,664,1180,448,8064,0,0,12,29,8,33,0,0,12,40,8,16,0,20,62,82,19730.0,Аламодоме,32767,SAN
2005,NBA,NOK,NOH,WC,SW,4,10,,НЕТ/Оклахома Городские Шершени,2831,6428,1649,2176,300,885,918,2379,3297,1519,1786,611,1095,311,7611,2883,6286,1530,546,1486,2014,860,2498,3358,1584,1910,527,1197,432,7842,0,0,24,17,14,27,0,0,25,27,7,9,0,38,44,82,19805.0,Центр Форда,32767,NOH
1995,NBA,BOS,BOS,EC,AT,5,11,,Бостонская кельтика,3163,6942,1630,2284,539,1453,1050,2427,3477,1792,2041,653,1302,406,8495,3296,6856,1767,415,1162,2366,1040,2590,3630,1916,1965,667,1314,489,8774,0,0,18,23,15,26,0,0,23,31,12,12,0,33,49,82,19905.0,FleetCenter,32767,BOS
1952,NBA,BOS,BOS,,ED,3,0,DF,Бостонская кельтика,2177,5555,1904,2617,0,0,0,0,3865,1666,1911,0,0,0,6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090,387,0,21,3,11,18,14,4,0,0,28,13,0,46,25,71,17190.0,Бостонский сад,32767,BOS
1947,NBL,OSH,OSH,,WE,3,0,CS,Все звезды Ошкоша,1328,0,926,1376,0,0,0,0,0,0,0,0,0,0,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,0,0,20,8,8,20,1,3,0,0,0,0,0,29,31,60,,,0,OSH
1947,PBLA,HMV,HMV,,SO,7,0,,Хьюстон Маверики,48,0,25,41,0,0,0,0,0,0,25,0,0,0,121,40,0,18,31,0,0,0,0,0,0,27,0,0,0,98,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,,Муниципальная аудитория,0,
2010,NBA,LAL,LAL,WC,PC,1,0,CS,Лос-Анджелес Лейкерс,3128,6757,1541,1979,524,1487,989,2616,3605,1801,1555,602,1073,422,8321,3008,6888,1246,1628,558,1668,1002,2399,3401,1827,1700,585,1116,372,7820,0,0,0,0,0,0,0,0,0,0,0,0,0,57,25,0,,,0,
