coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
schulmi01,1988,POR,NBA,1,25,22,0.0,0.0
rochare01,1959,DET,NBA,1,13,21,0.0,0.0
brownmi02,2006,CLE,NBA,1,50,32,12.0,8.0
cervial01,1956,SYR,NBA,1,4,8,0.0,0.0
hollili01,2008,MEM,NBA,3,13,26,0.0,0.0
guokama02,1990,ORL,NBA,1,31,51,0.0,0.0
brownhe01,1975,DET,NBA,2,19,21,4.0,5.0
youngdr01,1973,KCO,NBA,2,0,3,0.0,0.0
johnsfr01,2002,PHO,NBA,1,44,38,2.0,4.0
vanguje01,1999,NYK,NBA,1,50,32,9.0,7.0
moedo01,1979,SAS,NBA,1,33,33,0.0,0.0
dunlemi01,1992,MIL,NBA,1,28,54,0.0,0.0
frankla01,2006,NJN,NBA,1,41,41,6.0,6.0
brooksc01,2010,OKC,NBA,1,55,27,9.0,8.0
walkeda01,1999,WAS,NBA,1,15,23,0.0,0.0
hillbo01,1990,IND,NBA,2,32,25,2.0,3.0
cowenda01,1978,BOS,NBA,2,27,41,0.0,0.0
adubari01,1992,DAL,NBA,1,2,27,0.0,0.0
brownla01,2008,CHA,NBA,1,35,47,0.0,0.0
nelsodo01,1989,GSW,NBA,1,37,45,0.0,0.0
leonasl01,1970,INA,ABA,1,58,26,7.0,4.0
stjeaga01,1993,SAC,NBA,1,28,54,0.0,0.0
westppa01,1993,PHO,NBA,1,56,26,6.0,4.0
russebi01,1966,BOS,NBA,1,60,21,4.0,5.0
lynamji01,1983,SDC,NBA,1,30,52,0.0,0.0
brownla01,2001,PHI,NBA,1,43,39,2.0,3.0
rileypa01,1992,NYK,NBA,1,60,22,9.0,6.0
attleal01,1977,GSW,NBA,1,43,39,0.0,0.0
hollili01,2011,MEM,NBA,1,41,25,3.0,4.0
moedo01,1982,DEN,NBA,1,45,37,3.0,5.0
tomjaru01,2002,HOU,NBA,1,43,39,0.0,0.0
kauffbo01,1977,DET,NBA,2,29,29,0.0,0.0
wetzejo01,1987,PHO,NBA,1,28,54,0.0,0.0
hannual01,1969,SDR,NBA,2,18,38,0.0,0.0
delnevi01,2010,LAC,NBA,1,32,50,0.0,0.0
auerbre01,1953,BOS,NBA,1,42,30,2.0,4.0
dehnehe01,1947,CHT,PBLA,1,3,3,,
dalych01,1990,DET,NBA,1,50,32,7.0,8.0
russebi01,1973,SEA,NBA,1,36,46,0.0,0.0
jacksph01,1992,CHI,NBA,1,57,25,15.0,4.0
littlge01,1989,CHH,NBA,2,11,31,0.0,0.0
loughke01,1974,NYA,ABA,1,58,26,1.0,4.0
pritcke01,2004,POR,NBA,2,5,22,0.0,0.0
johnsph01,1981,CHI,NBA,2,0,1,0.0,0.0
costela01,1973,MIL,NBA,1,59,23,11.0,5.0
leonasl01,1979,IND,NBA,1,37,45,0.0,0.0
juckeed01,1967,CIN,NBA,1,39,43,0.0,0.0
scottby01,2000,NJN,NBA,1,26,56,0.0,0.0
attleal01,1976,GSW,NBA,1,46,36,5.0,5.0
stjeaga01,1992,SAC,NBA,1,25,57,0.0,0.0
vanbrbu01,1968,LAL,NBA,1,55,27,11.0,7.0
krystla01,2006,MIL,NBA,2,5,13,0.0,0.0
wohlda01,1985,NJN,NBA,1,39,43,0.0,3.0
gueriri01,1970,ATL,NBA,1,36,46,1.0,4.0
fitzsco01,1989,PHO,NBA,1,54,28,9.0,7.0
chanedo01,2003,NYK,NBA,1,15,24,0.0,0.0
hillbo01,1994,SAS,NBA,1,62,20,9.0,6.0
harrile01,1953,ROC,NBA,1,44,28,3.0,3.0
albecst01,1982,SAS,NBA,1,53,29,6.0,5.0
nelsodo01,1976,MIL,NBA,2,27,37,0.0,0.0
nelsodo01,1977,MIL,NBA,1,44,38,5.0,4.0
nelsodo01,1978,MIL,NBA,1,38,44,0.0,0.0
nelsodo01,1979,MIL,NBA,1,49,33,3.0,4.0
nelsodo01,1980,MIL,NBA,1,60,22,3.0,4.0
nelsodo01,1981,MIL,NBA,1,55,27,2.0,4.0
nelsodo01,1982,MIL,NBA,1,51,31,5.0,4.0
nelsodo01,1983,MIL,NBA,1,50,32,8.0,8.0
nelsodo01,1984,MIL,NBA,1,59,23,3.0,5.0
nelsodo01,1985,MIL,NBA,1,57,25,7.0,7.0
nelsodo01,1986,MIL,NBA,1,50,32,6.0,6.0
nelsodo01,1988,GSW,NBA,1,43,39,4.0,4.0
nelsodo01,1990,GSW,NBA,1,44,38,4.0,5.0
nelsodo01,1991,GSW,NBA,1,55,27,1.0,3.0
nelsodo01,1992,GSW,NBA,1,34,48,0.0,0.0
nelsodo01,1993,GSW,NBA,1,50,32,0.0,3.0
nelsodo01,1994,GSW,NBA,1,14,31,0.0,0.0
nelsodo01,1995,NYK,NBA,1,34,25,0.0,0.0
nelsodo01,1997,DAL,NBA,2,16,50,0.0,0.0
nelsodo01,1998,DAL,NBA,1,19,31,0.0,0.0
nelsodo01,1999,DAL,NBA,1,40,42,0.0,0.0
nelsodo01,2000,DAL,NBA,1,53,29,4.0,6.0
nelsodo01,2001,DAL,NBA,1,57,25,4.0,4.0
nelsodo01,2002,DAL,NBA,1,60,22,10.0,10.0
nelsodo01,2003,DAL,NBA,1,52,30,1.0,4.0
nelsodo01,2004,DAL,NBA,1,42,22,0.0,0.0
nelsodo01,2006,GSW,NBA,1,42,40,5.0,6.0
nelsodo01,2007,GSW,NBA,1,48,34,0.0,0.0
nelsodo01,2008,GSW,NBA,1,29,53,0.0,0.0
nelsodo01,2009,GSW,NBA,1,26,56,0.0,0.0
mccarba01,1969,NOB,ABA,1,42,42,0.0,0.0
dunlemi01,2009,LAC,NBA,1,21,28,0.0,0.0
mottadi01,1981,DAL,NBA,1,28,54,0.0,0.0
wilkele01,1969,SEA,NBA,1,36,46,0.0,0.0
gottled01,1952,PHW,NBA,1,12,57,0.0,0.0
