id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
3,1946,КФ,"""М"" в русском языке будет ""m"".",PHW,NBA,STB,NBA,2,1
11,1947,ДТ,А,BLB,NBA,CHS,NBA,1,0
12,1947,ДТ,А,CHS,NBA,WSC,NBA,1,0
15,1948,F sf,"""Джей"".",NYK,NBA,BLB,NBA,2,1
38,1950,F sf,"""Джей"".",MNL,NBA,INO,NBA,2,1
44,1951,"Текущая дата и время: 24 апреля 2024 года, среда, 12:37 (по местному времени).","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,ROC,NBA,3,1
67,1954,F sf,"""Джей"".",MNL,NBA,ROC,NBA,2,1
70,1955,ДТ,А,SYR,NBA,NYK,NBA,1,0
79,1956,F sf,"""Джей"".",MNL,NBA,FTW,NBA,2,0
84,1957,F,О,STL,NBA,BOS,NBA,4,2
90,1958,"Текущая дата и время: 24 апреля 2024 года, среда, 12:37 (по местному времени).","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,STL,NBA,4,2
104,1961,F,О,BOS,NBA,LAL,NBA,4,3
105,1961,"Текущая дата и время: 24 апреля 2024 года, среда, 12:37 (по местному времени).","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",LAL,NBA,DET,NBA,4,2
114,1963,F,О,BOS,NBA,SFW,NBA,4,1
126,1965,F sf,"""Джей"".",STL,NBA,BAL,NBA,3,0
135,1967,F sf,"""Джей"".",BOS,NBA,DET,NBA,4,2
141,1968,"Текущая дата и время: 24 апреля 2024 года, среда, 12:37 (по местному времени).","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",BOS,NBA,NYK,NBA,4,2
142,1968,F sf,"""Джей"".",NYK,NBA,BAL,NBA,4,0
166,1971,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",LAL,NBA,MIL,NBA,4,2
167,1971,Кофеиновый нейростимулятор,"""М"" в русском языке будет ""m"".",LAL,NBA,CHI,NBA,4,0
173,1972,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",LAL,NBA,GSW,NBA,4,1
182,1973,Кофеиновый нейростимулятор,"""М"" в русском языке будет ""m"".",CHI,NBA,DET,NBA,4,3
