playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
birdsot01,Птица,Отис,1979,Западный,NBA,1,14,2.0,,,0.0,0.0,,,,,2.0,1.0,0.0,0.0,,
chapple01,Чапелл,Лен,1963,Восточный,NBA,1,12,4.0,,,1.0,2.0,,,,,5.0,1.0,2.0,2.0,,
arizipa01,Аризин,Пол,1954,Восточный,NBA,1,23,9.0,,,2.0,2.0,,,,,9.0,4.0,2.0,1.0,,
kempsh01,Кемп,Шон,1997,Восточный,NBA,1,25,12.0,2.0,9.0,11.0,2.0,4.0,0.0,4.0,2.0,10.0,5.0,2.0,2.0,1.0,0.0
bakervi01,Бейкер,Вин,1997,Западный,NBA,1,21,8.0,6.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,12.0,3.0,2.0,2.0,0.0,0.0
vaughch01,Вон,Чико,1967,Восточный,ABA,1,4,6.0,0.0,0.0,0.0,0.0,,,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
johnsde01,Джонсон,Дэннис,1978,Западный,NBA,1,27,12.0,,,1.0,3.0,,,,,7.0,5.0,2.0,2.0,,
gueriri01,Герин,Ричи,1961,Восточный,NBA,1,27,23.0,,,3.0,1.0,,,,,17.0,10.0,6.0,3.0,,
cousybo01,Кузина,Боб,1952,Восточный,NBA,1,36,15.0,,,5.0,3.0,,,,,11.0,4.0,7.0,7.0,,
warlebe01,Уорли,Бен,1967,Западный,ABA,1,17,8.0,0.0,1.0,1.0,3.0,,,2.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0
wilkido01,Уилкинс,Доминик,1989,Восточный,NBA,1,16,13.0,,,0.0,4.0,,,,,10.0,5.0,2.0,2.0,,
brandel01,Бренд,Элтон,2001,Западный,NBA,1,19,6.0,5.0,5.0,10.0,1.0,0.0,1.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0
richmmi01,Ричмонд,Митч,1996,Западный,NBA,1,22,9.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,4.0,3.0
vanlino01,Ван Лир,Норма,1976,Западный,NBA,1,14,2.0,,,1.0,1.0,,,,,3.0,1.0,0.0,0.0,,
isselda01,Изель,Дэн,1970,Восточный,ABA,1,34,21.0,6.0,5.0,11.0,0.0,,,5.0,2.0,15.0,8.0,8.0,5.0,0.0,0.0
johnsde01,Джонсон,Дэннис,1984,Восточный,NBA,1,12,8.0,,,6.0,3.0,,,,,7.0,3.0,2.0,2.0,,
smithst01,Смит,Стив,1997,Восточный,NBA,1,16,14.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,5.0,2.0
pippesc01,Пиппен,Скотти,1993,Восточный,NBA,1,31,29.0,,,11.0,2.0,,,,,15.0,9.0,10.0,6.0,,
bingda01,Бинг,Дэйв,1972,Западный,NBA,1,19,2.0,,,3.0,0.0,,,,,4.0,0.0,2.0,2.0,,
ervinju01,Редактирование,Юлий,1973,Восточный,ABA,1,27,14.0,5.0,6.0,11.0,8.0,0.0,3.0,4.0,1.0,15.0,6.0,2.0,2.0,0.0,0.0
