id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
3,1946,QF,М,PHW,NBA,STB,NBA,2,1
11,1947,DT,A,BLB,NBA,CHS,NBA,1,0
12,1947,DT,A,CHS,NBA,WSC,NBA,1,0
15,1948,DSF,J,NYK,NBA,BLB,NBA,2,1
38,1950,DSF,J,MNL,NBA,INO,NBA,2,1
44,1951,DF,К,MNL,NBA,ROC,NBA,3,1
67,1954,DSF,J,MNL,NBA,ROC,NBA,2,1
70,1955,DT,A,SYR,NBA,NYK,NBA,1,0
79,1956,DSF,J,MNL,NBA,FTW,NBA,2,0
84,1957,F,O,STL,NBA,BOS,NBA,4,2
90,1958,DF,К,MNL,NBA,STL,NBA,4,2
104,1961,F,O,BOS,NBA,LAL,NBA,4,3
105,1961,DF,К,LAL,NBA,DET,NBA,4,2
114,1963,F,O,BOS,NBA,SFW,NBA,4,1
126,1965,DSF,J,STL,NBA,BAL,NBA,3,0
135,1967,DSF,J,BOS,NBA,DET,NBA,4,2
141,1968,DF,К,BOS,NBA,NYK,NBA,4,2
142,1968,DSF,J,NYK,NBA,BAL,NBA,4,0
166,1971,CF,Н,LAL,NBA,MIL,NBA,4,2
167,1971,СФК,М,LAL,NBA,CHI,NBA,4,0
173,1972,CF,Н,LAL,NBA,GSW,NBA,4,1
182,1973,СФК,М,CHI,NBA,DET,NBA,4,3
184,1974,КФП,L,HOU,NBA,NYK,NBA,2,1
189,1974,КФП,L,SEA,NBA,DET,NBA,2,1
190,1974,СФК,М,CHI,NBA,KCO,NBA,4,2
191,1974,СФК,М,GSW,NBA,SEA,NBA,4,2
208,1976,КФП,L,GSW,NBA,DET,NBA,2,1
210,1976,СФК,М,POR,NBA,DEN,NBA,4,2
224,1978,КФП,L,ATL,NBA,HOU,NBA,2,0
227,1978,СФК,М,WSB,NBA,ATL,NBA,4,3
230,1978,КФП,L,LAL,NBA,DEN,NBA,2,1
231,1978,КФП,L,PHO,NBA,POR,NBA,2,1
235,1979,КФП,L,PHI,NBA,WSB,NBA,2,0
238,1979,СФК,М,PHI,NBA,ATL,NBA,4,1
243,1979,СФК,М,LAL,NBA,PHO,NBA,4,1
248,1980,СФК,М,BOS,NBA,CHI,NBA,4,0
253,1980,СФК,М,HOU,NBA,SAS,NBA,4,3
254,1980,СФК,М,KCK,NBA,PHO,NBA,4,3
255,1981,CF,Н,PHI,NBA,BOS,NBA,4,3
262,1981,КФП,L,PHO,NBA,DEN,NBA,2,1
264,1981,СФК,М,LAL,NBA,PHO,NBA,4,0
268,1982,КФП,L,BOS,NBA,ATL,NBA,2,1
284,1983,F,O,BOS,NBA,LAL,NBA,4,3
286,1983,КФП,L,LAL,NBA,KCK,NBA,3,0
299,1984,F,O,LAL,NBA,BOS,NBA,4,2
311,1985,КФП,L,PHI,NBA,WSB,NBA,3,2
337,1987,КФП,L,BOS,NBA,NYK,NBA,3,1
341,1987,СФК,М,DET,NBA,CHI,NBA,4,1
345,1987,КФП,L,LAL,NBA,SAS,NBA,3,0
346,1987,КФП,L,DAL,NBA,HOU,NBA,3,1
356,1988,СФК,М,DET,NBA,MIL,NBA,4,0
362,1988,КФП,L,SEA,NBA,HOU,NBA,3,1
363,1988,СФК,М,LAL,NBA,SEA,NBA,4,0
374,1989,КФП,L,POR,NBA,DAL,NBA,3,0
378,1989,СФК,М,PHO,NBA,LAL,NBA,4,1
387,1990,F,O,CHI,NBA,LAL,NBA,4,1
403,1991,CF,Н,POR,NBA,UTA,NBA,4,2
406,1991,КФП,L,SEA,NBA,GSW,NBA,3,1
413,1992,КФП,L,NYK,NBA,IND,NBA,3,1
414,1992,КФП,L,CLE,NBA,NJN,NBA,3,2
417,1992,F,O,CHI,NBA,PHO,NBA,4,2
419,1992,КФП,L,SAS,NBA,POR,NBA,3,1
428,1993,КФП,L,NYK,NBA,NJN,NBA,3,1
432,1993,F,O,HOU,NBA,NYK,NBA,4,3
440,1994,CF,Н,ORL,NBA,IND,NBA,4,3
445,1994,СФК,М,ORL,NBA,CHI,NBA,4,2
451,1994,КФП,L,LAL,NBA,SEA,NBA,3,1
463,1995,CF,Н,SEA,NBA,UTA,NBA,4,3
466,1995,КФП,L,SEA,NBA,SAC,NBA,3,1
467,1995,КФП,L,UTA,NBA,POR,NBA,3,2
468,1995,СФК,М,SEA,NBA,HOU,NBA,4,0
470,1996,CF,Н,CHI,NBA,MIA,NBA,4,1
473,1996,КФП,L,ATL,NBA,DET,NBA,3,2
477,1996,F,O,CHI,NBA,UTA,NBA,4,2
493,1997,CF,Н,UTA,NBA,LAL,NBA,4,0
508,1998,CF,Н,SAS,NBA,POR,NBA,4,0
513,1998,СФК,М,SAS,NBA,LAL,NBA,4,0
548,2001,КФП,L,DET,NBA,TOR,NBA,3,2
557,2001,КФП,L,SAS,NBA,SEA,NBA,3,2
558,2001,СФК,М,LAL,NBA,SAS,NBA,4,1
563,2002,КФП,L,PHI,NBA,NOH,NBA,4,2
568,2002,CF,Н,SAS,NBA,DAL,NBA,4,2
576,2003,КФП,L,IND,NBA,BOS,NBA,4,0
577,2003,КФП,L,NJN,NBA,NYK,NBA,4,0
585,2003,КФП,L,LAL,NBA,HOU,NBA,4,1
590,2004,CF,Н,DET,NBA,MIA,NBA,4,3
594,2004,КФП,L,IND,NBA,BOS,NBA,4,3
596,2004,СФК,М,DET,NBA,IND,NBA,4,2
598,2004,CF,Н,SAS,NBA,PHO,NBA,4,1
606,2005,КФП,L,DET,NBA,MIL,NBA,4,1
617,2005,КФП,L,PHO,NBA,LAL,NBA,4,3
619,2005,СФК,М,PHO,NBA,LAC,NBA,4,3
639,2007,КФП,L,BOS,NBA,ATL,NBA,4,3
666,2009,КФП,L,ORL,NBA,CHA,NBA,4,0
677,2009,КФП,L,UTA,NBA,DEN,NBA,4,2
687,2010,F,O,DAL,NBA,MIA,NBA,4,2
689,2010,КФП,L,OKC,NBA,DEN,NBA,4,1
696,2011,КФП,L,IND,NBA,ORL,NBA,4,1
697,2011,КФП,L,MIA,NBA,NYK,NBA,4,1
710,1980,F,O,BOS,NBA,HOU,NBA,4,2
726,1968,DSF,B,OAK,ABA,DNR,ABA,4,3
734,1970,F,D,UTS,ABA,KEN,ABA,4,3
739,1970,DSF,B,INA,ABA,MMP,ABA,4,0
740,1970,DSF,B,UTS,ABA,TEX,ABA,4,0
747,1971,DSF,B,INA,ABA,DNR,ABA,4,3
748,1971,DSF,B,UTS,ABA,DLC,ABA,4,0
751,1972,DF,C,INA,ABA,UTS,ABA,4,2
760,1973,DSF,B,NYA,ABA,VIR,ABA,4,1
