File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
draft.csv,42,lastname,5,21,320.0,Knott,Узел@ info: whatsthis
draft.csv,461,lastname,7,27,285.7,Edmonds,&lt; &lt; Эдмондс &gt; &gt;
draft.csv,702,firstname,5,19,280.0,Truck,Грузовой автомобиль
draft.csv,956,lastname,4,14,250.0,Fair,Справедливость
draft.csv,1278,lastname,7,27,285.7,Fazekas,&lt; &lt; Фазекас &gt; &gt;
players.csv,41,highschool,13,44,238.5,Monaca Senior,Старший сотрудник &lt; &lt; Монака &gt; &gt;
players.csv,61,highschool,6,25,316.7,Ecorse,&lt; &lt; Экорс &gt; &gt;
players.csv,61,hscity,6,25,316.7,Ecorse,&lt; &lt; Экорс &gt; &gt;
players.csv,267,hscity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,399,highschool,6,25,316.7,Ecorse,&lt; &lt; Экорс &gt; &gt;
players.csv,399,hscity,6,25,316.7,Ecorse,&lt; &lt; Экорс &gt; &gt;
players.csv,567,lastname,5,16,220.0,Grate,Возьмите трубку.
players.csv,761,hscity,7,27,285.7,Edmonds,&lt; &lt; Эдмондс &gt; &gt;
players.csv,850,lastname,6,19,216.7,Outlaw,Незаконченное право
players.csv,927,highschool,14,43,207.1,Power Memorial,Мемориал &lt; &lt; Пауэр мемориал &gt; &gt;
players.csv,956,namenick,4,13,225.0,L.A.,Лос-Анджелес.
