playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
zasloma01,Макс,Макс,,Заслофский,,,,"Шлицы, «Осязание»",Г-Ф,0,0,74.0,170,Сент-Джонс (Нью-Йорк),,1925-12-07,Бруклин,Нью-Йорк,США,Томас Джефферсон,Бруклин,Нью-Йорк,США,1985-10-15,В
greende01,Дэвин,Дэвин,,Зелёный,,,,,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,79.0,210,Хэмптон,,1982-10-25,Колумбус,О,США,Бичкрофт,Колумбус,О,США,0000-00-00,Б
griffpa01,Паул,Паул,Arthur,Грифин,,,,Грифф,Ф-С,0,0,81.0,205,Западный Мичиган,,1954-01-20,Шелби,МИ,США,Шелби,Шелби,МИ,США,0000-00-00,В
adrieje01,Джефф,Джефф,,Адриен,,,,,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,79.0,243,Коннектикут,,1986-02-10,Бруклайн,МА,США,Бруклайн/Брустер Академия,Бруклайн/Уолфеборо,МА/НХ,США,0000-00-00,Б
hendece01,Седрик,Седрик,,Хендерсон,,,,,Ф-С,0,0,80.0,210,Грузия,,1965-10-03,Маретта,ГА,США,Маретта,Маретта,ГА,США,0000-00-00,Б
meyerto01,,Том,,Мейер,,,,,Ф-С,0,0,76.0,214,Детройт,,0000-00-00,,,,,,,,0000-00-00,В
korveky01,Кайл,Кайл,Elliot,Корвер,,,,,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,79.0,210,Крикстон,,1981-03-17,Лейквуд,Калифорния,США,Пелла,Пелла,Я,США,0000-00-00,В
battlke01,Кени,Кеннет,R.,Битва,,,,Кени,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,78.0,210,Иллинойс,Северная Иллинойс,1964-10-10,Аврора,ЕЛ,США,Аура-Хейл-Вест,Аврора,ЕЛ,США,0000-00-00,Б
baskeje01,Жيري,Жيري,W.,Баскервиль,,,,,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,79.0,190,Темпл,ЮНЛВ,1951-11-10,Филадельфия,ПА,США,Томас Эдисон,Филадельфия,ПА,США,0000-00-00,Б
workmha01,Хайвуд,Хайвуд,Wilvon,Рабочий,,,,,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,74.0,180,Орал Робертс,Уинстон-Салем Стейт,1966-01-23,Шарлотта,Н/Д,США,Майерс-парк,Шарлотта,Н/Д,США,0000-00-00,Б
barnena01,Наташа,Натаниэль,,Барнетт,,,ジュニア,Наташа,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,75.0,175,Акрон,,1953-01-29,,,,Меро,Балтимор,МД,США,0000-00-00,Б
blockjo01,Джон,Джон,William,Блок,,,ジュニア,,Ф-С,0,0,81.0,207,УЦС,,1944-04-16,Лос-Анджелес,Калифорния,США,Глендейл,Глендейл,Калифорния,США,0000-00-00,В
bennema01,Марио,Марио,Marcell,Бэннет,,,,,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,81.0,220,Аризонский государственный университет,,1973-08-01,Дентон,ТЭХ,США,Дентон,Дентон,ТЭХ,США,0000-00-00,Б
jackslu01,Лукас,Люсиоз,Brown,Джексон,,,,Лукас,Ф-С,0,0,81.0,240,Панамерикан,Техасский Южный Университет,1941-10-31,Сан-Маркос,ТЭХ,США,Моурзхов,Бастроп,Лос-Анджелес,США,0000-00-00,Б
buntdi01,Дик,Ричард,J.,Бунт,,,,Дик,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,72.0,170,Нью-Йоркский университет,,1930-07-13,Нью-Йорк,Нью-Йорк,США,Бэйсайд,Бэйсайд,Нью-Йорк,США,0000-00-00,В
hollawi01,Уильбур,Уильбур,,Голландия,,,,,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,72.0,175,Новый Орлеан,,1951-11-08,Колумбус,ГА,США,,,,,0000-00-00,Б
dennibl01,Блейн,Блейн,,Деннинг,,,,,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,74.0,175,Лоуренс Тек,,1930-09-19,Фултон,КЙ,США,Северный,Детройт,МИ,США,0000-00-00,Б
wintevo01,Голос,Голос,Lee,Зимы,,,,,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,80.0,200,Б래дли,,1962-10-12,Чикаго,ЕЛ,США,Парк Гейдж,Чикаго,ЕЛ,США,0000-00-00,Б
hammoju01,Юлиан,Юлиан,,Хаммонд,,,,Джули,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,77.0,205,Тульс,,1943-05-27,Чикаго,ЕЛ,США,Дюсанбль,Чикаго,ЕЛ,США,0000-00-00,Б
willilo01,Лоренцо,Лоренцо,,Уильямс,,,,"Ло, Зо",Ф-С,0,0,81.0,200,Стэтсон,Полк КК,1969-07-15,Оκαλла,ФЛ,США,Лес,Оκαλла,ФЛ,США,0000-00-00,Б
knoblbu01,,Бернард,,Чеснок,,,,Буз,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,73.0,170,Карролл (Висконсин),,0000-00-00,,,,Томах,Томах,ВИ,США,0000-00-00,В
webstma02,Мартелль,Мартелль,,Вебстер,,,,,Ф-Г,0,0,79.0,210,"Добро пожаловать в Coral, ваш надежный помощник для перевода текста! Я здесь, чтобы помочь вам быстро и точно перевести текст с английского на русский язык. Просто введите текст, который нужно перевести, и я предоставлю вам профессиональный перевод. Если у вас есть какие-либо особые требования или инструкции, пожалуйста, дайте мне знать, и я сделаю все возможное, чтобы адаптировать перевод к вашим потребностям. Давайте начнем!",,1986-12-04,Эдмон,Вашингтон,США,Сиэтл-Преп,Сиэтл,Вашингтон,США,0000-00-00,Б
quinnba01,,Барт,,Квинн,,,,,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,74.0,210,Толедо,,0000-00-00,,,,Центральный Католический,Форт-Уэйн,В,США,0000-00-00,В
colembe01,Бэн,Бенджамин,,Колман,,,,"Бен, Большой Бен","Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,81.0,235,Мэриленд,Миннесота,1961-11-14,Миннеаполис,МН,США,Север,Миннеаполис,МН,США,0000-00-00,Б
curryja01,Джеймс,Джеймс,,Карри,,,,,"Добро пожаловать в сервис перевода! Я готов помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",0,0,75.0,190,Оклахома-Стейт,,1986-01-07,Приятный Ков,Н/Д,США,Восточная Аламэнда,Мебейн,Н/Д,США,0000-00-00,Б
catoke01,Кевин,Кевин,T.,Като,,,,,С,0,0,83.0,255,Иова Стейт,Южный Алабама,1974-08-26,Атланта,ГА,США,Литония,Декейр,ГА,США,0000-00-00,Б
farledi01,Дик,Ричард,L.,Фэрли,,,,Дик,Г-Ф,0,0,76.0,190,Индиана,,1932-04-13,,,,Винслоу,Винслоу,В,США,1969-10-01,В
