id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
5,1946,SF,N,CHS,NBA,WSC,NBA,4,2
26,1949,DSF,J,NYK,NBA,WSC,NBA,2,0
31,1949,DSF,J,AND,NBA,TRI,NBA,2,1
44,1951,DF,K,MNL,NBA,ROC,NBA,3,1
80,1956,DT,A,STL,NBA,FTW,NBA,1,0
143,1968,DSF,J,BOS,NBA,PHI,NBA,4,1
155,1970,CF,N,BAL,NBA,NYK,NBA,4,3
220,1977,CFR,L,SEA,NBA,LAL,NBA,2,1
320,1985,CSF,M,HOU,NBA,DEN,NBA,4,2
322,1986,CF,N,BOS,NBA,DET,NBA,4,3
357,1988,CSF,M,CHI,NBA,NYK,NBA,4,2
379,1989,CSF,M,POR,NBA,SAS,NBA,4,3
381,1990,CFR,L,CHI,NBA,NYK,NBA,3,0
388,1990,CF,N,LAL,NBA,POR,NBA,4,2
401,1991,CSF,M,CLE,NBA,BOS,NBA,4,3
454,1994,CSF,M,HOU,NBA,PHO,NBA,4,3
508,1998,CF,N,SAS,NBA,POR,NBA,4,0
529,1999,CSF,M,POR,NBA,UTA,NBA,4,1
534,2000,CFR,L,TOR,NBA,NYK,NBA,3,2
616,2005,CFR,L,SAS,NBA,SAC,NBA,4,2
640,2007,CSF,M,DET,NBA,ORL,NBA,4,1
648,2007,CSF,M,LAL,NBA,UTA,NBA,4,2
650,2008,CF,N,ORL,NBA,CLE,NBA,4,2
663,2008,CSF,M,DEN,NBA,DAL,NBA,4,1
710,1980,F,O,BOS,NBA,HOU,NBA,4,2
754,1972,DSF,B,INA,ABA,DNR,ABA,4,1
