playerid,award,year,lgid,note,pos
abdulka01,Вторая группа общей обороны,1970,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,C
abdulka01,Финал MVP,1970,NBA,,
abdulka01,Самый ценный игрок,1970,NBA,,
barryri01,Первая группа &lt; &lt; ABA &gt; &gt;,1970,ABA,,F
beatyze01,Вторая группа &lt; &lt; АБА &gt; &gt;,1970,ABA,галстук,C
beatyze01,Финал MVP,1970,ABA,,
bingda01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,G
briskjo01,Вторая группа &lt; &lt; АБА &gt; &gt;,1970,ABA,,F
brownro01,Первая группа &lt; &lt; ABA &gt; &gt;,1970,ABA,,F
caldwjo01,Вторая группа &lt; &lt; АБА &gt; &gt;,1970,ABA,,F
calvima01,Первая группа &lt; &lt; ABA &gt; &gt;,1970,ABA,,G
cannola01,Вторая группа &lt; &lt; АБА &gt; &gt;,1970,ABA,,G
cowenda01,Новичок года,1970,NBA,галстук,
cunnibi01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,F
danieme01,Первая группа &lt; &lt; ABA &gt; &gt;,1970,ABA,,C
danieme01,Самый ценный игрок,1970,ABA,,
debusda01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1970,NBA,,
fraziwa01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1970,NBA,,
fraziwa01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,G
freemdo01,Вторая группа &lt; &lt; АБА &gt; &gt;,1970,ABA,,G
havlijo01,Вторая группа общей обороны,1970,NBA,,
havlijo01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,F
isselda01,Вторая группа &lt; &lt; АБА &gt; &gt;,1970,ABA,галстук,C
isselda01,Новичок года,1970,ABA,галстук,
johnsgu01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1970,NBA,,
johnsgu01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,F
lovebo01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,F
petrige01,Новичок года,1970,NBA,галстук,
reedwi01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,C
roberos01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,G
scottch01,Первая группа &lt; &lt; ABA &gt; &gt;,1970,ABA,,G
scottch01,Новичок года,1970,ABA,галстук,
silaspa01,Вторая группа общей обороны,1970,NBA,,
sloanje01,Вторая группа общей обороны,1970,NBA,,
thurmna01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1970,NBA,,
vanlino01,Вторая группа общей обороны,1970,NBA,,
westje01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1970,NBA,,
westje01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,G
olajuha01,Финал MVP,1994,NBA,,
artesro01,Третья группа &lt; &lt; Все НБА &gt; &gt;,2003,NBA,,F
robbire01,Вторая группа &lt; &lt; АБА &gt; &gt;,1969,ABA,,C
gilmoar01,Первая группа &lt; &lt; ABA &gt; &gt;,1972,ABA,,C
jabalwa01,Финал MVP,1968,ABA,,
sloanje01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1974,NBA,,
kiddja01,Вторая группа общей обороны,2006,NBA,,
greerha01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1962,NBA,,G
lucasje01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1965,NBA,,F
bryanko01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,2000,NBA,,G
stoudda01,Новичок года,1995,NBA,,
abdulka01,Самый ценный игрок,1975,NBA,,
bayloel01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1968,NBA,,F
cousybo01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1955,NBA,,G
wisewi01,Вторая группа &lt; &lt; АБА &gt; &gt;,1971,ABA,,F
olajuha01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1985,NBA,,C
bellra01,Вторая группа общей обороны,2007,NBA,,G
hillgr01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1999,NBA,,F
duncati01,Первая группа &lt; &lt; Все НБА &gt; &gt;,2002,NBA,,F
