raceid,year,round,circuitid,name,date,time,url
13,2009,13,14,Гран-при Италии,2009-09-13,12:00:00,Итальянский Гран-при 2009 года
31,2008,14,14,Гран-при Италии,2008-09-14,12:00:00,2008 Итальянский Гран-при
48,2007,13,14,Гран-при Италии,2007-09-09,12:00:00,2007 Итальянский Гран-при
56,2006,4,21,Гран-при Сан-Марино,2006-04-23,14:00:00,"Гран-при Сан-Марино 2006 года — шестое соревнование сезона 2006 года в Формуле-1, которое проходило 25 апреля на трассе Autodromo Enzo e Dino Ferrari в Имоле, Италия. В гонке приняли участие 21 пилот, из них 3 не добрались до финиша."
67,2006,15,14,Гран-при Италии,2006-09-10,14:00:00,Гран-при Италии 2006 года
74,2005,4,21,Гран-при Сан-Марино,2005-04-24,14:00:00,"Гран-при Сан-Марино 2005 года — шестое соревнование сезона 2005 Формулы-1, которое проходило 3 апреля на автодроме Энцо и Дино Феррари в Имоле, Италия. В гонке одержал победу Рубенс Баррикелло из команды «Тойота», стартовавший с полюса."
85,2005,15,14,Гран-при Италии,2005-09-04,14:00:00,2005 года в Италии
93,2004,4,21,Гран-при Сан-Марино,2004-04-25,,"Гран-при Сан-Марино 2004 года — гоночный этап автогонок «Формула-1», который состоялся 30 мая 2004 года на трассе Autodromo di Imola в Италии. В гонке приняли участие 21 пилот, но только 16 из них смогли завершить гонку. Победителем стал пилот Ferrari Майкл Шумахер, второй результат у его партнера по команде Рубенса Баррикелло, а третье место занял пилот McLaren Кими Райкконен."
104,2004,15,14,Гран-при Италии,2004-09-12,,Гран-при Италии 2004 года
111,2003,4,21,Гран-при Сан-Марино,2003-04-20,,2003 Гран-при Сан-Марино
121,2003,14,14,Гран-при Италии,2003-09-14,,Гран-при Италии 2003 года
127,2002,4,21,Гран-при Сан-Марино,2002-04-14,,"Гран-при Сан-Марино 2002 года - шестой этап чемпионата мира по автогонкам в классе Формула-1 сезона 2002 года. Гонка состоялась 30 июня 2002 года на автодроме Энцо и Дино Феррари в Имоле, Италия."
138,2002,15,14,Гран-при Италии,2002-09-15,,2002 год.
144,2001,4,21,Гран-при Сан-Марино,2001-04-15,,Википедия: 2001 Сан-Марино Гран-при
155,2001,15,14,Гран-при Италии,2001-09-16,,Гран-при Италии 2001 года
160,2000,3,21,Гран-при Сан-Марино,2000-04-09,,Википедия: 2000 Гран-при Сан-Марино
171,2000,14,14,Гран-при Италии,2000-09-10,,2000 года в Италии
177,1999,3,21,Гран-при Сан-Марино,1999-05-02,,Гран-при Сан-Марино 1999 года
187,1999,13,14,Гран-при Италии,1999-09-12,,1999 Итальянский Гран-при
194,1998,4,21,Гран-при Сан-Марино,1998-04-26,,Гран-при Сан-Марино 1998 года
204,1998,14,14,Гран-при Италии,1998-09-13,,Гран-при Италии 1998 года
210,1997,4,21,Гран-при Сан-Марино,1997-04-27,,Гран-при Сан-Марино 1997 года
219,1997,13,14,Гран-при Италии,1997-09-07,,"1997 года в Италии
Гран-при Италии 1997 года (итал.: Gran Premio di Italia) — гоночный этап чемпионата мира по автогонкам в классе «Формула-1», который должен был состояться на автодроме Национальной Монцы, Италия. 30 августа 1997 года гонка была отменена из-за аварии во время свободных заездов."
228,1996,5,21,Гран-при Сан-Марино,1996-05-05,,"Гран-при Сан-Марино 1996 года — шестая гонка чемпионата мира по автогонкам в классе Формула-1 сезона 1996 года. Гонка была проведена 28 апреля на трассе Авиньон-Прованс в городе Ле-Кастр, Франция."
237,1996,14,14,Гран-при Италии,1996-09-08,,Гран-при Италии 1996 года
242,1995,3,21,Гран-при Сан-Марино,1995-04-30,,"Гран-при Сан-Марино 1995 года - гоночный этап, который прошёл в Имоле, Италия, 26 марта 1995 года в рамках чемпионата мира Формулы-1 сезона 1995 года. В гонке приняли участие двадцать два пилота, из них только восемнадцать стартовали, а завершили гонку лишь двенадцать. Победителем стал пилот команды «Брэбем» Дэвид Култхард, занявший поул-позицию и установивший по ходу гонки самое быстрое время круга."
251,1995,12,14,Гран-при Италии,1995-09-10,,Статья на Википедии о Гран-при Италии 1995 года
259,1994,3,21,Гран-при Сан-Марино,1994-05-01,,1994 Гран-при Сан-Марино
268,1994,12,14,Гран-при Италии,1994-09-11,,1994 Италия Гран-при
276,1993,4,21,Гран-при Сан-Марино,1993-04-25,,"Википедия, Гран-при Сан-Марино 1993"
285,1993,13,14,Гран-при Италии,1993-09-12,,Википедия «Гран-при Италии 1993 года»
293,1992,5,21,Гран-при Сан-Марино,1992-05-17,,Гран-при Сан-Марино 1992 года
301,1992,13,14,Гран-при Италии,1992-09-13,,Гран-при Италии 1992 года
307,1991,3,21,Гран-при Сан-Марино,1991-04-28,,Гран-при Сан-Марино 1991 года
316,1991,12,14,Гран-при Италии,1991-09-08,,"Википедия
1991 год в Формуле-1
Гран-при Италии 1991 года (正式名称: Gran Premio San Marino di Formula 1 1991)于1991年9月8日在意大利伊莫拉 Imola 的オートドロモ・ディノ・法拉利进行。"
323,1990,3,21,Гран-при Сан-Марино,1990-05-13,,Гран-при Сан-Марино 1990 года
332,1990,12,14,Гран-при Италии,1990-09-09,,"1990 Год Итальянской Гран-при — восьмая гонка чемпионата мира Формулы-1 1990 года, которая прошла 7 июля на трассе Autodromo Nazionale Monza в Италии."
350,2010,14,14,Гран-при Италии,2010-09-12,12:00:00,2010 ГП Италии
357,1989,2,21,Гран-при Сан-Марино,1989-04-23,,Википедия: Гран-при Сан-Марино 1989 года
367,1989,12,14,Гран-при Италии,1989-09-10,,Википедия: 1989 Итальянский Гран-при
373,1988,2,21,Гран-при Сан-Марино,1988-05-01,,Гран-при Сан-Марино 1988 года
383,1988,12,14,Гран-при Италии,1988-09-11,,Итальянский Гран-при 1988 года
389,1987,2,21,Гран-при Сан-Марино,1987-05-03,,Grand-при Сан-Марино 1987 года — шестнадцатый этап чемпионата мира в сезоне 1987 года. Он прошёл 20 апреля на трассе Имола в Италии.
398,1987,11,14,Гран-при Италии,1987-09-06,,Расписание Гран-при Италии 1987 года
406,1986,3,21,Гран-при Сан-Марино,1986-04-27,,1986 Гран-при Сан-Марино
416,1986,13,14,Гран-при Италии,1986-09-07,,"1986 года в Италии
Гран-при Италии 1986 года (ит. Gran Premio d'Italia 1986) — гоночный этап чемпионата мира в классе «Формула-1», который должен был пройти на автодроме Нардо, но был перенесен на трассу Монца из-за проблем с подготовкой первого трека."
422,1985,3,21,Гран-при Сан-Марино,1985-05-05,,Гран-при Сан-Марино 1985 года
431,1985,12,14,Гран-при Италии,1985-09-08,,Итальянский Гран-при 1985 года
