statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
844,844,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,4253.0,
862,862,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,0.0,
1200,1200,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,0.0,
1663,1663,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,0.0,
1795,1795,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,1418.0,
1873,1873,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,0.0,
1892,1892,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,10050.0,
1940,1940,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,0.0,
2032,2032,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,5493.0,
2497,2497,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,634.0,
3209,3209,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,6437.0,
3379,3379,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,8352.0,
3783,3783,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,5870.0,
4274,4274,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,1236.0,
4395,4395,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,9231.0,
4427,4427,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,2796.0,
4478,4478,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,3765.0,
4745,4745,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,4444.0,
6412,6412,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,7074.0,
6545,6545,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,12610.0,
6625,6625,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,9549.0,
6778,6778,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,3091.0,
7318,7318,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,6172.0,
7416,7416,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,31191.0,
7785,7785,13.08.1999 г. 00:00:00,1999-09-02 00:00:00,15825.0,
