driverid,driverref,number,code,forename,surname,dob,nationality,url
4,Алонсо,14.0,АЛО,Фернандо,Алонсо,1981-07-29,Испанский,http://en.wikipedia.org/wiki/Fernando_Alonso
6,Накаджима,,NAK,Казуки,Накаджима,1985-01-11,Японский,http://en.wikipedia.org/wiki/Kazuki_Nakajima
10,Глок,,ГЛО,Тимо,Глок,1982-03-18,Немецкий,http://en.wikipedia.org/wiki/Timo_Glock
13,массаa,19.0,МАС,Фелипе,Масса,1981-04-25,Бразилия,http://en.wikipedia.org/wiki/Felipe_Massa
20,Ветерель,5.0,VET,Себастьян,Веттель,1987-07-03,Немецкий,http://en.wikipedia.org/wiki/Sebastian_Vettel
47,Баумгартнер,,,Zsolt,Баумгартнер,1981-01-01,Венгерский,http://en.wikipedia.org/wiki/Zsolt_Baumgartner
50,verstappen,,,Джос,Верстаппен,1972-03-04,Датч,http://en.wikipedia.org/wiki/Jos_Verstappen
56,баранина,,,Эдди,Ирвин,1965-11-10,Британские,http://en.wikipedia.org/wiki/Eddie_Irwine
59,Бернольди,,,Энрике,Бернольди,1978-10-19,Бразилия,http://en.wikipedia.org/wiki/Enrique_Bernoldi
75,Накано,,,Синдзи,Накано,1971-04-01,Японский,http://en.wikipedia.org/wiki/Shinji_Nakano
80,sospiri,,,Винченцо,Соспири,1966-10-07,Итальянский,http://en.wikipedia.org/wiki/Vincenzo_Sosspiri
85,Монтермини,,,Андреа,Монтермини,1964-05-30,Итальянский,http://en.wikipedia.org/wiki/Andrea_Montermini
88,Сузуки,,,Агури,Сузуки,1960-09-08,Японский,http://en.wikipedia.org/wiki/Aguri_Suzuki
108,Белмондо,,,Пол,Бельмондо,1963-04-23,Французский,http://en.wikipedia.org/wiki/Pol_Belmondo
115,Нода,,,Хидэки,Нода,1969-03-07,Японский,http://en.wikipedia.org/wiki/Hideki_Noda
117,Прост,,,Ален,Прост,1955-02-24,Французский,http://en.wikipedia.org/wiki/Alain_Prost
120,Барбацца,,,Фабрицио,Барбацца,1963-04-02,Итальянский,http://en.wikipedia.org/wiki/Fabrizio_Barbazza
132,Амати,,,Джованна,Амати,1959-07-20,Итальянский,http://en.wikipedia.org/wiki/Giovanna_Amati
139,Пирро,,,Эмнуэле,Пирро,1962-01-12,Итальянский,http://en.wikipedia.org/wiki/Emanuele_Pirro
141,Бейли,,,Джулиан,Бейли,1961-10-09,Британские,http://en.wikipedia.org/wiki/Julian_Bailey
173,Анджелис,,,Элио,&lt; &lt; Анджелис &gt; &gt;,1958-03-26,Итальянский,http://en.wikipedia.org/wiki/Elio_de_Angelis
191,shackwell,,,Майк,Тэквелл,1961-03-30,Новозеландец,http://en.wikipedia.org/wiki/Mike_Thackwell
209,Львы,,,Джефф,Ли,1951-05-01,Британские,http://en.wikipedia.org/wiki/Geoff_Lees
219,Ябуй,,,Жан-Пьер,Джабуйль,1942-10-01,Французский,http://en.wikipedia.org/wiki/Jean-Perent_Jabuille
233,застряла,,,Ханс-Йоахим,Застряла,1951-01-01,Немецкий,http://en.wikipedia.org/wiki/Hans_Joachim_Stock
240,нагэя,,,Дэнни,Онгаис,1942-05-21,Американцы,http://en.wikipedia.org/wiki/Danny_Ongais
276,Эваны,,,Боб,Эванс,1947-06-11,Британские,http://en.wikipedia.org/wiki/Bob_Evans_(race_driver)
278,Амон,,,Крис,Амон,1943-07-20,Новозеландец,http://en.wikipedia.org/wiki/Chris_Amon
294,Брайз,,,Тони,Взрыв,1952-03-28,Британские,http://en.wikipedia.org/wiki/Tony_Brise
297,ладони,,,Торстен,Палм,1947-07-23,Шведский,http://en.wikipedia.org/wiki/Torsten_Palm
308,бронежилеты,,,Ричард,Роботы,1944-09-22,Британские,http://en.wikipedia.org/wiki/Richard_Robarts
318,петухи,,,Бертил,Крысы,1943-10-12,Шведский,http://en.wikipedia.org/wiki/Bertil_Roos
354,судно,,,Крис,Судно,1939-11-17,Британские,http://en.wikipedia.org/wiki/Chris_Craft_(gacing_driver)
359,Гевин,,,Джонни,Сервоз-Гавин,1942-01-18,Французский,http://en.wikipedia.org/wiki/Johny_Servoz-Gavin
371,Щекотка,,,Al,Противоядие,1921-10-15,Канада,http://en.wikipedia.org/wiki/Al_Peras
382,Солана,,,Моисе,Солана,1935-12-26,Мексика,http://en.wikipedia.org/wiki/Mois%C3%A9s_Solana
393,Tom_jones,,,Том,Джонс,1943-04-26,Американцы,http://en.wikipedia.org/wiki/Tom_Jones_(auto_racer)
409,Блокдюк,,,Тревор,Блокдюк,1935-11-30,Южная Африка,http://en.wikipedia.org/wiki/Trevor_Blokdyk
430,Бофорт,,,Кэрел Годин,&lt; &lt; Бофор &gt; &gt;,1934-04-10,Датч,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort
434,острое,,,Хэп,Резкий,1928-01-01,Американцы,http://en.wikipedia.org/wiki/Hap_Sharp
441,Парнелл,,,Тим,Парнелл,1932-06-25,Британские,http://en.wikipedia.org/wiki/Tim_Parnell
445,Seiffert,,,Гюнтер,Сейферт,1937-10-18,Немецкий,http://en.wikipedia.org/wiki/G%C3%BCnter_Seiffert
453,Льюис,,,Джеки,Льюис,1936-11-01,Британские,http://en.wikipedia.org/wiki/Jackie_Lewis
473,скобка,,,Гэри,Хокинг,1937-09-30,Родезийцы,http://en.wikipedia.org/wiki/Gary_Hocking
483,Шрафтти,,,Джорджио,Скарлатти,1921-10-02,Итальянский,http://en.wikipedia.org/wiki/Giorgio_Scarlatti
488,Монтеверди,,,Питер,Монтеверди,1934-06-07,Швейцария,http://en.wikipedia.org/wiki/Peter_Monteverdi
519,Домашнее,,,Билл,Домашнее,1918-08-31,Американцы,http://en.wikipedia.org/wiki/Bill_Homeier
543,Кабьянка,,,Джулио,Кабьянка,1923-02-19,Итальянский,http://en.wikipedia.org/wiki/Giulio_Cabianca
559,Флаэрти,,,Пэт,Флаэрти,1926-01-06,Американцы,http://en.wikipedia.org/wiki/Pat_Fлаэрти_(gacing_driver)
574,Константин,,,Джордж,Константин,1918-02-22,Американцы,http://en.wikipedia.org/wiki/George_Contantine
576,Кейд,,,Фил,Кейд,1916-06-12,Американцы,http://en.wikipedia.org/wiki/Fhil_cade
578,Хаврорн,,,Майк,Хоторн,1929-04-10,Британские,http://en.wikipedia.org/wiki/Mike_Hawthorn
597,connor,,,Пэт,О'Коннор,1928-10-09,Американцы,http://en.wikipedia.org/wiki/Pat_O%27 Connor_(auto_racer)
609,Саймон,,,Андре,Саймон,1920-01-05,Французский,http://en.wikipedia.org/wiki/Andr%C3%A9_Simon_(gacing_driver)
631,андрю,,,Кит,Эндрюс,1920-06-15,Американцы,http://en.wikipedia.org/wiki/Keith_Andrews_(водитель)
669,Бира,,,Принц,Бира,1914-07-15,Тайский,http://en.wikipedia.org/wiki/ Prince_Bira
671,Лойер,,,Вас понял.,Лойер,1907-08-05,Французский,http://en.wikipedia.org/wiki/Roger_Loyer
677,Вебb,,,Трэвис,Вебb,1910-10-08,Американцы,http://en.wikipedia.org/wiki/Travis_Webb
678,Дункан,,,Лен,Дункан,1911-07-25,Американцы,http://en.wikipedia.org/wiki/Len_Duncan
682,Боман,,,Дон,Боман,1928-07-26,Британские,http://en.wikipedia.org/wiki/Don_Beauman
687,белого цвета,,,Питер,Уайтхед,1914-11-12,Британские,http://en.wikipedia.org/wiki/Peter_Whitehead_(gacing_driver)
