raceid,driverid,stop,lap,time,duration,milliseconds
858,17,2,35,18:06:07,20.000,20000
901,821,2,23,16:46:42,26.325,26325
975,835,1,11,14:19:55,24.423,24423
884,817,3,39,15:03:42,19.498,19498
943,154,2,52,14:17:28,23.101,23101
940,834,1,22,14:42:18,25.146,25146
974,832,1,37,14:50:54,24.427,24427
894,18,1,4,15:11:11,26.948,26948
861,5,3,23,17:48:07,34.109,34109
856,13,2,34,16:06:13,21.080,21080
886,3,2,31,14:44:51,20.832,20832
937,4,3,32,15:11:10,23.191,23191
945,154,2,43,18:22:01,22.234,22234
854,1,3,15,20:34:04,24.342,24342
910,13,2,23,14:44:30,22.111,22111
859,808,2,30,14:43:17,23.102,23102
884,13,3,36,14:58:25,19.326,19326
949,837,1,12,18:24:14,26.382,26382
891,3,1,12,14:27:19,22.893,22893
945,832,1,7,17:16:24,25.307,25307
860,4,2,34,17:57:06,21.910,21910
901,822,1,14,16:29:48,25.020,25020
941,829,1,14,14:32:34,32.400,32400
860,4,1,13,17:24:04,22.035,22035
982,835,1,1,20:06:33,30.785,30785
891,821,3,41,15:23:35,17.433,17433
931,815,2,64,15:29:57,25.119,25119
872,20,1,20,14:33:51,22.303,22303
930,18,1,11,14:21:23,22.589,22589
967,825,1,7,14:24:31,24.986,24986
939,815,2,34,21:12:15,29.676,29676
857,13,2,30,15:49:55,14.919,14919
872,813,1,13,14:23:38,22.970,22970
854,816,2,28,21:00:59,31.592,31592
860,3,2,31,17:52:34,23.017,23017
898,4,1,26,13:52:15,23.817,23817
856,24,1,1,15:05:51,26.379,26379
851,4,1,12,14:24:10,22.886,22886
900,821,2,30,17:59:29,23.797,23797
950,8,3,37,15:11:04,22.832,22832
956,815,3,28,14:38:37,16.544,16544
860,5,1,14,17:26:12,24.397,24397
871,813,1,1,14:06:36,21.842,21842
841,16,2,37,18:02:15,23.871,23871
968,828,1,38,18:13:21,22.991,22991
884,20,4,51,15:21:09,18.694,18694
845,17,1,10,14:18:27,20.881,20881
841,814,2,36,18:00:48,24.332,24332
883,4,4,39,16:10:48,21.189,21189
894,815,2,31,16:00:22,38.893,38893
846,4,2,34,14:48:45,31.382,31382
911,154,1,1,14:06:17,29.256,29256
936,828,1,16,14:30:36,23.005,23005
928,828,1,14,14:28:36,23.846,23846
953,18,1,8,14:17:20,25.766,25766
927,1,2,24,15:48:25,24.595,24595
855,815,1,20,15:38:10,21.655,21655
866,30,2,43,15:00:53,22.524,22524
981,835,1,25,14:40:16,31.008,31008
855,20,1,9,15:18:49,22.374,22374
945,807,2,24,17:47:36,22.174,22174
967,817,2,20,14:47:52,33:28.600,2008600
963,822,1,29,15:55:11,23.828,23828
912,154,1,20,14:34:42,25.098,25098
914,820,3,23,16:12:57,25.278,25278
880,1,1,13,17:23:56,22.155,22155
968,836,1,6,17:14:44,33.395,33395
931,831,1,18,14:27:40,25.732,25732
906,18,2,38,14:59:46,25.050,25050
942,8,1,19,14:42:09,24.733,24733
860,811,1,1,17:05:23,24.599,24599
