charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
3642,7266,421,7,1999-08-03T10:43:53,2479.0,7266,
19084,9918,407,8,1999-07-31T10:45:03,496.0,9918,
36694,8849,214,8,1999-07-21T10:46:27,698.0,8849,
57749,6047,446,8,1999-10-03T10:48:03,2525.0,26047,
78140,6669,469,9,1999-07-26T10:49:38,616.0,6669,
88201,9004,411,6,1999-08-09T10:50:25,2823.0,9004,
571788,8719,499,10,1999-09-11T10:49:08,402.0,18719,
617330,6729,369,5,1999-06-22T10:44:55,4439.0,6729,
662892,9953,497,3,1999-07-04T10:48:26,2391.0,9953,
666099,9983,379,2,1999-09-24T10:48:42,4081.0,29983,
694986,9109,256,10,1999-07-12T10:50:57,611.0,9109,
697404,4282,482,3,1999-07-28T10:51:08,832.0,4282,
791333,8088,375,2,1999-09-09T10:50:40,274.0,18088,
792369,5185,364,10,1999-10-07T10:50:45,3268.0,25185,
816244,7264,424,7,1999-07-18T10:44:50,3840.0,7264,
868666,5415,499,6,1999-06-21T10:48:54,1729.0,5415,
908228,9168,264,9,1999-07-30T10:44:14,186.0,9168,
933010,9832,431,5,1999-06-26T10:46:10,3366.0,9832,
946970,3195,432,9,1999-09-03T10:47:14,1702.0,13195,
983010,9000,474,3,1999-08-25T10:50:01,2674.0,19000,
988754,8171,488,5,1999-09-24T10:50:28,3719.0,28171,
1013050,9062,500,7,1999-07-24T10:44:36,1238.0,9062,
1022320,9294,444,2,1999-09-03T10:45:18,4615.0,19294,
1024210,3654,478,8,1999-09-11T10:45:28,4584.0,13654,
1025357,9458,445,4,1999-08-22T10:45:33,3958.0,19458,
1033164,9198,384,5,1999-08-22T10:46:10,55.0,19198,
1050525,6717,495,5,1999-09-20T10:47:30,3275.0,26717,
1077815,2009,381,10,1999-07-01T10:49:37,408.0,2009,
1083579,5914,480,3,1999-08-12T10:50:03,3085.0,5914,
1109207,1173,500,8,1999-08-18T10:44:18,1579.0,11173,
1125413,2466,472,3,1999-10-11T10:45:34,1235.0,22466,
1151402,5387,449,9,1999-07-06T10:47:34,574.0,5387,
1174385,9300,461,7,1999-06-24T10:49:21,4131.0,9300,
1176503,8715,438,5,1999-08-17T10:49:31,3654.0,18715,
1201927,9575,417,9,1999-08-18T10:43:46,796.0,19575,
1218046,7000,465,4,1999-08-11T10:44:58,3643.0,7000,
1236970,7462,328,5,1999-08-19T10:46:28,4493.0,17462,
1252643,9829,436,3,1999-09-22T10:47:41,3200.0,29829,
1340555,8935,493,6,1999-09-19T10:46:44,521.0,28935,
1376085,8013,371,7,1999-08-17T10:49:29,802.0,18013,
1399590,3483,487,7,1999-09-12T10:51:18,1143.0,13483,
1453456,8694,439,4,1999-09-03T10:47:44,2457.0,18694,
1558884,8654,478,2,1999-09-09T10:48:08,2093.0,18654,
1581579,5872,355,2,1999-06-17T10:49:54,3800.0,5872,
1614015,9215,462,2,1999-06-24T10:44:40,454.0,9215,
1629653,9923,441,2,1999-07-28T10:45:53,2990.0,9923,
1645801,9374,477,9,1999-10-01T10:47:09,4756.0,29374,
1664681,9356,457,8,1999-07-26T10:48:35,2286.0,9356,
1722356,6095,395,7,1999-09-07T10:45:18,2744.0,16095,
1809871,9420,323,3,1999-08-02T10:44:21,2652.0,9420,
1835961,6487,448,9,1999-07-16T10:46:23,3719.0,6487,
1855040,9185,400,10,1999-10-07T10:47:51,3147.0,29185,
1912768,9568,451,8,1999-09-07T10:44:34,2760.0,19568,
1937217,3923,437,8,1999-07-26T10:46:29,1985.0,3923,
