corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
4,Corp. Apex NeedleworkInc., , ,,,,,2004-10-12T10:41:26,6,
8,Corp. Apex RestaurantsInc., , ,,,,,2004-10-12T10:41:26,1,
11,Corp. Boston Key StonesInc., , ,,,,,2004-10-12T10:41:26,5,
19,Corp. Boston Sail MakersInc., , ,,,,,2004-10-12T10:41:26,3,
20,Corp. Boston TransitInc., , ,,,,,2004-10-12T10:41:26,2,
21,Corp. Computer Key StonesInc., , ,,,,,2004-10-12T10:41:26,6,
22,Corp. Computer LightingInc., , ,,,,,2004-10-12T10:41:26,1,
26,Corp. Computer PetroleumInc., , ,,,,,2004-10-12T10:41:26,5,
28,Corp. Computer RestaurantsInc., , ,,,,,2004-10-12T10:41:26,8,
29,Corp. Computer Sail MakersInc., , ,,,,,2004-10-12T10:41:26,7,
30,Corp. Computer TransitInc., , ,,,,,2004-10-12T10:41:26,1,
33,Corp. Driven MachineryInc., , ,,,,,2004-10-12T10:41:26,1,
34,Corp. Driven NeedleworkInc., , ,,,,,2004-10-12T10:41:26,1,
35,Corp. Driven OperaInc., , ,,,,,2004-10-12T10:41:26,3,
38,Corp. Driven RestaurantsInc., , ,,,,,2004-10-12T10:41:26,8,
40,Corp. Driven TransitInc., , ,,,,,2004-10-12T10:41:26,2,
42,Corp. Expert LightingInc., , ,,,,,2004-10-12T10:41:26,6,
43,Corp. Expert MachineryInc., , ,,,,,2004-10-12T10:41:26,1,
44,Corp. Expert NeedleworkInc., , ,,,,,2004-10-12T10:41:26,6,
45,Corp. Expert OperaInc., , ,,,,,2004-10-12T10:41:26,1,
48,Corp. Expert RestaurantsInc., , ,,,,,2004-10-12T10:41:26,8,
59,Corp. Famous Sail MakersInc., , ,,,,,2004-10-12T10:41:26,7,
60,Corp. Famous TransitInc., , ,,,,,2004-10-12T10:41:26,4,
63,Corp. Giant MachineryInc., , ,,,,,2004-10-12T10:41:26,5,
64,Corp. Giant NeedleworkInc., , ,,,,,2004-10-12T10:41:26,8,
66,Corp. Giant PetroleumInc., , ,,,,,2004-10-12T10:41:26,8,
70,Corp. Giant TransitInc., , ,,,,,2004-10-12T10:41:26,2,
72,Corp. Humble LightingInc., , ,,,,,2004-10-12T10:41:26,4,
76,Corp. Humble PetroleumInc., , ,,,,,2004-10-12T10:41:26,4,
77,Corp. Humble QuestsInc., , ,,,,,2004-10-12T10:41:26,8,
79,Corp. Humble Sail MakersInc., , ,,,,,2004-10-12T10:41:26,8,
81,Corp. Imperial Key StonesInc., , ,,,,,2004-10-12T10:41:26,6,
82,Corp. Imperial LightingInc., , ,,,,,2004-10-12T10:41:26,3,
83,Corp. Imperial MachineryInc., , ,,,,,2004-10-12T10:41:26,1,
95,Corp. Just OperaInc., , ,,,,,2004-10-12T10:41:26,2,
98,Corp. Just RestaurantsInc., , ,,,,,2004-10-12T10:41:26,1,
99,Corp. Just Sail MakersInc., , ,,,,,2004-10-12T10:41:26,5,
102,Corp. Apex LightingCo., , ,,,,,2004-10-12T10:41:26,5,
105,Corp. Apex OperaCo., , ,,,,,2004-10-12T10:41:26,7,
107,Corp. Apex QuestsCo., , ,,,,,2004-10-12T10:41:26,8,
109,Corp. Apex Sail MakersCo., , ,,,,,2004-10-12T10:41:26,1,
113,Corp. Boston MachineryCo., , ,,,,,2004-10-12T10:41:26,4,
119,Corp. Boston Sail MakersCo., , ,,,,,2004-10-12T10:41:26,8,
120,Corp. Boston TransitCo., , ,,,,,2004-10-12T10:41:26,3,
122,Corp. Computer LightingCo., , ,,,,,2004-10-12T10:41:26,4,
125,Corp. Computer OperaCo., , ,,,,,2004-10-12T10:41:26,5,
127,Corp. Computer QuestsCo., , ,,,,,2004-10-12T10:41:26,6,
128,Corp. Computer RestaurantsCo., , ,,,,,2004-10-12T10:41:26,2,
129,Corp. Computer Sail MakersCo., , ,,,,,2004-10-12T10:41:26,4,
136,Corp. Driven PetroleumCo., , ,,,,,2004-10-12T10:41:26,3,
