corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
4,Корпорация &lt; &lt; Апекс игл &gt; &gt;, , ,,,,,2004-10-12T10:41:26,6,
8,"Корпорация ""Апекс Ресторанс Инс"".", , ,,,,,2004-10-12T10:41:26,1,
11,Boston Key StonesInc., , ,,,,,2004-10-12T10:41:26,5,
19,Компания &quot; Бостон сэйлз мейкерз инк. &quot; ., , ,,,,,2004-10-12T10:41:26,3,
20,Корпорация &lt; &lt; Бостон Транзит Инч &gt; &gt; ., , ,,,,,2004-10-12T10:41:26,2,
21,Corp. Computer Key StonesInc., , ,,,,,2004-10-12T10:41:26,6,
22,Компьютерный свет., , ,,,,,2004-10-12T10:41:26,1,
26,Компания &quot; Компьютер петролеум инк. &quot; ., , ,,,,,2004-10-12T10:41:26,5,
28,Компьютерные рестораны Inc., , ,,,,,2004-10-12T10:41:26,8,
29,Компания &quot; Компьютерс мейлз инк. &quot; ., , ,,,,,2004-10-12T10:41:26,7,
30,Corp. Computer TransitInc., , ,,,,,2004-10-12T10:41:26,1,
33,Корпоративная машинная инк., , ,,,,,2004-10-12T10:41:26,1,
34,Корп. Ведущий иглл-рабочий Inc., , ,,,,,2004-10-12T10:41:26,1,
35,Корпоративная опера Инс., , ,,,,,2004-10-12T10:41:26,3,
38,Корп. Ресторанный Инс., , ,,,,,2004-10-12T10:41:26,8,
40,Корп. Транзит Ин., , ,,,,,2004-10-12T10:41:26,2,
42,Компания &lt; &lt; Эксперт осветительный инк. &gt; &gt;, , ,,,,,2004-10-12T10:41:26,6,
43,Корпорация &lt; &lt; Эксперт механик инк. &gt; &gt;, , ,,,,,2004-10-12T10:41:26,1,
44,Компания &quot; Идлеворк инк. &quot;, , ,,,,,2004-10-12T10:41:26,6,
45,Компания &quot; Эксперимент оперимент &quot; ., , ,,,,,2004-10-12T10:41:26,1,
48,Компания &lt; &lt; Ресторанс инк. &gt; &gt;, , ,,,,,2004-10-12T10:41:26,8,
59,Известная компания &quot; Sail MakersInc &quot; ., , ,,,,,2004-10-12T10:41:26,7,
60,Компания &quot; Транзит Инч &quot; ., , ,,,,,2004-10-12T10:41:26,4,
63,Корпорация Gigant MachineInc., , ,,,,,2004-10-12T10:41:26,5,
64,"Корпорация ""Гигантская иглл-рабочая инк.""", , ,,,,,2004-10-12T10:41:26,8,
66,Компания &quot; Gigant PetroleumInc &quot; ., , ,,,,,2004-10-12T10:41:26,8,
70,Корпорация Gigant TransitInc., , ,,,,,2004-10-12T10:41:26,2,
72,Компьютерная компания Small LightingInc., , ,,,,,2004-10-12T10:41:26,4,
76,Компьютерная компания &quot; Хамбл петролеум инк. &quot; ., , ,,,,,2004-10-12T10:41:26,4,
77,Компьютерная компания Summble QuestsInc., , ,,,,,2004-10-12T10:41:26,8,
