provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
1,Prov. Apex Key, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
7,Prov. Apex Ques, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
9,Prov. Apex Sail, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
14,Prov. Boston Ne, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
15,Prov. Boston Op, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
16,Prov. Boston Pe, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,6,
17,Prov. Boston Qu, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,5,
21,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
22,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,5,
23,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
25,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,4,
27,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
29,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
31,Prov. Driven Ke, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,6,
34,Prov. Driven Ne, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
37,Prov. Driven Qu, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
38,Prov. Driven Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
40,Prov. Driven Tr, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
41,Prov. Expert Ke, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
42,Prov. Expert Li, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
43,Prov. Expert Ma, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
44,Prov. Expert Ne, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,4,
46,Prov. Expert Pe, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
47,Prov. Expert Qu, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
48,Prov. Expert Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
50,Prov. Expert Tr, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
