statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
240,240,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
276,276,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
729,729,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,1323.0,
829,829,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
944,944,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
2210,2210,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,14120.0,
2766,2766,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,2577.0,
2809,2809,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,11346.0,
2951,2951,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,3742.0,
3285,3285,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
3636,3636,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,5832.0,
4078,4078,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,4317.0,
4275,4275,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,12266.0,
4608,4608,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,7679.0,
4769,4769,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,3978.0,
5187,5187,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,16309.0,
5254,5254,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,5048.0,
5340,5340,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,11737.0,
5545,5545,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,3372.0,
5582,5582,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,2058.0,
5623,5623,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,12674.0,
6153,6153,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,4134.0,
6408,6408,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,11866.0,
6613,6613,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,1158.0,
7057,7057,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,22779.0,
7281,7281,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,12336.0,
7827,7827,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,10025.0,
8100,8100,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,20436.0,
8575,8575,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,19329.0,
8729,8729,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,25345.0,
8791,8791,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,42599.0,
9675,9675,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,51840.0,
10279,279,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10435,435,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10492,492,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10614,614,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10692,692,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
11471,1471,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
11678,1678,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
11717,1717,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
11769,1769,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
12462,2462,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,3624.0,
12772,2772,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,6858.0,
13236,3236,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,541.0,
13291,3291,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,3273.0,
13391,3391,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,797.0,
14004,4004,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
14817,4817,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,5555.0,
14844,4844,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,3942.0,
15162,5162,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,3458.0,
15786,5786,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,5465.0,
16161,6161,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,7013.0,
16275,6275,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2658.0,
16380,6380,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2180.0,
16420,6420,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2031.0,
16558,6558,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,7444.0,
16729,6729,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
17097,7097,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,4021.0,
17268,7268,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,3999.0,
17478,7478,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,13814.0,
17579,7579,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,20233.0,
18198,8198,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,18603.0,
18436,8436,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,4384.0,
18489,8489,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,6613.0,
18875,8875,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,50254.0,
19015,9015,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,10414.0,
19170,9170,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,8536.0,
