charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
34173,2835,462,3,1999-07-29 10:46:15,2177.0,2835,
513113,9233,479,6,1999-10-07 10:44:36,3643.0,29233,
531090,7809,485,7,1999-08-20 10:46:00,2622.0,17809,
598397,4763,498,4,1999-08-04 10:51:13,4616.0,4763,
625545,8175,349,5,1999-07-24 10:45:34,417.0,8175,
637323,5926,446,4,1999-06-24 10:46:30,3504.0,5926,
651327,4761,500,2,1999-08-26 10:47:34,2371.0,14761,
658587,9919,468,5,17 августа 1999 года в 10:48 утра,3677.0,19919,
665216,7582,494,4,1999-08-09 10:48:38,3483.0,7582,
774055,4294,494,2,21.06.1999 10:49,197.0,4294,
786544,1929,338,10,1999-08-27 10:50:17,22.0,11929,
804760,8372,269,2,1999-10-05 10:43:59,3341.0,28372,
805870,4439,305,9,1999-07-14 10:44:03,4518.0,4439,
893396,4318,483,6,1999-08-24 10:50:49,1080.0,14318,
962980,9633,239,4,13.07.1999 10:48,2134.0,9633,
965512,8831,489,3,1999-06-24 10:48:39,869.0,8831,
985028,9769,488,10,18 июля 1999 года в 10:50 утра,2341.0,9769,
992259,4232,474,7,15 сентября 1999 года в 10:50 утра,3276.0,24232,
1001169,7237,477,8,1999-07-07 10:43:43,1206.0,7237,
1001436,2236,403,4,1999-10-05 10:43:44,194.0,22236,
1055099,7536,391,6,1999-08-05 10:47:51,468.0,7536,
1060996,8055,480,4,26.06.1999 10:48,616.0,8055,
1074005,9435,221,9,1999-08-23 10:49:19,4600.0,19435,
1088188,4207,495,9,1999-08-05 10:50:25,2991.0,4207,
1206636,8069,360,10,1999-06-22 10:44:07,1856.0,8069,
1293754,7575,493,5,15.07.1999 10:50,4914.0,7575,
1302821,9610,476,7,1999-09-02 10:43:50,3611.0,19610,
1339970,8749,362,9,13.07.1999 10:46,2567.0,8749,
1398061,9130,433,4,1999-10-03 10:51:11,4994.0,29130,
1447853,1096,426,5,1999-10-04 10:47:18,2993.0,21096,
1474334,4211,482,10,14.07.1999 10:49,3630.0,4211,
1491631,9763,406,5,20.06.1999 10:50,823.0,9763,
1494509,7749,480,3,1999-08-25 10:50:55,917.0,17749,
1569101,6826,425,9,1999-09-04 10:48:56,577.0,16826,
1571694,9554,490,4,1999-08-29 10:49:08,801.0,19554,
1599914,8988,280,9,2018-06-12T03:06:31,660.0,8988,
1601313,7945,487,3,1999-07-28 10:43:43,2825.0,7945,
1657714,7270,465,9,1999-08-31 10:48:03,3765.0,17270,
1783780,8698,402,7,11.07.1999 10:50,4819.0,8698,
1819381,4288,382,4,1999-08-01 10:45:04,3913.0,4288,
1843316,5284,264,2,1999-09-22 10:46:57,2821.0,25284,
1844796,9453,446,9,10.08.1999 10:47,705.0,9453,
1862871,8395,156,5,1999-08-01 10:48:26,1779.0,8395,
1864647,9753,469,6,1999-10-08 10:48:35,3893.0,29753,
1893840,9928,403,7,1999-07-22 10:50:51,2846.0,9928,
1895595,9963,87,5,1 сентября 1999 года в 10:50 утра,2962.0,19963,
1951665,9393,353,2,09.09.1999 10:47,229.0,19393,
1952767,7686,440,2,14.09.1999 10:47,2040.0,27686,
1965573,9200,463,2,22.07.1999 10:48,140.0,9200,
1971771,5425,488,3,1999-07-22 10:49:08,2405.0,5425,
1974802,9927,443,4,1999-07-08 10:49:22,1566.0,9927,
