corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
2,Корп. Апекс Лайтинг Инк., , ,,,,,12.10.2004 10:41,8,
8,Корп. Апекс РесторансИнк., , ,,,,,12.10.2004 10:41,1,
9,"Корп. ""Апекс Саил Майкерс Инк.""", , ,,,,,12.10.2004 10:41,3,
15,Корп. Бостонская операИнк., , ,,,,,12.10.2004 10:41,8,
23,Корп. Компьютерная Машинерия Инк., , ,,,,,12.10.2004 10:41,6,
31,Корп. Драйвен Кей Стоунс Инк., , ,,,,,12.10.2004 10:41,1,
45,Корп. Эксперт ОперИнк., , ,,,,,12.10.2004 10:41,1,
54,"Корп. ""Фамус Нидлворк Инк.""", , ,,,,,12.10.2004 10:41,2,
60,Корп. Фамоз ТранитИнк., , ,,,,,12.10.2004 10:41,4,
76,"Корп. ""Умбрелл Петролеум Инк.""", , ,,,,,12.10.2004 10:41,4,
78,Корп. «Умный Ресторан» Инк., , ,,,,,12.10.2004 10:41,8,
97,Корп. Просто КвестыИнк., , ,,,,,12.10.2004 10:41,7,
102,Corp. Apex Lighting Co., , ,,,,,12.10.2004 10:41,5,
124,Корп. Компьютерное вышивальное предприятие, , ,,,,,12.10.2004 10:41,4,
129,Корп. Компьютерные судоремонтные заводы, , ,,,,,12.10.2004 10:41,4,
151,Знаменитые каменные ключи Корп., , ,,,,,12.10.2004 10:41,7,
163,Корп. Giant Machinery Co., , ,,,,,12.10.2004 10:41,6,
168,Корп. «Гигант Ресторанс», , ,,,,,12.10.2004 10:41,7,
181,Корп. Имперские Ключи, , ,,,,,12.10.2004 10:41,4,
187,Корп. Имперские КвестыКо., , ,,,,,12.10.2004 10:41,2,
189,С. Имперские судоремонтники, , ,,,,,12.10.2004 10:41,8,
198,"Корп. ""Just Restaurants""", , ,,,,,12.10.2004 10:41,8,
205,Корпорация Апе́кс, , ,,,,,12.10.2004 10:41,1,
212,Корп. Бостон Лайтинг Corp., , ,,,,,12.10.2004 10:41,1,
219,Корп. Бостонских судоремонтников, , ,,,,,12.10.2004 10:41,4,
232,Corp. Подвесное освещение Corp., , ,,,,,12.10.2004 10:41,8,
245,Корп. Эксперт Операкорп., , ,,,,,12.10.2004 10:41,3,
253,Корп. Фамус Машинери Корп., , ,,,,,12.10.2004 10:41,7,
260,Корп. Знаменитая Транспортная Корпорация., , ,,,,,12.10.2004 10:41,7,
262,Компания «Гигант освещения», , ,,,,,12.10.2004 10:41,3,
263,"Корп. ""Гигант Машинериа""", , ,,,,,12.10.2004 10:41,4,
271,Корп. Крепкие каменные ключи, , ,,,,,12.10.2004 10:41,6,
281,Корп. Имперские Каменные Ключи, , ,,,,,12.10.2004 10:41,1,
283,Корп. Империал Машинери, , ,,,,,12.10.2004 10:41,2,
290,Корп. Империя Транспорт, , ,,,,,12.10.2004 10:41,1,
291,"Корп. ""Ложки Камней""", , ,,,,,12.10.2004 10:41,3,
296,"Переправка только на русский:
""Корп. Просто Корпорация Πετролеум""", , ,,,,,12.10.2004 10:41,8,
311,Корп. Бостонские каменные камни Ltd., , ,,,,,12.10.2004 10:41,2,
324,Корп. Компьютерная вышивка Ltd., , ,,,,,12.10.2004 10:41,8,
340,Корп. Драйвен Транспорт Лтд., , ,,,,,12.10.2004 10:41,4,
347,Корп. Эксперт Квестслтд., , ,,,,,12.10.2004 10:41,1,
348,Корп. Эксперт Ресторанз Лтд., , ,,,,,12.10.2004 10:41,6,
362,«Корп. «Гигант освещения» Ltd., , ,,,,,12.10.2004 10:41,8,
366,Корп. «Гигант Нефтяная Компания», , ,,,,,12.10.2004 10:41,8,
370,Корп. «Гигант Тرانит Лтд.», , ,,,,,12.10.2004 10:41,4,
375,"Корп. ""Умный ОпераЛтд.""", , ,,,,,12.10.2004 10:41,5,
376,"Corp. ""Умный Петролеум"" Лтд.", , ,,,,,12.10.2004 10:41,2,
385,Корп. Имперская опера Лтд., , ,,,,,12.10.2004 10:41,7,
388,Корп. Имперские Рестораны Лтд., , ,,,,,12.10.2004 10:41,5,
401,Корп. Апекс Кей СтоунсАг., , ,,,,,12.10.2004 10:41,1,
403,Corp. «Апекс Механикери Аг», , ,,,,,12.10.2004 10:41,3,
406,Corp. Апекс Нефть אג., , ,,,,,12.10.2004 10:41,8,
409,"Корп. ""Апекс Сייל Макиерс"" AG.", , ,,,,,12.10.2004 10:41,2,
414,Корп. Бостонская вышивкаАг., , ,,,,,12.10.2004 10:41,6,
430,Корп. Компьютер ТранситАг., , ,,,,,12.10.2004 10:41,1,
443,Корп. Эксперт МашинериАг., , ,,,,,12.10.2004 10:41,2,
447,Корп. Эксперт Квесты AG, , ,,,,,12.10.2004 10:41,3,
452,Corp. Фамус ЛайтингАг., , ,,,,,12.10.2004 10:41,2,
473,Корп. Скромная МашинерияАг., , ,,,,,12.10.2004 10:41,4,
479,Корп. Умильные кораблестроители., , ,,,,,12.10.2004 10:41,6,
485,Корп. Имперское Оперное Агентство, , ,,,,,12.10.2004 10:41,1,
