provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
15,Prov. Boston Op, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
29,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
57,Prov. Famous Qu, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,7,
70,Prov. Giant Tra, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
73,Prov. Humble Ma, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
129,Prov. Computer, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
145,Prov. Expert Op, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,5,
155,Prov. Famous Op, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,7,
161,Prov. Giant Key, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,6,
197,Prov. Just Ques, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
210,Prov. Apex Tran, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,8,
277,Prov. Humble Qu, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,8,
291,Prov. Just Key, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,9,
294,Prov. Just Need, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,6,
317,Prov. Boston Qu, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,7,
342,Prov. Expert Li, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,4,
380,Prov. Humble Tr, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,8,
431,Prov. Driven Ke, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,8,
476,Prov. Humble Pe, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,5,
494,Prov. Just Need, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,3,
