targetid,raceid,driverid,win
230,29,8,0
241,29,13,1
279,31,18,0
361,35,7,0
1222,72,35,0
1228,72,27,0
1511,85,33,0
3197,164,49,0
3797,73,23,0
6894,292,92,0
8248,1,22,0
9586,283,84,0
9647,285,94,0
11338,189,21,0
12066,139,8,0
12526,95,13,0
12609,99,46,0
12714,104,15,0
13964,51,16,0
16301,332,99,0
17617,320,99,0
17655,2,4,0
18476,363,151,0
19027,373,95,0
19715,396,95,0
19952,404,174,0
20306,416,102,0
20386,418,156,0
20649,425,95,0
20745,428,173,0
20864,431,179,0
21328,446,158,0
21538,451,170,0
22065,466,173,0
22123,468,118,0
22369,475,195,0
22701,482,105,1
23014,491,199,0
23126,492,220,0
23274,496,105,0
43448,837,509,0
43536,838,788,0
43745,827,657,0
44766,809,699,0
45314,816,675,0
45318,816,654,0
46087,792,427,0
46124,793,626,0
46224,795,607,0
46249,795,611,0
46330,796,659,0
46792,789,612,0
47113,779,541,0
48166,741,430,0
48478,732,360,0
48704,737,435,0
48846,694,399,0
49398,772,598,0
49466,773,531,0
49669,775,605,0
49985,751,526,0
49986,751,527,0
50172,754,498,0
50327,755,465,0
50785,711,428,0
51084,700,293,0
51431,708,411,0
51678,803,642,0
51928,805,665,0
52750,687,384,0
52881,656,358,0
53117,666,368,0
53204,634,333,0
53861,677,328,1
54065,624,243,0
54168,627,306,0
54576,650,312,0
55200,617,336,0
55298,590,187,0
55890,603,172,0
56538,561,276,0
56649,565,221,0
56821,569,197,0
57001,573,253,0
57049,574,253,0
57161,527,187,0
57372,534,221,0
57773,544,251,0
57932,549,254,0
58196,555,187,0
58411,558,220,0
58541,514,197,0
58624,517,222,1
58792,523,224,0
58819,524,172,0
58954,499,137,0
59012,501,177,0
59344,510,226,0
62193,760,514,0
62291,761,564,0
63516,724,439,0
63598,726,430,0
63901,342,808,0
64825,857,4,0
64886,859,16,0
65046,864,37,0
65069,865,807,0
65096,867,18,0
65452,877,813,0
65514,879,816,0
66286,264,70,0
66327,265,95,0
66365,266,112,0
66538,271,84,0
67008,917,813,0
67157,931,826,0
68340,977,840,0
