raceid,year,round,circuitid,name,date,time,url
1,2009,1,1,Австралийский Гран-при,2009-03-29,06:00:00,2009 Гран-при Австралии
2,2009,2,2,Гран-при Малайзии,2009-04-05,09:00:00,Гран-при Малайзии 2009 года
3,2009,3,17,Гран-при Китая,2009-04-19,07:00:00,2009 Chinese Гран-при
4,2009,4,3,Гран-при Бахрейна,2009-04-26,12:00:00,2009 года в Бахрейне
5,2009,5,4,Гран-при Испании,2009-05-10,12:00:00,2009 Испанская Гран-при
6,2009,6,6,Гран-при Монако,2009-05-24,12:00:00,2009 года Гран-при Монако
7,2009,7,5,Гран-при Турции,2009-06-07,12:00:00,Гран-при Турции 2009 года
8,2009,8,9,Британский Гран-при,2009-06-21,12:00:00,2009 Британская гран-при
9,2009,9,20,Гран-при Германии,2009-07-12,12:00:00,"2009 год, Гран-при Германии"
10,2009,10,11,Гран-при Венгрии,2009-07-26,12:00:00,2009 Венгерский Гран-при
11,2009,11,12,Европейский Гран-при,2009-08-23,12:00:00,2009 Европейский Гран-при
12,2009,12,13,Гран-при Бельгии,2009-08-30,12:00:00,2009 ГП Бельгии
13,2009,13,14,Гран-при Италии,2009-09-13,12:00:00,2009 Итальянский Гран-при
14,2009,14,15,Гран-при Сингапура,2009-09-27,12:00:00,https://ru.wikipedia.org/wiki/Гран-при_Сингапура_2009
15,2009,15,22,Японская гран-при,2009-10-04,05:00:00,Википедия: 2009 Японская Гран-при
16,2009,16,18,Гран-при Бразилии,2009-10-18,16:00:00,Гран-при Бразилии 2009 года
17,2009,17,24,Гран-при Абу-Даби,2009-11-01,11:00:00,Гран-при Абу-Даби 2009 года
18,2008,1,1,Австралийский Гран-при,2008-03-16,04:30:00,Гран-при Австралии 2008 года
19,2008,2,2,Гран-при Малайзии,2008-03-23,07:00:00,2008 Гран-при Малайзии
20,2008,3,3,Гран-при Бахрейна,2008-04-06,11:30:00,2008 Бахрейн Grand Prix
21,2008,4,4,Гран-при Испании,2008-04-27,12:00:00,Гран-при Испании 2008 года
22,2008,5,5,Гран-при Турции,2008-05-11,12:00:00,"2008 ГП Турции

Гран-при Турции 2008 года, 19-й этап чемпионата мира в сезоне 2008 года, состоялся 21 сентября на трассе в Стамбуле, Турция. Победителем стал Льюис Хэмилтон из McLaren, занявший второе место - Ник Хайдфельд из BMW Sauber и третий - Фелипе Масса из Ferrari."
23,2008,6,6,Гран-при Монако,2008-05-25,12:00:00,"2008 года Гран-при Монако

Гран-при Монако 2008 года (officielно — Grand Prix de Monaco 2008) — автогонка, которая состоялась 25 мая 2008 года на трассе в Монте-Карло в рамках чемпионата мира по автогонкам в классе «Формула-1» сезона 2008 года."
24,2008,7,7,Канадский Гран-при,2008-06-08,17:00:00,2008 Канадский Гран-при
25,2008,8,8,Гран-при Франции,2008-06-22,12:00:00,Гран-при Франции 2008 года
