raceid,driverid,stop,lap,time,duration,milliseconds
966,3,1,20,13:32:32,21.997,21997
864,37,4,51,15:24:24,21.471,21471
896,813,2,38,16:02:44,26.312,26312
866,18,1,15,14:23:32,21.748,21748
886,820,1,38,14:55:52,21.374,21374
940,13,2,16,14:32:49,26.735,26735
937,828,1,9,14:24:54,24.183,24183
844,16,2,25,15:43:21,21.084,21084
847,3,3,36,16:11:57,22.735,22735
903,815,2,30,15:57:11,23.636,23636
962,18,2,15,20:34:34,28.998,28998
847,10,1,34,16:08:50,24.425,24425
907,18,2,58,15:15:32,21.242,21242
880,18,3,37,18:02:18,21.538,21538
901,1,2,33,17:03:18,25.296,25296
879,4,2,18,14:29:41,23.000,23000
982,4,1,1,20:06:42,36.900,36900
964,815,1,12,14:23:45,23.605,23605
972,807,1,40,16:16:07,30.280,30280
888,820,2,20,14:37:56,19.953,19953
917,16,1,18,14:26:52,29.465,29465
948,828,1,11,16:24:51,22.357,22357
848,13,2,31,14:58:23,25.537,25537
849,24,1,11,13:25:12,26.643,26643
879,814,1,10,14:17:37,28.336,28336
953,831,2,32,14:57:11,27.166,27166
848,67,3,45,15:24:07,20.995,20995
957,3,2,17,13:37:29,29.715,29715
894,4,2,28,15:54:07,22.807,22807
887,821,2,27,13:53:31,26.040,26040
855,811,1,15,15:29:45,25.927,25927
916,826,1,21,14:43:32,24.995,24995
979,840,1,29,14:47:41,21.804,21804
952,20,1,15,14:27:51,21.643,21643
888,16,1,5,14:12:09,19.910,19910
982,840,4,26,21:05:07,29.412,29412
856,18,2,34,16:06:08,20.758,20758
862,1,1,10,15:21:13,20.903,20903
964,830,1,10,14:20:15,22.855,22855
903,3,1,13,15:26:51,23.277,23277
911,815,2,22,14:47:17,22.977,22977
845,2,3,50,15:20:32,20.796,20796
900,807,2,33,18:03:36,22.933,22933
902,154,3,37,19:08:17,25.693,25693
939,807,1,11,20:24:36,30.868,30868
910,154,1,8,14:17:53,23.979,23979
871,30,2,35,15:16:18,20.835,20835
950,3,2,36,15:08:27,23.559,23559
914,828,3,25,16:16:32,25.977,25977
976,840,1,13,17:28:26,22.625,22625
851,5,3,43,15:12:56,20.990,20990
884,813,2,13,14:23:55,13.266,13266
942,834,2,17,14:40:33,26.520,26520
953,828,2,29,14:52:28,26.435,26435
909,8,2,34,14:52:22,19.867,19867
940,826,1,8,14:17:26,23.316,23316
906,13,1,15,14:28:20,27.949,27949
893,13,1,12,20:26:59,29.040,29040
853,18,2,33,14:55:00,22.095,22095
881,823,3,28,16:56:15,25.118,25118
863,30,2,23,15:43:00,22.105,22105
939,18,1,13,20:28:57,1:05.317,65317
862,18,3,39,16:11:21,26.618,26618
874,18,1,13,15:26:28,20.233,20233
864,817,1,11,14:20:29,21.101,21101
907,821,1,12,14:18:21,55.222,55222
851,17,5,53,15:26:20,20.715,20715
871,817,2,28,15:02:51,21.060,21060
962,828,4,36,21:15:00,29.680,29680
915,13,2,27,15:51:39,30.278,30278
856,17,2,33,16:04:22,20.800,20800
844,808,1,8,15:16:06,21.422,21422
848,16,3,43,15:20:21,21.036,21036
843,155,1,14,15:28:17,21.855,21855
878,1,1,20,13:38:21,20.814,20814
977,826,1,1,14:04:23,33.607,33607
979,832,1,35,14:55:33,22.745,22745
848,3,1,12,14:25:02,21.054,21054
954,831,1,9,14:15:49,23.987,23987
940,13,1,1,14:06:55,34.166,34166
963,836,1,9,15:20:59,25.820,25820
885,821,1,28,14:42:09,25.364,25364
882,13,1,7,15:16:16,20.753,20753
976,839,1,12,17:25:45,20.493,20493
882,823,2,20,15:40:06,20.743,20743
982,835,4,12,20:34:10,30.015,30015
855,17,1,10,15:20:39,21.820,21820
883,17,1,8,15:17:54,21.798,21798
950,20,2,17,14:36:07,22.276,22276
873,17,3,40,21:26:54,29.348,29348
952,815,2,35,14:59:10,21.918,21918
918,829,2,37,18:13:03,23.545,23545
852,813,1,12,14:27:31,21.421,21421
951,821,1,1,15:06:09,40.169,40169
862,4,3,38,16:09:52,20.024,20024
849,153,1,12,13:26:20,24.719,24719
926,828,1,1,16:05:59,22.681,22681
914,826,2,11,15:48:22,24.567,24567
854,67,1,11,20:25:50,32.827,32827
950,154,2,20,14:41:52,24.615,24615
848,4,2,29,14:54:36,20.551,20551
891,821,3,41,15:23:35,17.433,17433
976,825,3,22,17:53:37,21:52.704,1312704
969,826,2,49,17:20:30,24.026,24026
872,4,1,20,14:33:52,21.515,21515
978,830,2,49,14:25:07,28.056,28056
911,1,1,2,14:08:41,25.580,25580
851,20,2,28,14:48:22,20.611,20611
855,30,1,9,15:19:04,20.667,20667
862,1,2,22,15:42:10,20.691,20691
959,830,2,28,14:41:22,19.137,19137
862,37,1,17,15:34:24,23.634,23634
891,813,1,11,14:25:40,27.059,27059
876,1,1,32,15:52:33,20.852,20852
884,807,5,38,15:02:43,28.971,28971
890,815,1,23,14:38:10,22.323,22323
909,825,1,1,14:05:24,25.859,25859
870,814,2,38,15:03:06,20.352,20352
936,815,3,41,15:08:53,22.574,22574
948,3,2,18,16:36:58,18:09.303,1089303
952,4,2,39,15:05:28,22.987,22987
884,819,2,23,14:39:41,20.870,20870
940,4,1,9,14:19:04,23.640,23640
863,3,1,8,15:17:15,22.228,22228
880,20,2,21,17:36:32,22.704,22704
