statusid,status
2,Дисквалифицированные
4,Столкновение
5,Двигатель
6,Коробка передач
7,Передача
8,Сцепление
10,Электротехническое оборудование
11,+1 лап
12,+2 лапы
13,+3 лапы
15,+5 Лапы
16,+6 лап
17,+7 лапы
19,+9 лап
20,Отскочила.
21,Радиатор
24,Дифференциальные
26,Механическая
27,Шины
29,Прокол
30,Водитель
31,Выбыли в отставку
32,Давление топлива
33,Переднее крыло
34,Давление воды
36,Колесо
37,Дроссельная заслонка
39,Технические вопросы
40,Электроника
41,Разбитое крыло
42,Пожар теплозащитных экранов
43,Выхлоп
44,Утечка нефти
45,+11 Лапы
46,Колесный обод
47,Утечка воды
48,Топливный насос
49,Железнодорожный стержень
51,Давление масла
55,+12 лапы
56,Пожар двигателя
58,+26 лап
59,Прокол шины
61,Колесный орех
63,Пневматические
66,Огонь
67,Колесный подшипник
68,Физическое
71,Топливная установка
74,Топливо
76,Вибрации
77,107% Правило
79,Водитель
80,3.2 Зажигание
83,Шасси
84,Аккумуляторная батарея
85,Стационарная
86,Полуслойный
88,+10 лапы
90,Не возобновляется
91,Переносчик
93,Ремень безопасности
94,Нефтяной насос
95,Утечка топлива
96,Исключено
97,Не проходил предквалификационный отбор
99,Распределитель
100,Водитель нездоров
101,Турбо
102,Косяк CV
103,Водонасыщенный насос
104,несчастный случай со смертельным исходом
105,Свечи зажигания
106,Топливная труба
107,Повреждение глаз
109,5.1.1 Мост
110,Водяная труба
113,+25 лап
114,+18 Лапы
115,+22 лапы
117,+24 лапы
119,+23 лапы
120,+21 лап
121,Магнито
123,+30 лап
124,+19 лап
126,Сверхзарядное устройство
127,+20 лап
128,+42 лапы
129,Пропуск зажигания в двигателе
131,Мощность
132,ERS
133,+49 лап
134,+38 лапы
135,Тормозной трубопровод
136,Сиденье
