raceid,driverid,lap,position,time,milliseconds
139,11,63,11,1:15.433,75433
65,9,56,7,1:28.320,88320
909,18,3,6,1:24.575,84575
121,48,14,9,1:50.296,110296
918,829,1,20,2:03.994,123994
40,14,36,13,1:19.799,79799
51,11,2,14,1:53.241,113241
872,815,47,2,1:28.008,88008
52,14,42,8,1:19.361,79361
119,2,45,9,1:18.756,78756
841,153,55,13,1:33.145,93145
979,835,54,14,1:22.440,82440
200,35,22,6,1:17.172,77172
90,2,2,14,1:30.046,90046
72,22,6,11,1:39.248,99248
193,68,50,14,1:33.916,93916
41,24,3,12,1:20.116,80116
125,62,4,17,1:45.242,105242
974,154,62,8,1:26.173,86173
44,5,3,5,1:22.627,82627
64,18,12,3,1:17.544,77544
41,3,36,17,1:41.235,101235
185,44,4,17,1:25.144,85144
154,44,28,12,1:53.259,113259
908,824,38,15,1:40.821,100821
214,55,68,7,1:29.889,89889
844,153,29,12,1:34.648,94648
977,840,69,10,1:09.070,69070
848,2,46,10,1:44.337,104337
70,11,42,10,1:13.779,73779
936,154,27,13,1:29.650,89650
976,1,7,1,1:46.483,106483
