driverstandingsid,raceid,driverid,points,position,positiontext,wins
362,35,8,75.0,3,3,2
3165,162,55,0.0,22,22,0
3226,165,14,34.0,2,2,2
3316,169,14,58.0,3,3,3
3409,173,63,6.0,11,11,0
3520,79,37,4.0,18,18,0
6905,293,30,17.0,3,3,0
7091,300,119,44.0,2,2,0
7140,301,81,0.0,19,19,0
7202,303,81,0.0,21,21,0
9492,280,109,5.0,9,9,0
9654,286,77,10.0,10,10,0
10649,256,50,0.0,31,31,0
11941,133,18,10.0,7,7,0
12107,140,44,3.0,14,14,0
12396,122,48,4.0,17,17,0
12748,105,47,1.0,20,20,0
12832,54,32,1.0,12,12,0
15921,323,102,13.0,1,1,1
16139,328,118,1.0,14,14,0
16159,329,131,2.0,13,13,0
16174,329,129,0.0,27,27,0
16269,331,139,0.0,24,24,0
16307,332,133,2.0,13,13,0
16311,333,102,78.0,1,1,6
17090,305,110,0.0,31,31,0
17538,318,94,6.0,11,11,0
17556,318,133,0.0,36,36,0
17711,3,18,21.0,1,1,2
17771,5,18,41.0,1,1,4
17877,7,67,3.0,14,14,0
18402,362,112,0.0,29,29,0
18705,369,138,0.0,28,28,0
19236,380,158,1.0,14,14,0
19475,387,112,0.0,24,24,0
19709,395,163,1.0,18,18,0
20252,414,173,0.0,20,20,0
20342,417,77,8.0,10,10,0
20632,425,172,2.0,15,15,0
21204,442,158,3.0,12,12,0
21560,452,182,4.0,2,2,0
21580,452,190,0.0,22,22,0
21706,457,172,8.0,9,9,0
22025,465,152,1.0,19,19,0
22180,470,206,0.0,22,22,0
22243,472,181,2.0,17,17,0
22411,476,136,0.0,34,34,0
22486,478,176,3.0,19,19,0
22562,480,205,0.0,26,26,0
22734,482,211,0.0,33,33,0
22962,489,206,0.0,30,30,0
23233,495,218,0.0,38,38,0
43242,834,789,0.0,27,27,0
43698,827,642,12.0,1,1,1
43970,831,641,10.0,6,6,0
44660,824,677,0.0,88,88,0
44892,811,677,0.0,62,62,0
45042,813,518,2.0,12,12,0
45099,814,649,0.0,69,69,0
45381,816,720,0.0,35,35,0
46919,791,427,0.0,54,54,0
47407,783,597,0.0,31,31,0
48091,739,475,12.0,1,1,1
48114,739,437,0.0,20,20,0
48667,736,464,0.0,41,41,0
48948,698,373,16.0,6,6,1
49000,766,456,0.0,17,17,0
49207,770,582,0.0,47,47,0
49208,770,583,0.0,29,29,0
49398,772,598,0.0,81,81,0
49710,747,503,0.0,28,28,0
50995,718,364,19.0,6,6,2
51403,707,402,0.0,37,37,0
52013,806,478,8.0,7,7,0
52630,683,387,2.0,17,17,0
52952,659,351,0.0,19,19,0
53077,664,353,0.0,19,19,0
53145,632,304,1.0,6,6,0
53213,634,334,0.0,27,27,0
53853,677,306,11.0,9,9,0
54006,622,250,1.0,12,12,0
54176,627,232,1.0,19,19,0
54469,647,364,0.0,31,31,0
54496,648,339,0.0,33,33,0
54554,650,235,10.0,7,7,0
54791,605,329,0.0,10,10,0
54819,606,330,0.0,12,12,0
55801,602,200,0.0,33,33,0
56182,583,289,0.0,22,22,0
56237,584,276,0.0,21,21,0
56301,586,235,3.0,14,14,0
56483,589,301,0.0,43,43,0
56593,563,172,3.0,10,10,0
56839,569,271,0.0,31,31,0
56911,571,231,47.0,2,2,4
56994,573,233,6.0,14,14,0
57133,575,246,0.0,41,41,0
57308,532,197,0.0,19,19,0
57783,544,182,4.0,6,6,0
58229,555,203,0.0,34,34,0
58383,558,258,0.0,22,22,0
58747,521,119,2.0,14,14,0
58940,498,207,0.0,16,16,0
58949,498,225,0.0,25,25,0
58964,499,203,0.0,17,17,0
62402,763,356,31.0,1,1,2
63459,722,423,0.0,26,26,0
63787,339,1,31.0,6,6,0
64172,351,15,0.0,22,22,0
64418,843,153,0.0,15,15,0
64482,846,808,21.0,9,9,0
65072,866,18,45.0,8,8,1
65833,893,815,22.0,12,12,0
65844,893,807,19.0,13,13,0
66352,266,106,0.0,26,26,0
66377,267,101,0.0,30,30,0
66883,912,807,70.0,8,8,0
67026,918,16,0.0,18,18,0
67154,931,830,6.0,14,14,0
67288,938,20,178.0,3,3,2
67372,940,834,0.0,21,21,0
67509,941,831,25.0,13,13,0
67915,962,826,25.0,14,14,0
67949,964,822,81.0,7,7,0
68106,948,4,0.0,21,21,0
