resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
4804,243,44,27,26,15,6.0,6,6,1.0,64,,,,,,,11
22918,948,1,131,44,1,2.0,2,2,18.0,57,+8.060,6503625.0,48.0,4.0,1:30.646,210.608,1
22927,948,835,4,30,13,11.0,11,11,0.0,57,+1:23.399,6578964.0,14.0,18.0,1:32.955,205.376,1
22930,948,18,1,22,12,14.0,14,14,0.0,56,,,33.0,8.0,1:31.684,208.223,11
22941,949,1,131,44,1,3.0,3,3,15.0,57,+30.148,5644844.0,43.0,2.0,1:34.677,205.785,1
22958,949,18,1,22,14,,R,20,0.0,6,,,3.0,20.0,1:39.427,195.954,131
22960,949,835,4,30,19,,W,22,0.0,0,,,,0.0,,,9
22967,950,1,131,44,22,7.0,7,7,6.0,56,+1:18.230,6012121.0,32.0,10.0,1:40.662,194.945,1
22973,950,18,1,22,12,13.0,13,13,0.0,56,+1:41.990,6035881.0,46.0,3.0,1:40.298,195.652,1
22982,950,835,4,30,19,22.0,22,22,0.0,55,,,26.0,20.0,1:42.232,191.951,11
22984,951,1,131,44,10,2.0,2,2,18.0,53,+25.022,5587019.0,36.0,4.0,1:40.266,209.969,1
22992,951,18,1,22,12,10.0,10,10,1.0,52,,,50.0,8.0,1:41.720,206.968,11
22995,951,835,4,30,18,13.0,13,13,0.0,52,,,37.0,19.0,1:42.660,205.073,11
23013,952,18,1,22,12,9.0,9,9,2.0,65,,,39.0,18.0,1:30.260,185.663,11
23017,952,835,4,30,17,13.0,13,13,0.0,65,,,35.0,14.0,1:29.779,186.658,11
23025,952,1,131,44,1,,R,21,0.0,0,,,,0.0,,,4
23027,953,1,131,44,3,1.0,1,1,25.0,78,1:59:29.133,7169133.0,71.0,1.0,1:17.939,154.135,1
23035,953,18,1,22,13,9.0,9,9,2.0,77,,,66.0,12.0,1:19.670,150.786,11
23048,953,835,4,30,18,,R,22,0.0,7,,,2.0,22.0,1:58.474,101.399,3
23049,954,1,131,44,1,1.0,1,1,25.0,70,1:31:05.296,5465296.0,68.0,2.0,1:15.981,206.625,1
23069,954,835,4,30,16,,R,21,0.0,16,,,6.0,22.0,1:19.879,196.542,31
23070,954,18,1,22,12,,R,22,0.0,9,,,5.0,21.0,1:19.456,197.588,131
23075,955,1,131,44,10,5.0,5,5,10.0,51,+56.335,5628701.0,42.0,2.0,1:46.822,202.306,1
23081,955,18,1,22,19,11.0,11,11,0.0,51,+1:44.817,5677183.0,50.0,10.0,1:47.622,200.802,1
23085,955,835,4,30,21,15.0,15,15,0.0,50,,,48.0,8.0,1:47.583,200.875,11
23093,956,1,131,44,1,1.0,1,1,25.0,71,1:27:38.107,5258107.0,67.0,1.0,1:08.411,227.647,1
23098,956,18,1,22,3,6.0,6,6,8.0,71,+37.706,5295813.0,70.0,9.0,1:10.001,222.476,1
23104,956,835,4,30,19,12.0,12,12,0.0,70,,,53.0,13.0,1:10.228,221.757,11
23115,957,1,131,44,1,1.0,1,1,25.0,52,1:34:55.831,5695831.0,45.0,3.0,1:35.771,221.440,1
23126,957,18,1,22,17,12.0,12,12,0.0,51,,,36.0,16.0,1:37.907,216.609,11
23132,957,835,4,30,18,,R,18,0.0,37,,,36.0,18.0,1:39.755,212.596,6
23137,958,1,131,44,2,1.0,1,1,25.0,70,1:40:30.115,6030115.0,69.0,3.0,1:23.849,188.095,1
23148,958,835,4,30,17,12.0,12,12,0.0,69,,,41.0,16.0,1:25.743,183.940,11
23158,958,18,1,22,8,,R,22,0.0,60,,,9.0,21.0,1:26.744,181.817,44
