year,url
1950,"Сезон 1950 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», проводимыми под эгидой FIA. Он включал в себя восемь гонок и начался 13 мая Гран-при Великобритании, а закончился 18 сентября Гран-при Испании.

В сезоне приняли участие десять пилотов, из которых только пять завершили сезон. Чемпионом мира стал Альберто Аскари, который набрал 26 очков."
1960,"Сезон 1960 года в Формуле-1 был девятым сезоном чемпионата мира по автогонкам в классе Формулы-1, организованным Федеральной автоспортивной историей (FIA). Сезон начался 24 апреля и закончился 3 сентября, включив в себя девять гонок."
1961,Сезон 1961 года в Формуле-1
1962,Сезон 1962 года в Формуле-1
1963,Сезон 1963 года в Формуле-1
1964,Сезон 1964 года в Формуле-1
1966,Сезон 1966 года в Формуле-1
1968,Сезон 1968 года в Формуле-1
1969,Сезон 1969 года в Формуле-1
1972,"Сезон 1972 года в Формуле-1 был 28-м сезоном чемпионата мира, организованным ФИА. Сезон начался 14 января и закончился 25 ноября после проведения 15 гонок. Ими стали три чемпиона: Emerson Fittipaldi, который выиграл два гонки и стал чемпионом с преимуществом всего одного очка над Джеки Иксом; Джоди Секстон, который также выиграл две гонки; и Нино Ваккарелла, который выиграл Гран-при Монако."
1975,Сезон 1975 года в Формуле-1
1978,Сезон 1978 года в Формуле-1
1980,"Сезон 1980 года в Формуле-1 был 35-м сезоном чемпионата мира в классе «Формула-1», который прошёл с 12 января по 27 сентября 1980 года. В сезоне 1980 года впервые приняли участие 16 пилотов и 12 команд. Чемпионом сезона стал канадец Джайлз Вильнев, а лучшим конструктёром — команда «Лотус»."
1987,"Сезон 1987 года в Формуле-1 был 42-м сезоном чемпионата мира в Формуле-1, который проводится под эгидой ФИА. В сезоне 1987 года приняли участие 16 команд и 34 пилота. Сезон состоял из 16 гонок, которые прошли в таких странах, как: Бразилия, Южная Африка, Испания, Монако, Канада, Великобритания, Германия, Австрия, Нидерланды, Италия, Португалия, Япония и Австралия."
1991,"Сезон 1991 года в Формуле-1 стал 42-м сезоном чемпионата мира в Формуле-1, определенным FIA. Сезон начался 17 марта и закончился 25 октября после 16 гонок. Поли Гизер, бразилец, был убит во время тестов на трассе Херарес в Испании в июле 1990 года. Это был первый сезон с 1983 года без Айртона Сенны. Ален Прост, который не участвовал в сезоне 1982 года и вернулся в 1983 году, в 1991 году ушел на пенсию. Он объявил о своем уходе из спорта после того, как выиграл свой третий титул чемпиона мира в 1990 году."
1994,"Сезон 1994 года в Формуле-1 был 48-м сезоном чемпионата мира в Формуле-1, установленным Fédération Internationale de l'Automobile (FIA). Сезон начался 13 марта и закончился 11 декабря после проведения двадцати гонок. Майкл Шумахер из команды Benetton-Ford выиграл свой первый чемпионат мира, а его команда выиграла чемпионат Конструкторов. Сезон ознаменовался гибелью Айртона Сенны и Рольфа Штоммелена. Это также был последний сезон для трёхкратного чемпиона Ники Лауды, который ушёл в отставку после победы в гонке на Гран-при Австралии."
1995,Сезон 1995 года в Формуле-1
1998,"Сезон 1998 года в Формуле-1 был 52-м сезоном чемпионата мира Формулы-1, который проводился с 13 января по 13 сентября 1998 года. В сезоне было проведено 17 гонок. Чемпионом среди пилотов стал Михаэль Шумахер из команды Benetton, а среди конструкторов — Ferrari."
2001,Сезон 2001 года в Формуле-1
2002,Сезон 2002 года в Формуле-1
2003,"Сезон 2003 года в Формуле-1 стал 58-м сезоном чемпионата мира по автогонкам в классе «Формула-1», который проведён под эгидой FIA, и был разыгран с 17 марта по 24 октября 2003 года. В сезоне приняло участие десять команд, а также десять гонщиков на каждом уик-энде."
2009,Сезон 2009 года в Формуле-1
2012,"Сезон 2012 года в Формуле-1 — 63-й сезон чемпионата мира в Формуле-1, установленного FIA. Сезон начался 18 марта и завершился 25 ноября на Гран-при Бразилии. Все команды использовали шины от Pirelli, а двигатели были от Honda."
2013,"Сезон 2013 года в Формуле-1 стал 64-м сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводится под эгидой FIA. В сезоне 2013 приняли участие 26 команд, каждая из которых использовала один из двух типов болидов: «Пезо» и «Фервекс». Сезон состоял из 19 этапов, впервые с 2005 года, когда было проведено 18 гонок."
2015,Сезон 2015 года в Формуле-1
2017,"Сезон 2017 года в Формуле-1 стал 72-м сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного FIA. Сезон начался 25 марта и завершился 26 ноября, включив в себя 20 этапов и посетив Европу, Азию, Северную Америку, Ближний Восток и Австралию.

Чемпионом среди пилотов стал Себастьян Феттель из команды Ferrari, а чемпионом среди конструкторов – команда Mercedes."
