constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
1485,161,17,8.0,5,5,0
1487,161,1,26.0,2,2,1
3414,299,17,0.0,13,13,0
5054,241,31,0.0,9,9,0
5699,148,22,1.0,10,10,0
5906,134,3,66.0,2,2,1
6035,113,17,11.0,5,5,1
6069,117,3,100.0,2,2,3
6103,120,16,15.0,5,5,0
7859,333,21,2.0,9,9,0
7881,334,6,100.0,2,2,6
7906,335,39,0.0,14,14,0
8315,309,3,17.0,3,3,0
8516,320,25,12.0,6,6,0
8674,6,7,26.5,3,3,0
8778,356,32,0.0,7,7,0
8823,358,3,3.0,8,8,0
9246,377,22,12.0,3,3,0
9322,381,18,1.0,10,10,0
9416,386,44,0.0,17,17,0
9517,393,32,30.0,3,3,2
9644,401,21,11.0,6,6,0
10516,454,21,3.0,6,6,0
10634,462,34,41.0,3,3,1
10801,471,25,10.0,5,5,0
10851,474,1,42.0,1,1,3
11117,487,53,0.0,17,17,0
11164,490,45,0.0,15,15,0
11369,502,51,2.0,11,11,0
13925,17,2,36.0,6,6,0
17781,768,105,3.0,5,5,0
18846,756,105,0.0,7,7,0
18869,759,117,0.0,8,8,0
18921,764,66,18.0,3,3,1
19843,723,172,37.0,1,1,4
20089,711,92,0.0,9,9,0
20117,714,181,3.0,6,6,0
20170,718,92,0.0,10,10,0
20719,697,187,2.0,8,8,0
20828,685,6,19.0,4,4,0
20917,667,167,0.0,6,6,0
21037,675,6,32.0,3,3,1
21569,646,86,0.0,8,8,0
21926,623,6,19.0,3,3,0
22126,612,81,1.0,9,9,0
22173,616,58,5.0,9,9,0
22243,592,80,1.0,9,9,0
22398,602,66,10.0,6,6,0
22454,576,37,0.0,8,8,0
22518,580,67,0.0,9,9,0
22760,585,64,25.0,4,4,1
22858,560,56,0.0,9,9,0
22943,565,63,2.0,11,11,0
23011,569,204,9.0,6,6,0
23018,569,6,64.0,1,1,6
23068,572,204,9.0,9,9,0
23157,543,1,0.0,12,12,0
23288,552,27,10.0,7,7,1
23339,555,34,27.0,5,5,0
23386,557,66,0.0,16,16,0
23987,512,3,0.0,7,7,0
24028,515,25,8.0,4,4,0
24038,515,27,29.0,2,2,2
24172,523,60,0.0,16,16,0
24515,75,16,0.0,10,10,0
25062,874,164,0.0,12,12,0
25338,898,1,102.0,5,5,0
25355,212,1,21.0,3,3,1
25398,215,21,1.0,10,10,0
25416,217,6,74.0,1,1,3
25428,218,6,84.0,1,1,4
25431,218,15,15.0,7,7,0
25530,258,17,7.0,3,3,0
25766,39,6,49.0,1,1,3
26215,933,5,19.0,8,8,0
26225,934,5,19.0,8,8,0
26701,966,6,365.0,3,3,0
26814,977,131,287.0,1,1,5
