statusid,status
2,Отклонено
4,Авария
6,Гепбокс
9,Гидравлика
12,+2 кругов
16,+6 кругов
17,+7 кругов
19,+9 кругов
21,Конденсатор
22,Приостановка
29,"Переклад: ""Пунктуация"""
31,Пенсионер
38,Управление
39,Технический
44,Нефтяной утечки
45,+11 кругов
47,Плыть
56,Пожар в двигателе
58,+26 кругов
62,Не классифицировано
64,Обработка
71,Заправочная платформа
75,Потребление энергии
76,Вибрация
79,Двигало-передаточный механизм
85,Затвор
88,Десять кругов
89,Безопасность
90,Я не начал говорить на русском.
91,Альтернативный генератор
95,Топливо-присосочный
97,Не прошедший предварительный отбор
100,Водитель не в порядке
104,Смертельная авария
110,Водопроводная труба
111,+14 кругов
116,+16 кругов
117,24 круга
128,42 лапы
