constructorid,constructorref,name,nationality,url
9,красный_булль,Красный Бык,Австрия,http://en.wikipedia.org/wiki/Red_Bull_Racing
11,хонда,Хонда,Японский,http://en.wikipedia.org/wiki/Honda_Racing_F1
12,Спайкер,Спайкер,Датч,http://en.wikipedia.org/wiki/Spyker_F1
13,mf1,MF1,Русский,http://en.wikipedia.org/wiki/Midland_F1_Racing
14,Spyker_mf1,Спайкер MF1,Датч,http://en.wikipedia.org/wiki/Midland_F1_Racing
29,работа на ногах,Футболка,Британские,http://en.wikipedia.org/wiki/Footwork_Arrows
34,Брабхем,Брэбхэм,Британские,http://en.wikipedia.org/wiki/Brabham
46,Оникс,Оникс,Британские,http://en.wikipedia.org/wiki/Onyx_(гонка_team)
47,жизнь,Жизнь,Итальянский,http://en.wikipedia.org/wiki/Life_(Racing_Team)
48,риал,Rial,Немецкий,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
61,kauhsen,Каухсен,Немецкий,http://en.wikipedia.org/wiki/Kauhsen
71,аполлон,Аполлон,Швейцария,http://en.wikipedia.org/wiki/Apolon_(Formula_One)
74,Маки,Маки,Японский,http://en.wikipedia.org/wiki/Maki_(кари)
78,Амон,Амон,Новая Зеландия,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
81,текно,Текно,Итальянский,http://en.wikipedia.org/wiki/Tecno
91,Шеннон,Шеннон,Британские,http://en.wikipedia.org/wiki/Shannon_(Формула_One)
93,re,РЭ,Родезийцы,http://en.wikipedia.org/wiki/RE_%28automobile%29
97,Гилби,Гилби,Британские,http://en.wikipedia.org/wiki/Gilby
105,Мазерати,Мазерати,Итальянский,http://en.wikipedia.org/wiki/Maserati
106,Скараб,Скараб,Американцы,http://en.wikipedia.org/wiki/Scarab_(constructor)
110,Лесовский,Лесовский,Американцы,http://en.wikipedia.org/wiki/Lesovsk
120,Дюнн,Данн,Американцы,http://en.wikipedia.org/wiki/Dunn_Engineering
127,Оска,ОККА,Итальянский,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
132,Лансия,Лансия,Итальянский,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
133,хм,HWM,Британские,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
136,Панкратц,Панкратц,Американцы,http://en.wikipedia.org/wiki/Pankratz
141,Симка,Симка,Французский,http://en.wikipedia.org/wiki/Simca
144,veritas,Веритас,Немецкий,http://en.wikipedia.org/wiki/Veritas_ (constructor)
147,afm,ПФМ,Немецкий,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
151,Эпоха,ЭРА,Британские,http://en.wikipedia.org/wiki/English_Racing_Automobiles
160,wetterotherote,Сверху,Американцы,http://en.wikipedia.org/wiki/Wetteroth
171,Купер-кабеллотти,Купер-Кастеллотти,Британские,http://en.wikipedia.org/wiki/Cooper_Car_Company
176,Лотос-бром,Lotus-BRM,Британские,http://en.wikipedia.org/wiki/Team_Lotus
179,de_tomaso-ferrari,Де Томасо-Феррари,Итальянский,http://en.wikipedia.org/wiki/De_Tomaso
184,Ids-climax,LDS-Climax,Южная Африка,http://en.wikipedia.org/wiki/LDS_(automobile)
191,Брабхем-репко,Брабхам-Репко,Британские,http://en.wikipedia.org/wiki/Brabham
194,mclaren-brm,McLaren-BRM,Британские,http://en.wikipedia.org/wiki/McLaren_(гонка)
198,Mclaren-Alfa_romeo,Макларен-Альфа Ромео,Британские,http://en.wikipedia.org/wiki/McLaren_(гонка)
