constructorresultsid,raceid,constructorid,points,status
493,64,6,18.0,
688,83,1,10.0,
1019,116,6,10.0,
1127,126,16,0.0,
1540,164,17,0.0,
1573,167,22,0.0,
1652,174,18,0.0,
1860,193,25,0.0,
2596,258,18,0.0,
2738,268,15,0.0,
3319,309,17,5.0,
3850,3,2,0.0,
4367,375,49,0.0,
5759,468,6,1.0,
6161,492,56,0.0,
6248,498,34,6.0,
6409,509,3,10.0,
10541,721,172,9.0,
10630,728,167,0.0,
11134,696,11,0.0,
11239,687,190,0.0,
11562,662,66,0.0,
11919,640,200,6.0,
12979,565,204,0.0,
13012,567,27,0.0,
13374,558,34,0.0,
13547,536,6,9.0,
13691,513,204,0.0,
14018,346,166,0.0,
14880,906,3,6.0,
15327,958,15,0.0,
15428,968,131,43.0,
