resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
229,29,13,6,2,1,1.0,1,1,10.0,57,1:35:32.339,5732339.0,36.0,1.0,1:38.708,197.637,1
454,39,15,7,12,6,,r,20,0.0,8,,,6.0,19.0,1:26.094,194.647,32
493,41,27,12,21,21,,r,15,0.0,47,,,21.0,18.0,1:19.254,198.092,33
706,51,14,9,14,5,8.0,8,8,1.0,56,+1:20.750,5959145.0,55.0,10.0,1:39.640,196.945,1
1083,68,3,3,10,15,11.0,11,11,0.0,55,,,52.0,14.0,1:40.471,195.316,11
1275,78,8,1,9,7,1.0,1,1,10.0,70,1:32:09.290,5529290.0,23.0,1.0,1:14.384,211.061,1
2573,141,57,1,3,3,,r,17,0.0,25,,,,,,,22
2665,145,37,19,19,20,,r,21,0.0,5,,,,,,,4
2709,147,31,3,6,7,,r,21,0.0,2,,,,,,,20
2963,159,14,1,2,2,,"Добро пожаловать в Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",11,0.0,71,,,,,,,2
4460,227,63,25,19,14,,"Добро пожаловать в Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",14,0.0,66,,,,,,,2
4533,230,69,28,22,21,,"Я не получаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",21,0.0,0,,,,,,,77
4888,246,81,29,9,16,14.0,14,14,0.0,69,,,,,,,13
4901,247,14,3,6,3,3.0,3,3,4.0,61,+23 888,5698981.0,,,,,1
6088,292,77,1,2,7,4.0,4,4,3.0,65,+1 (20) 647-5392,7051321.0,,,,,1
6593,308,105,29,9,22,,r,19,0.0,39,,,,,,,5
6727,312,55,6,28,6,,r,17,0.0,31,,,,,,,4
8916,385,105,6,27,10,,r,21,0.0,15,,,,,,,5
8944,386,110,48,22,14,,r,18,0.0,36,,,,,,,25
9245,397,133,45,21,21,,r,25,0.0,0,,,,,,,10
9391,403,137,3,6,3,,r,11,0.0,58,,,,,,,23
9930,424,123,21,18,7,9.0,9,9,0.0,68,,,,,,,12
11447,479,195,57,14,16,,r,21,0.0,6,,,,,,,20
11568,483,110,1,8,22,,r,24,0.0,0,,,,,,,4
12356,511,163,4,16,6,7.0,7,7,0.0,58,,,,,,,11
12469,515,223,3,28,15,,r,15,0.0,48,,,,,,,5
14355,583,200,1,2,8,,r,18,0.0,61,,,,,,,3
17295,714,408,66,26,16,6.0,6,6,1.0,14,,,,,,,11
18280,755,427,167,18,19,15.0,15,15,0.0,66,,,,,,,19
18692,774,482,6,20,5,,r,16,0.0,4,,,,,,,22
18801,779,618,66,28,12,,r,11,0.0,24,,,,,,,7
19008,789,541,66,25,17,,r,27,0.0,2,,,,,,,5
19338,804,641,6,4,13,6.0,6,6,0.0,21,,,,,,,11
19446,809,701,113,49,28,15.0,15,15,0.0,177,,,,,,,121
19460,809,521,114,97,16,,r,29,0.0,42,,,,,,,95
20480,343,22,3,9,15,14.0,14,14,0.0,57,,,53.0,17.0,1:30.933,211.329,11
20593,348,37,15,22,9,7.0,7,7,6.0,69,,,65.0,10.0,1:24.342,186.995,11
20707,353,4,6,8,3,1.0,1,1,25.0,55,2:48:20.810,10100810.0,42.0,1.0,1:50.257,183.335,1
20744,354,22,3,9,6,14.0,14,14,0.0,70,,,69.0,13.0,1:15.227,206.207,11
21640,877,8,208,9,4,1.0,1,1,25.0,55,1:45:58.667,6358667.0,50.0,3.0,1:44.458,191.410,1
22502,917,13,3,19,3,3.0,3,3,15.0,71,+7.000000,5443586.0,59.0,7.0,1:14.101,209.341,1
23576,978,826,5,26,12,15.0,15,15,0.0,50,,,29.0,17.0,1:33.594,226.591,11
