driverid,driverref,number,code,forename,surname,dob,nationality,url
21,Фишичелла,,ФИС,Джанкарло,Фишичелла,1973-01-14,Итальянский,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
22,Баррихелло,,БАР,Рубены,Баррихелло,1972-05-23,Бразилия,http://en.wikipedia.org/wiki/Rubens_Barrichello
30,Майкл_шумахер,,КБМ,Майкл,Шумахер,1969-01-03,Немецкий,http://en.wikipedia.org/wiki/Michael_Schumacher
31,Монтойя,,МОН,Хуан,Пабло Монтойя,1975-09-20,Колумбия,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya
41,Зонта,,Зон,Рикардо,Зонта,1976-03-23,Бразилия,http://en.wikipedia.org/wiki/Ricardo_Zonta
101,Брабхем,,,Дэвид,Брэбхэм,1965-09-05,Австралия,http://en.wikipedia.org/wiki/David_Brabham
121,Андретти,,,Майкл,Андретти,1962-10-05,Американцы,http://en.wikipedia.org/wiki/Michael_Andrettti
162,Рафанель,,,Пьер-Анри,Рафанель,1961-05-27,Французский,http://en.wikipedia.org/wiki/Perent-Henri_Raphanel
185,колокольчик,,,Стефан,Беллоф,1957-11-20,Немецкий,http://en.wikipedia.org/wiki/Stefan_Bellof
216,стор,,,Зигфрид,Штор,1952-10-10,Итальянский,http://en.wikipedia.org/wiki/Siegfried_Stor
220,Франция,,,Джорджио,Франсия,1947-11-08,Итальянский,http://en.wikipedia.org/wiki/Giorgio_Francia
243,спазмы,,,Рольф,Стаммелен,1943-07-11,Немецкий,http://en.wikipedia.org/wiki/Rolf_Stommelen
276,Эваны,,,Боб,Эванс,1947-06-11,Британские,http://en.wikipedia.org/wiki/Bob_Evans_(race_driver)
327,vert,,,Франсуа,Север,1944-02-25,Французский,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Cevert
345,Родригез,,,Педро,Родригес,1940-01-18,Мексика,http://en.wikipedia.org/wiki/Pedro_Rodr%C3Adguez_(gacing_driver)
372,связки,,,Джон,Кордты,1935-07-23,Канада,http://en.wikipedia.org/wiki/John_Cordts
382,Солана,,,Моисе,Солана,1935-12-26,Мексика,http://en.wikipedia.org/wiki/Mois%C3%A9s_Solana
399,Тэйлор,,,Джон,Тейлор,1933-03-23,Британские,http://en.wikipedia.org/wiki/John_Taylor_ (реактор)
407,пророк,,,Дэвид,Пророк,1937-10-09,Британские,http://en.wikipedia.org/wiki/David_Prophet
442,Кунке,,,Курт,Кунке,1910-04-30,Немецкий,http://en.wikipedia.org/wiki/Kurt_Kuhnke
474,Вайвер,,,Сид,Ван дер Вайвер,1920-06-01,Южная Африка,http://en.wikipedia.org/wiki/Syd_van_der_Vyver
506,полукорд,,,Брюс,Полукорд,1931-05-18,Британские,http://en.wikipedia.org/wiki/Bruce_Halford
508,повторное использование,,,Лэнс,Возврат,1936-02-24,Американцы,http://en.wikipedia.org/wiki/Lance_Reventlow
522,Мрачно,,,Бобби,Скрипка,1924-09-04,Американцы,http://en.wikipedia.org/wiki/Bobby_Grim
533,Бойд,,,Джонни,Бойд,1926-08-19,Американцы,http://en.wikipedia.org/wiki/Johny_Boyd
567,Орей,,,Фриц,Д'Ори,1938-03-25,Бразилия,http://en.wikipedia.org/wiki/fritz_d%27Orey
573,Томасо,,,Алессандро,Томасо,1928-07-10,Аргентинско-итальянский,http://en.wikipedia.org/wiki/Alessandro_de_Tomaso
575,Сказал,,,Боб,Сказал,1932-05-05,Американцы,http://en.wikipedia.org/wiki/Bob_Said
596,Элисиан,,,Эд,Элизиан,1926-12-09,Американцы,http://en.wikipedia.org/wiki/Ed_Elisian
608,Кастельотти,,,Эухенио,Кастельотти,1930-10-10,Итальянский,http://en.wikipedia.org/wiki/Eugenio_Castellotti
624,Ramos,,,Эрнандо,Да Силва Рамос,1925-12-07,Бразилия,http://en.wikipedia.org/wiki/Hernando_da_Silva_Ramos
649,Биргер,,,Пабло,Биргер,1924-01-07,Аргентина,http://en.wikipedia.org/wiki/Pablo_Birger
655,Нидень,,,Кэл,Нижний день,1914-04-29,Американцы,http://en.wikipedia.org/wiki/Cal_Niday
673,Назарук,,,Майк,Назарук,1921-10-02,Американцы,http://en.wikipedia.org/wiki/Mike_Nazaruk
703,Легат,,,Артур,Легат,1898-11-01,Бельгийский,http://en.wikipedia.org/wiki/Artur_Legat
716,Бюллетень,,,Эрвин,Бауэр,1912-07-17,Немецкий,http://en.wikipedia.org/wiki/Erwin_Bauer
722,Карини,,,Пьеро,Карини,1921-03-06,Итальянский,http://en.wikipedia.org/wiki/Piero_Carini
745,graham_whitehead,,,Грэм,Уайтхед,1922-04-15,Британские,http://en.wikipedia.org/wiki/Graham_Whitehead
798,Брюнетка,,,Бейлисс,Левретт,1914-02-14,Американцы,http://en.wikipedia.org/wiki/Bayliss_Levrett
815,Перес,11.0,ПЕР,Сержиу,Перес,1990-01-26,Мексика,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez
821,Гутьеррес,21.0,Заткнись.,Эстебан,Гутьеррес,1991-08-05,Мексика,http://en.wikipedia.org/wiki/Esteban_Guti%C3%A9rres
832,Саинз,55.0,САИ,Карлос,Саинц,1994-09-01,Испанский,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.
835,Джолион_пальмер,30.0,ПАЛ,Джолион,Палмер,1991-01-20,Британские,http://en.wikipedia.org/wiki/Jolyon_Palmer
