year,hofid,name,category
1971,wirtzar01h,Артур Вёрц,Конструктор
1947,nelsofr01h,Франсис Нельсон,Конструктор
1958,conneal01h,Алек Коннелл,Игрок
2000,savarde01h,Денис Савард,Игрок
1961,ionmi01h,Мики Ион,Судья/Бо́льзаре́н
1998,murraat01h,Атон Муррей,Конструктор
2000,bushwa01h,Уолтер Буш,Конструктор
1993,knoxse01h,Саймон Нокс,Конструктор
2008,larioig01h,Игорь Ларьонов,Игрок
1984,parenbe01h,Бэрни Пент,Игрок
1945,allanmo01h,Монтагу Аллен,Конструктор
1962,humefr01h,Фред Хьем,Конструктор
1972,geoffbe01h,БерниGeoffrion,Игрок
1950,triheha01h,Гарри Трейи,Игрок
1947,nighbfr01h,Франк Найтбор,Игрок
1979,howelha01h,Гарри Хоуелл,Игрок
1966,lindste01h,Тед Линздейл,Игрок
1990,poilebu01h,Буд Поил,Конструктор
1982,cournyv01h,Ив Коурно,Игрок
1962,crawfru01h,Русти Кроуфорд,Игрок
1962,whitcfr01h,Фред Уиткрофт,Игрок
1958,hayge01h,Джордж Хей,Игрок
1985,mariujo01h,Джон Мариуччи,Конструктор
1945,morenho01h,Хоуи Моренз,Игрок
1950,malonjo01h,Джо Малон,Игрок
2009,hullbr01h,Бретт Хелл,Игрок
1960,selkefr01h,Франк Селке,Конструктор
1952,cookbi01h,Билл Кук,Игрок
1978,pronoma01h,Марсель Проновос,Игрок
2004,bourqra01h,Реймонд Борк,Игрок
2004,fletccl01h,Клифф Флетчер,Конструктор
1965,russebl01h,Блэр Рассел,Игрок
1970,lebelro01h,Боб ЛеБел,Конструктор
1958,norrija02h,Джеймс Норрис-старший,Конструктор
1975,drillgo01h,Гордий Дрилон,Игрок
1966,campbcl01h,Кларенс Кэмпбелл,Конструктор
1965,lockhth01h,Томми Локхарт,Конструктор
1972,adamswe01h,Западон Адамс,Конструктор
2001,gartnmi01h,Майк Гартнер,Игрок
1962,smithal03h,Альф Смит,Игрок
1967,storere01h,Красный Стори,Судья/Бо́льзаре́н
1974,vossca01h,Кальвосс,Конструктор
1992,gainebo01h,Боб Гейнри,Игрок
1945,phillto01h,Томми Филлипс,Игрок
1971,sawchte01h,Терри Сэкчук,Игрок
1983,hullbo01h,Боби Халл,Игрок
1960,walkeja01h,Джек Уолкер,Игрок
1973,harvedo01h,Дуг Harvey,Игрок
1962,ruttaja01h,Джек Руттан,Игрок
1973,udvarfr01h,Франк Удвэри,Судья/Бо́льзаре́н
1966,kennete01h,Тед Кеннеди,Игрок
1982,gilbero01h,Род Гилберт,Игрок
1976,quackbi01h,Билл Кэкненбуш,Игрок
1988,laflegu01h,Гай Лафлор,Игрок
1998,goulemi01h,Мишель Гюле,Игрок
1974,haych01h,Чарльз Хей,Конструктор
1984,esposph01h,Фил Эспосито,Игрок
1965,benedcl01h,Клинт Беннетт,Игрок
1994,watsoha02h,Гарри Уотсон,Игрок
1974,burchbi01h,Билли Бёрч,Игрок
1966,lachel01h,Эльмер Лач,Игрок
1997,trottbr01h,Брайан Троттиер,Игрок
1963,primejo01h,Джо Примау,Игрок
1949,rossar01h,Арч Росс,Игрок
1971,jacksbu01h,Бушер Джексон,Игрок
1966,bouchbu01h,Бутч Бушар,Игрок
1983,mikitst01h,Стан Микита,Игрок
1995,cookbu01h,Бун Кук,Игрок
1966,reardke01h,Кен Рэрнольдс,Игрок
1988,hayesge01h,Джордж Хейс,Судья/Бо́льзаре́н
1968,dunnji01h,Джимми Денн,Конструктор
2011,howema01h,Марк Хоув,Игрок
1945,gerared01h,ЭддиGerard,Игрок
1950,drinkgr01h,Грейэм Дрифтвер,Игрок
1958,clancki01h,Король Кливленд,Игрок
1993,lapraed01h,Эдуар Лапрад,Игрок
1950,richage01h,Джордж Ричардсон,Игрок
1996,arboual01h,Ал Арбор,Конструктор
1961,schmimi01h,Мильт Шмидт,Игрок
1963,mclaufr01h,Фредерик Макларен,Конструктор
2004,coffepa01h,Пол Коффи,Игрок
1950,davidal01h,Скотти Дейвсон,Игрок
1992,dumarwo01h,Уолтер Драмарт,Игрок
1975,armstge01h,Джордж Армстронг,Игрок
1945,stanlfr01h,Фредерик Стэнли,Конструктор
