playerid,award,year,lgid,note,pos
howelha01,Норрис,1966,NHL,,
goulemi01,Первая команда всех звезд,1986,NHL,,ЛВ
malakvl01,Все новички,1992,NHL,,D
froesbo01,Дженнингс,1985,NHL,Совместное использование,
hallgl01,Первая команда всех звезд,1959,NHL,,G
bowerjo01,Первая команда всех звезд,1960,NHL,,G
nasluma01,Все новички,1982,NHL,,ЛВ
cechmro01,Вторая команда всех звезд,2000,NHL,,G
hadfivi01,Вторая команда всех звезд,1971,NHL,,ЛВ
gretzwa01,Харт,1982,NHL,,
whitebi01,Вторая команда всех звезд,1972,NHL,,D
dionnma01,Первая команда всех звезд,1976,NHL,,C
prongch01,Вторая команда всех звезд,2003,NHL,,D
friesje01,Все новички,1994,NHL,,F
hasekdo01,Первая команда всех звезд,1996,NHL,,G
sakicjo01,Первая команда всех звезд,2003,NHL,,C
nabokev01,Все новички,2000,NHL,,G
gretzwa01,Пирсон,1983,NHL,,
thomati01,Везина,2008,NHL,,
vickest01,Колдер,1972,NHL,,
samsose01,Все новички,1997,NHL,,F
conacch01,Вторая команда всех звезд,1932,NHL,,RW
backsni02,Все новички,2007,NHL,,F
lumleha01,Везина,1953,NHL,,
cloutre01,Первая команда всех звезд,1978,WHA,,RW
francro01,Селке,1994,NHL,,
gretzwa01,Арт Росс,1989,NHL,,
pecami01,Селке,1996,NHL,,
messima01,Пирсон,1991,NHL,,
lukowmo01,Вторая команда всех звезд,1978,WHA,,ЛВ
belivje01,Арт Росс,1955,NHL,,
mooredi01,Вторая команда всех звезд,1960,NHL,,ЛВ
brodatu01,Вторая команда всех звезд,1941,NHL,,G
laflegu01,Пирсон,1975,NHL,,
sedinda01,Линдси,2010,NHL,,
breweca01,Вторая команда всех звезд,1964,NHL,,D
smithge01,Все новички,1989,NHL,,D
lemiema01,Вторая команда всех звезд,1991,NHL,,C
belfoed01,Первая команда всех звезд,1990,NHL,,G
jackmba01,Колдер,2002,NHL,,
wentwcy01,Вторая команда всех звезд,1934,NHL,,D
esposph01,Арт Росс,1970,NHL,,
howego01,Арт Росс,1952,NHL,,
bellbr01,Все новички,1984,NHL,,D
howego01,Первая команда всех звезд,1962,NHL,,RW
huetcr01,Крозье,2005,NHL,,
lemiema01,Арт Росс,1987,NHL,,
schmimi01,Арт Росс,1939,NHL,,
lidstni01,Конн Смайт,2001,NHL,,
thornjo01,Вторая команда всех звезд,2002,NHL,,C
clarkbo01,Пирсон,1973,NHL,,
berglpa01,Все новички,2008,NHL,,F
plantja01,Первая команда всех звезд,1958,NHL,,G
bergepa01,Плюс минус,2011,NHL,,
hextabr01,Первая команда всех звезд,1940,NHL,,RW
hallgl01,Первая команда всех звезд,1957,NHL,,G
parenbe01,Первая команда всех звезд,1974,NHL,,G
gardich01,Вторая команда всех звезд,1932,NHL,,G
macinal01,Конн Смайт,1988,NHL,,
howego01,Вторая команда всех звезд,1966,NHL,,RW
ridlemi01,Все новички,1985,NHL,,C
jagrja01,Первая команда всех звезд,1999,NHL,,RW
malkiev01,Арт Росс,2011,NHL,,
belfoed01,Крозье,1999,NHL,,
bourqra01,Норрис,1987,NHL,,
blincru01,Колдер,1933,NHL,,
gardihe01,Харт,1926,NHL,,
haywabr01,Дженнингс,1988,NHL,Совместное использование,
laperja01,Колдер,1963,NHL,,
eliaspa01,Все новички,1997,NHL,,F
bossymi01,Первая команда всех звезд,1980,NHL,,RW
bentlma01,Леди Бинг,1942,NHL,,
roypa01,Конн Смайт,1992,NHL,,
smithcl01,Леди Бинг,1938,NHL,,
belivje01,Харт,1963,NHL,,
raycran01,Колдер,2003,NHL,,
larocmi01,Везина,1977,NHL,Совместное использование,
belfoed01,Колдер,1990,NHL,,
hallgl01,Вторая команда всех звезд,1960,NHL,,G
trottbr01,Вторая команда всех звезд,1983,NHL,,C
ftorero01,Первая команда всех звезд,1976,WHA,,C
howego01,Первая команда всех звезд,1956,NHL,,RW
brimsfr01,Колдер,1938,NHL,,
laflegu01,Харт,1976,NHL,,
conacch01,Вторая команда всех звезд,1931,NHL,,RW
barrato01,Вторая команда всех звезд,1984,NHL,,G
datsypa01,Леди Бинг,2006,NHL,,
shanabr01,Король Клэнси,2002,NHL,,
visnolu01,Вторая команда всех звезд,2010,NHL,,D
lindste01,Первая команда всех звезд,1947,NHL,,ЛВ
kurrija01,Вторая команда всех звезд,1983,NHL,,RW
bourqra01,Первая команда всех звезд,1986,NHL,,D
bourqra01,Первая команда всех звезд,1990,NHL,,D
sawchte01,Везина,1952,NHL,,
hallgl01,Вторая команда всех звезд,1961,NHL,,G
messima01,Первая команда всех звезд,1989,NHL,,C
trottbr01,Арт Росс,1978,NHL,,
hullbr01,Первая команда всех звезд,1991,NHL,,RW
keonda01,Вторая команда всех звезд,1970,NHL,,C
bourqra01,Вторая команда всех звезд,1982,NHL,,D
hasekdo01,Дженнингс,2007,NHL,Совместное использование,
harvedo01,Первая команда всех звезд,1956,NHL,,D
ovechal01,Пирсон,2007,NHL,,
stewaja01,Первая команда всех звезд,1942,NHL,,D
lindste01,Первая команда всех звезд,1956,NHL,,ЛВ
esposto01,Колдер,1969,NHL,,
orrbo01,Харт,1970,NHL,,
cowlebi01,Вторая команда всех звезд,1944,NHL,,C
roberga01,Мастертон,1995,NHL,,
goodfeb01,Первая команда всех звезд,1936,NHL,,D
carlewa01,Вторая команда всех звезд,1973,WHA,,C
selante01,Первая команда всех звезд,1992,NHL,,RW
hullbr01,Пирсон,1990,NHL,,
cookbi01,Первая команда всех звезд,1932,NHL,,RW
gretzwa01,Пирсон,1982,NHL,,
brodatu01,Первая команда всех звезд,1940,NHL,,G
ftorero01,Вторая команда всех звезд,1977,WHA,,C
lemiema01,Колдер,1984,NHL,,
sedinhe01,Арт Росс,2009,NHL,,
malkiev01,Линдси,2011,NHL,,
jacksbu01,Первая команда всех звезд,1936,NHL,,ЛВ
drydeke01,Везина,1977,NHL,Совместное использование,
steveke01,Вторая команда всех звезд,1990,NHL,,ЛВ
howema01,Каплан,1973,WHA,Новичок,
niedesc01,Первая команда всех звезд,2006,NHL,,D
howego01,Вторая команда всех звезд,1963,NHL,,RW
mahovfr01,Вторая команда всех звезд,1968,NHL,,ЛВ
chelich01,Норрис,1988,NHL,,
iginlja01,Король Клэнси,2003,NHL,,
vernomi01,Вторая команда всех звезд,1988,NHL,,G
gretzwa01,Вторая команда всех звезд,1996,NHL,,C
drydeke01,Конн Смайт,1970,NHL,,
vernomi01,Дженнингс,1995,NHL,Совместное использование,
kovalil01,Ричард,2003,NHL,Совместное использование,
ranfobi01,Конн Смайт,1989,NHL,,
cainhe01,Вторая команда всех звезд,1943,NHL,,ЛВ
hextabr01,Вторая команда всех звезд,1942,NHL,,RW
primejo01,Вторая команда всех звезд,1933,NHL,,C
lidstni01,Норрис,2000,NHL,,
durnabi01,Первая команда всех звезд,1943,NHL,,G
conacli01,Вторая команда всех звезд,1936,NHL,,D
kellyre01,Первая команда всех звезд,1953,NHL,,D
dionnma01,Вторая команда всех звезд,1980,NHL,,C
stamkst01,Вторая команда всех звезд,2010,NHL,,C
johanca01,Все новички,1987,NHL,,D
reganla01,Колдер,1956,NHL,,
