name,id,award,year,lgid,note
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
George Leader,,Patrick,1975,NHL,
John Mayasich,,Patrick,1997,NHL,
Bob Naegele,,Patrick,2007,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Tony Rossi,,Patrick,2010,NHL,
Jerry York,,Patrick,2009,NHL,
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Mario Lemieux,lemiema01,Patrick,1999,NHL,
David Poile,,Patrick,2000,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Gil Stein,,Patrick,1992,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Dave Andrews,,Patrick,2009,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Gary Bettman,,Patrick,2000,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Donald Clark,,Patrick,1974,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Lou Vairo,,Patrick,1999,NHL,
Bob Fleming,,Patrick,1994,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
