playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
gordosc01,1989,1,QUE,NHL,10.0,597.0,2.0,8.0,0.0,1.0,0.0,53.0,368.0,,,,,,,,,
simmoga01,1976,2,LAK,NHL,4.0,240.0,1.0,2.0,1.0,1.0,0.0,16.0,,1.0,20.0,0.0,0.0,,0.0,0.0,1.0,
bobrose01,2011,1,PHI,NHL,29.0,1550.0,14.0,10.0,2.0,2.0,0.0,78.0,769.0,1.0,37.0,0.0,0.0,,0.0,0.0,5.0,18.0
worslgu01,1972,1,MNS,NHL,12.0,624.0,6.0,2.0,3.0,0.0,0.0,30.0,,,,,,,,,,
smithal02,1980,1,COR,NHL,37.0,1909.0,9.0,18.0,4.0,4.0,0.0,151.0,,,,,,,,,,
peetepe01,1982,1,BOS,NHL,62.0,3611.0,40.0,11.0,9.0,2.0,8.0,142.0,1482.0,17.0,1024.0,9.0,8.0,,0.0,1.0,61.0,
mayergi01,1949,1,TOR,NHL,1.0,60.0,0.0,1.0,0.0,,0.0,2.0,,,,,,,,,,
eliotda01,1988,1,BUF,NHL,2.0,67.0,0.0,0.0,0.0,0.0,0.0,7.0,43.0,,,,,,,,,
pelleje01,1998,1,PHI,NHL,1.0,60.0,0.0,1.0,0.0,0.0,0.0,5.0,29.0,,,,,,,,,
plantja01,1968,1,STL,NHL,37.0,2139.0,18.0,12.0,6.0,0.0,5.0,70.0,,10.0,589.0,8.0,2.0,,1.0,3.0,14.0,
ramoka01,2008,1,TBL,NHL,24.0,1312.0,4.0,10.0,7.0,3.0,0.0,80.0,756.0,,,,,,,,,
forbeja01,1932,1,NYA,NHL,1.0,70.0,0.0,0.0,1.0,,0.0,2.0,,,,,,,,,,
weeksst01,1980,1,NYR,NHL,1.0,60.0,0.0,1.0,0.0,0.0,0.0,2.0,,1.0,14.0,0.0,0.0,,0.0,0.0,1.0,
trefian01,1996,1,BUF,NHL,3.0,159.0,0.0,2.0,0.0,1.0,0.0,10.0,98.0,1.0,5.0,0.0,0.0,,0.0,0.0,0.0,4.0
leighmi01,2010,1,PHI,NHL,1.0,60.0,1.0,0.0,0.0,0.0,0.0,4.0,36.0,2.0,70.0,0.0,1.0,,0.0,0.0,4.0,29.0
mackesh01,1982,1,NJD,NHL,4.0,130.0,0.0,1.0,0.0,0.0,0.0,15.0,68.0,,,,,,,,,
myreph01,1974,1,ATF,NHL,40.0,2400.0,14.0,16.0,10.0,2.0,5.0,114.0,,,,,,,,,,
barrato01,1999,1,PIT,NHL,18.0,870.0,5.0,7.0,2.0,2.0,1.0,46.0,386.0,,,,,,,,,
melocgi01,1987,1,PIT,NHL,27.0,1394.0,8.0,9.0,5.0,2.0,0.0,95.0,722.0,,,,,,,,,
smithal02,1976,1,BUF,NHL,7.0,265.0,0.0,3.0,0.0,0.0,0.0,19.0,,,,,,,,,,
lehmahu01,1927,1,CHI,NHL,4.0,250.0,1.0,2.0,1.0,,1.0,20.0,,,,,,,,,,
bromlga01,1977,1,WIJ,WHA,39.0,2252.0,25.0,12.0,1.0,1.0,1.0,124.0,1090.0,5.0,268.0,4.0,0.0,,0.0,0.0,7.0,
langksc01,1999,1,ATL,NHL,15.0,765.0,3.0,11.0,0.0,1.0,0.0,55.0,395.0,,,,,,,,,
wakalda01,1992,1,MNS,NHL,29.0,1596.0,10.0,12.0,5.0,0.0,1.0,97.0,803.0,,,,,,,,,
peetepe01,1986,1,WAS,NHL,37.0,2002.0,17.0,11.0,4.0,3.0,0.0,107.0,930.0,3.0,180.0,1.0,2.0,,1.0,0.0,9.0,76.0
dupuibo01,1979,1,EDM,NHL,1.0,60.0,0.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,
holmeha01,1926,1,DTC,NHL,41.0,2685.0,11.0,26.0,4.0,,6.0,100.0,,,,,,,,,,
tugnuro01,2003,1,DAL,NHL,11.0,548.0,3.0,7.0,0.0,0.0,1.0,22.0,220.0,,,,,,,,,
rhodeda01,1998,1,OTT,NHL,45.0,2480.0,22.0,13.0,7.0,1.0,3.0,101.0,1060.0,2.0,150.0,0.0,2.0,,0.0,0.0,6.0,65.0
wardca01,2005,1,CAR,NHL,28.0,1484.0,14.0,8.0,2.0,0.0,0.0,91.0,773.0,23.0,1320.0,15.0,8.0,,0.0,2.0,47.0,584.0
malarcl01,1990,1,BUF,NHL,37.0,2131.0,12.0,14.0,10.0,1.0,1.0,119.0,1090.0,4.0,246.0,2.0,2.0,,0.0,0.0,17.0,116.0
clemmsc01,2009,1,FLO,NHL,23.0,1215.0,9.0,8.0,2.0,3.0,1.0,59.0,668.0,,,,,,,,,
gilbegi01,1977,1,BOS,NHL,25.0,1326.0,15.0,6.0,2.0,0.0,2.0,56.0,,,,,,,,,,
reeseje01,1991,1,TOR,NHL,8.0,413.0,1.0,5.0,1.0,1.0,1.0,20.0,210.0,,,,,,,,,
brimsfr01,1946,1,BOS,NHL,60.0,3600.0,26.0,23.0,11.0,,3.0,175.0,,5.0,342.0,1.0,4.0,,,0.0,16.0,
kiddtr01,1996,1,CAL,NHL,55.0,2979.0,21.0,23.0,6.0,4.0,4.0,141.0,1416.0,,,,,,,,,
moogan01,1982,1,EDM,NHL,50.0,2833.0,33.0,8.0,7.0,1.0,1.0,167.0,1531.0,16.0,949.0,11.0,5.0,,2.0,0.0,48.0,
melanro01,1981,1,NYI,NHL,36.0,2115.0,22.0,7.0,6.0,3.0,0.0,114.0,,3.0,64.0,0.0,1.0,,0.0,0.0,5.0,
basseha01,1955,1,CHI,NHL,12.0,720.0,2.0,9.0,1.0,,1.0,42.0,,,,,,,,,,
bernhti01,1984,1,TOR,NHL,37.0,2182.0,13.0,19.0,4.0,2.0,0.0,136.0,1106.0,,,,,,,,,
dionmi01,1976,1,IND,WHA,42.0,2286.0,17.0,19.0,3.0,4.0,1.0,128.0,1179.0,4.0,245.0,2.0,2.0,,0.0,0.0,17.0,140.0
malarcl01,1991,1,BUF,NHL,29.0,1639.0,10.0,13.0,3.0,1.0,0.0,102.0,903.0,,,,,,,,,
madelda01,1993,1,OTT,NHL,32.0,1583.0,3.0,18.0,5.0,3.0,0.0,115.0,868.0,,,,,,,,,
enrotjh01,2009,1,BUF,NHL,1.0,58.0,0.0,1.0,0.0,0.0,0.0,4.0,37.0,,,,,,,,,
henryji01,1953,1,BOS,NHL,70.0,4200.0,32.0,28.0,10.0,,8.0,181.0,,4.0,240.0,0.0,4.0,,,0.0,16.0,
plassmi01,1979,1,COR,NHL,6.0,327.0,0.0,3.0,2.0,0.0,0.0,26.0,,,,,,,,,,
mrazeje01,1975,1,PHI,NHL,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
fitzpma01,1997,2,TBL,NHL,34.0,1938.0,7.0,24.0,1.0,5.0,1.0,102.0,975.0,,,,,,,,,
drydeda01,1976,1,EDO,WHA,24.0,1416.0,10.0,13.0,0.0,3.0,1.0,77.0,693.0,,,,,,,,,
reddipo01,1986,1,WIN,NHL,48.0,2762.0,21.0,21.0,4.0,2.0,0.0,149.0,1256.0,3.0,166.0,0.0,2.0,,1.0,0.0,10.0,74.0
cloutda01,2007,1,LAK,NHL,9.0,489.0,2.0,4.0,1.0,1.0,0.0,28.0,247.0,,,,,,,,,
millegr01,1988,1,STL,NHL,52.0,3019.0,22.0,20.0,7.0,3.0,6.0,170.0,1411.0,10.0,649.0,5.0,5.0,,0.0,0.0,34.0,308.0
josepcu01,2001,1,TOR,NHL,51.0,3065.0,29.0,17.0,5.0,4.0,4.0,114.0,1210.0,20.0,1253.0,10.0,10.0,,1.0,3.0,48.0,557.0
bowerjo01,1956,1,NYR,NHL,2.0,120.0,0.0,2.0,0.0,,0.0,7.0,,,,,,,,,,
labbeje01,2001,1,CBS,NHL,3.0,117.0,1.0,1.0,0.0,0.0,0.0,6.0,68.0,,,,,,,,,
puppada01,1988,1,BUF,NHL,37.0,1908.0,17.0,10.0,6.0,1.0,1.0,107.0,961.0,,,,,,,,,
mckenbi01,1973,1,DET,NHL,13.0,720.0,4.0,4.0,4.0,0.0,1.0,43.0,,,,,,,,,,
winklha01,1922,1,EDE,WCHL,29.0,1797.0,18.0,10.0,1.0,,1.0,89.0,,2.0,150.0,1.0,0.0,1.0,,1.0,3.0,
chevral01,1985,1,NJD,NHL,37.0,1862.0,11.0,18.0,2.0,0.0,0.0,143.0,951.0,,,,,,,,,
vachoro01,1978,1,DET,NHL,50.0,2908.0,10.0,27.0,11.0,1.0,0.0,189.0,,,,,,,,,,
millegr01,1989,2,QUE,NHL,18.0,1080.0,3.0,14.0,1.0,3.0,0.0,95.0,648.0,,,,,,,,,
reschgl01,1985,2,PHI,NHL,5.0,187.0,1.0,2.0,0.0,0.0,0.0,10.0,84.0,1.0,7.0,0.0,0.0,,0.0,0.0,1.0,1.0
shoreha01,1911,1,OT1,NHA,1.0,5.0,0.0,0.0,0.0,,0.0,2.0,,,,,,,,,,
riccini01,1980,1,PIT,NHL,9.0,540.0,4.0,5.0,0.0,1.0,0.0,35.0,,,,,,,,,,
vanbijo01,1996,1,FLO,NHL,57.0,3347.0,27.0,19.0,10.0,3.0,2.0,128.0,1582.0,5.0,328.0,1.0,4.0,,0.0,1.0,13.0,184.0
hirscco01,2002,1,DAL,NHL,2.0,97.0,0.0,1.0,0.0,0.0,0.0,4.0,39.0,,,,,,,,,
backsni01,2010,1,MIN,NHL,51.0,2978.0,22.0,23.0,5.0,6.0,3.0,132.0,1566.0,,,,,,,,,
plantja01,1960,1,MTL,NHL,40.0,2400.0,23.0,11.0,6.0,,2.0,112.0,,6.0,412.0,2.0,4.0,,,0.0,16.0,
frankji01,1937,1,DET,NHL,1.0,60.0,1.0,0.0,0.0,,0.0,3.0,,,,,,,,,,
gigueje01,2002,1,ANA,NHL,65.0,3775.0,34.0,22.0,6.0,5.0,8.0,145.0,1820.0,21.0,1407.0,15.0,6.0,,1.0,5.0,38.0,697.0
boutiro01,1980,1,WAS,NHL,2.0,120.0,0.0,2.0,0.0,1.0,0.0,11.0,,,,,,,,,,
villegi01,1976,1,CHI,NHL,6.0,312.0,0.0,4.0,1.0,1.0,0.0,28.0,,,,,,,,,,
wakeler01,1976,1,SDM,WHA,46.0,2506.0,22.0,18.0,3.0,2.0,3.0,129.0,1242.0,3.0,160.0,2.0,1.0,,0.0,0.0,9.0,75.0
gardich01,1931,1,CHI,NHL,48.0,2989.0,18.0,19.0,11.0,,4.0,92.0,,2.0,120.0,1.0,1.0,0.0,,1.0,6.0,
eschero01,2001,1,PHO,NHL,22.0,1145.0,6.0,10.0,2.0,3.0,1.0,52.0,533.0,,,,,,,,,
