year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2003,NHL,DET,DET,WC,CE,1,CSF,82,48,21,11.0,2.0,109,,,255,189,Detroit Red Wings,966.0,22.0,63.0,314.0,5.0,42.0,317.0,15.0
1922,WCHL,SAC,SAS,,,4,,30,8,20,2.0,,18,,,91,125,Saskatoon Crescents,,,,,,,,
2002,NHL,MTL,MTL,EC,NE,4,,82,30,35,8.0,9.0,77,,,206,234,Montreal Canadiens,900.0,22.0,44.0,315.0,6.0,58.0,317.0,2.0
1993,NHL,BOS,BOS,EC,NE,2,CSF,84,42,29,13.0,,97,,,289,252,Boston Bruins,1442.0,14.0,84.0,387.0,9.0,58.0,378.0,17.0
1978,NHL,TOR,TOR,WA,AD,3,QF,80,34,33,13.0,,81,,,267,252,Toronto Maple Leafs,1440.0,10.0,60.0,236.0,7.0,70.0,330.0,5.0
1987,NHL,PIT,PIT,WA,PT,6,,80,36,35,9.0,,81,,,319,316,Pittsburgh Penguins,2211.0,26.0,110.0,500.0,19.0,120.0,507.0,18.0
1919,NHL,QUB,BKN,,,4,,24,4,20,0.0,,8,,,91,177,Quebec Bulldogs,123.0,,,,,,,
1959,NHL,TOR,TOR,,,2,F,70,35,26,9.0,,79,,,199,195,Toronto Maple Leafs,859.0,,,,,,,
1921,PCHA,VA2,VIC,,,3,,24,11,12,1.0,,23,,,61,71,Victoria Aristocrats,,,,,,,,
1924,WCHL,EDE,EDE,,,4,,28,14,13,1.0,,29,,,97,109,Edmonton Eskimos,,,,,,,,
1990,NHL,MTL,MTL,WA,AD,2,DF,80,39,30,11.0,,89,,,273,249,Montreal Canadiens,1425.0,18.0,66.0,357.0,10.0,54.0,282.0,6.0
1934,NHL,STE,STE,,CA,5,,48,11,31,6.0,,28,,,86,144,St. Louis Eagles,402.0,,,,,,,
2002,NHL,NJD,NJD,EC,AT,1,SC,82,46,20,10.0,6.0,108,,,216,166,New Jersey Devils,938.0,18.0,36.0,303.0,4.0,32.0,264.0,7.0
1989,NHL,DET,DET,CC,NO,5,,80,28,38,14.0,,70,,,288,323,Detroit Red Wings,2140.0,8.0,58.0,354.0,13.0,92.0,372.0,18.0
1980,NHL,DET,DET,WA,NO,5,,80,19,43,18.0,,56,,,252,339,Detroit Red Wings,1687.0,24.0,60.0,316.0,12.0,82.0,317.0,7.0
1998,NHL,COL,COL,WC,NW,1,CF,82,44,28,10.0,,98,,,239,205,Colorado Avalanche,1619.0,14.0,71.0,375.0,12.0,63.0,386.0,7.0
1976,NHL,CHI,CHI,CC,SM,3,PRE,80,26,43,11.0,,63,,,240,298,Chicago Black Hawks,1104.0,18.0,59.0,267.0,9.0,62.0,282.0,4.0
1961,NHL,BOS,BOS,,,6,,70,15,47,8.0,,38,,,177,306,Boston Bruins,712.0,,,,,,,
2003,NHL,DAL,DAL,WC,PC,2,CQF,82,41,26,13.0,2.0,97,,,194,175,Dallas Stars,1143.0,20.0,52.0,328.0,11.0,44.0,311.0,5.0
1981,NHL,NYR,NYR,WA,PT,2,DF,80,39,27,14.0,,92,,,316,306,New York Rangers,1402.0,22.0,68.0,306.0,12.0,75.0,319.0,7.0
1982,NHL,PHI,PHI,WA,PT,1,DSF,80,49,23,8.0,,106,,,326,240,Philadelphia Flyers,1337.0,10.0,60.0,278.0,7.0,61.0,339.0,15.0
1936,NHL,NYR,NYR,,AM,3,F,48,19,20,9.0,,47,,,117,106,New York Rangers,312.0,,,,,,,
1998,NHL,VAN,VAN,WC,NW,4,,82,23,47,12.0,,58,,,192,258,Vancouver Canucks,1764.0,16.0,57.0,358.0,9.0,77.0,450.0,17.0
1977,WHA,NEW,CAR,,,2,AVF,80,44,31,5.0,,93,,,335,269,New England Whalers,1255.0,14.0,62.0,239.0,4.0,65.0,315.0,9.0
1999,NHL,ANA,ANA,WC,PC,5,,82,34,33,12.0,3.0,83,,,217,227,Mighty Ducks of Anaheim,926.0,8.0,55.0,332.0,8.0,62.0,296.0,4.0
1951,NHL,DET,DET,,,1,SC,70,44,14,12.0,,100,,,215,133,Detroit Red Wings,694.0,,,,,,,
1995,NHL,TOR,TOR,WC,CE,3,CQF,82,34,36,12.0,,80,,,247,252,Toronto Maple Leafs,1742.0,18.0,83.0,438.0,9.0,70.0,403.0,11.0
2005,NHL,MTL,MTL,EC,NE,3,CQF,82,42,31,,9.0,93,2.0,3.0,243,247,Montreal Canadiens,1336.0,22.0,89.0,463.0,6.0,91.0,481.0,10.0
2005,NHL,BUF,BUF,EC,NE,2,CF,82,52,24,,6.0,110,5.0,5.0,281,239,Buffalo Sabres,1164.0,20.0,101.0,477.0,17.0,59.0,439.0,10.0
1997,NHL,SJS,SJS,WC,PC,4,CQF,82,34,38,10.0,,78,,,210,216,San Jose Sharks,1417.0,20.0,54.0,400.0,5.0,59.0,398.0,10.0
1980,NHL,MTL,MTL,WA,NO,1,PRE,80,45,22,13.0,,103,,,332,232,Montreal Canadiens,1398.0,28.0,72.0,299.0,8.0,51.0,279.0,8.0
1972,NHL,BUF,BUF,,ED,4,QF,78,37,27,14.0,,88,,,257,219,Buffalo Sabres,940.0,2.0,52.0,270.0,5.0,35.0,241.0,5.0
1921,PCHA,VML,VMR,,,2,F,24,12,12,0.0,,24,,,77,68,Vancouver Millionaires,,,,,,,,
1923,WCHL,REG,POR,,,2,WF,30,17,11,2.0,,36,,,83,67,Regina Capitals,,,,,,,,
1987,NHL,LAK,LAK,CC,SM,4,DSF,80,30,42,8.0,,68,,,318,359,Los Angeles Kings,2124.0,16.0,103.0,474.0,14.0,96.0,425.0,11.0
1925,NHL,NYA,BKN,,,5,,36,12,20,4.0,,28,,,68,89,New York Americans,341.0,,,,,,,
1951,NHL,NYR,NYR,,,5,,70,23,34,13.0,,59,,,192,219,New York Rangers,530.0,,,,,,,
1995,NHL,NYI,NYI,EC,AT,7,,82,22,50,10.0,,54,,,229,315,New York Islanders,1669.0,14.0,70.0,372.0,15.0,90.0,414.0,8.0
1983,NHL,WAS,WAS,WA,PT,2,DF,80,48,27,5.0,,101,,,308,226,Washington Capitals,1252.0,18.0,77.0,382.0,18.0,39.0,293.0,8.0
1975,NHL,MTL,MTL,WA,NO,1,SC,80,58,11,11.0,,127,,,337,174,Montreal Canadiens,977.0,14.0,75.0,282.0,0.0,44.0,290.0,7.0
1992,NHL,VAN,VAN,CC,SM,1,DF,84,46,29,9.0,,101,,,346,278,Vancouver Canucks,2326.0,18.0,79.0,457.0,11.0,97.0,452.0,18.0
1979,NHL,MNS,DAL,WA,AD,3,SF,80,36,28,16.0,,88,,,311,253,Minnesota North Stars,1064.0,6.0,75.0,316.0,7.0,43.0,240.0,4.0
1935,NHL,MTM,MTM,,CA,1,SF,48,22,16,10.0,,54,,,114,106,Montreal Maroons,504.0,,,,,,,
2010,NHL,MTL,MTL,EC,NE,2,CQF,82,44,30,,8.0,96,3.0,3.0,216,209,Montreal Canadiens,1097.0,28.0,57.0,290.0,6.0,51.0,327.0,5.0
1964,NHL,CHI,CHI,,,3,F,70,34,28,8.0,,76,,,224,176,Chicago Black Hawks,1051.0,,48.0,340.0,9.0,46.0,323.0,14.0
1973,NHL,NYI,NYI,,ED,8,,78,19,41,18.0,,56,,,182,247,New York Islanders,1075.0,6.0,32.0,230.0,13.0,63.0,262.0,7.0
1909,NHA,REN,REN,,,3,,12,8,3,1.0,,17,,,96,54,Renfrew Creamery Kings,,,,,,,,
1972,WHA,WIJ,PHO,,WW,1,AVF,78,43,31,4.0,,90,,,285,249,Winnipeg Jets,757.0,12.0,57.0,292.0,5.0,43.0,230.0,7.0
1994,NHL,BOS,BOS,EC,NE,3,CQF,48,27,18,3.0,,57,,,150,127,Boston Bruins,793.0,6.0,46.0,211.0,4.0,24.0,183.0,3.0
1909,NHA,MOS,MOS,,,6,,12,3,8,1.0,,7,,,52,95,Montreal Shamrocks,,,,,,,,
1977,NHL,COR,NJD,CC,SM,2,PRE,80,19,40,21.0,,59,,,257,305,Colorado Rockies,818.0,10.0,63.0,279.0,7.0,53.0,237.0,5.0
1934,NHL,NYR,NYR,,AM,3,SF,48,22,20,6.0,,50,,,137,139,New York Rangers,341.0,,,,,,,
1950,NHL,CHI,CHI,,,6,,70,13,47,10.0,,36,,,171,280,Chicago Black Hawks,615.0,,,,,,,
1942,NHL,DET,DET,,,1,SC,50,25,14,11.0,,61,,,169,124,Detroit Red Wings,371.0,,,,,,,
1995,NHL,DAL,DAL,WC,CE,6,,82,26,42,14.0,,66,,,227,280,Dallas Stars,1652.0,12.0,67.0,443.0,20.0,82.0,418.0,8.0
