year,hofid,name,category
1958,foystfr01h,Фрэнк Фойстон,Игрок
1971,weilaco01h,Куни Вейланд,Игрок
1962,whitcfr01h,Фред Уиткрофт,Игрок
1958,clancki01h,Король Клэнси,Игрок
1992,mathefr01h,Фрэнк Мэтерс,Строитель
1945,stuarho01h,Ход Стюарт,Игрок
1967,storere01h,Красный магазин,Референт/Линсман
2011,nieuwjo01h,Джо Нивендюк,Игрок
1961,ellioch01h,Чосер Эллиотт,Референт/Линсман
1958,keatsdu01h,Дюк Китс,Игрок
1971,wirtzar01h,Артур Вирц,Строитель
1987,clarkbo01h,Бобби Кларк,Игрок
1950,patrifr01h,Фрэнк Патрик,Строитель
1962,camerha01h,Гарри Кэмерон,Игрок
1969,abelsi01h,Сид Абель,Игрок
1958,fredrfr01h,Фрэнк Фредриксон,Игрок
1947,nelsofr01h,Фрэнсис Нельсон,Строитель
1961,lesuepe01h,Перси Лесур,Игрок
1969,norribr01h,Брюс Норрис,Строитель
1961,rankifr01h,Фрэнк Ранкин,Игрок
1958,raymodo01h,Донат Рэймонд,Строитель
1961,halljo01h,Джо Холл,Игрок
1994,oneilbr01h,Брайан О'Нилл,Строитель
1962,broadpu01h,Удар по ширине,Игрок
1974,tarasan01h,Анатолий Тарасов,Строитель
2007,gregoji01h,Джим Грегори,Строитель
1965,barryma01h,Марти Барри,Игрок
1968,hendyji01h,Джим Хенди,Строитель
1976,rossph01h,Филипп Росс,Строитель
1992,allenke01h,Кит Аллен,Строитель
1945,pulfoha01h,Харви Пулфорд,Игрок
1958,turnell01h,Ллойд Тёрнер,Строитель
1984,parenbe01h,Берни Родитель,Игрок
1997,trottbr01h,Брайан Тротье,Игрок
1988,oconnbu01h,Приятель О'Коннор,Игрок
1962,brownwa02h,Уолтер Браун,Строитель
1985,pilouru01h,Руди Пилиус,Строитель
1959,thompti01h,Маленький Томпсон,Игрок
1972,howego01h,Горди Хоу,Игрок
1950,grantmi01h,Майк Грант,Игрок
1971,sawchte01h,Терри Савчук,Игрок
1988,parkbr01h,Брэд Парк,Игрок
1961,loicqpa01h,Пол Лойк,Строитель
1950,triheha01h,Гарри Трихи,Игрок
2011,howema01h,Марк Хоу,Игрок
1978,tuttwi01h,Уильям Татт,Строитель
1981,stanlal01h,Аллан Стэнли,Игрок
1965,howesy01h,Сид Хоу,Игрок
1962,lavioja01h,Джек Лавиолетт,Игрок
1998,stastpe01h,Питер Стастин,Игрок
1965,marshja02h,Джек Маршалл,Игрок
1984,milfoja01h,Джейк Милфорд,Строитель
1998,murraat01h,Атхол Мюррей,Строитель
1975,baileac01h,Эйс Бейли,Игрок
1999,vanhean01h,Энди Ван Хеллемонд,Референт/Линсман
1992,dionnma01h,Марсель Дионн,Игрок
2001,fetisvi01h,Виачеслав Фетисов,Игрок
1989,tretivl01h,Владислав Третиак,Игрок
2003,lafonpa01h,Пэт Лафонтен,Игрок
1974,mooredi01h,Дикки Мур,Игрок
1950,griffsi01h,Си Гриффис,Игрок
1980,lumleha01h,Гарри Ламли,Игрок
1963,dandule01h,Лео Дандуранд,Строитель
1958,irvindi01h,Дик Ирвин,Игрок
1947,hewitwi01h,Уильям Хьюитт,Строитель
2002,federbe01h,Берни Федерко,Игрок
1996,bauerbo01h,Бобби Бауэр,Игрок
1993,shuttst01h,Стив Шатт,Игрок
1970,lebelro01h,Боб Лебель,Строитель
2002,langwro01h,Род Лэнгвей,Игрок
1977,hortoti01h,Тим Хортон,Игрок
2006,brookhe01h,Херб Брукс,Строитель
1963,gormato01h,Томми Горман,Строитель
1974,ivanto01h,Томми Иван,Строитель
1949,rossar01h,Арт Росс,Игрок
2004,bourqra01h,Рэймонд Бурк,Игрок
1965,hornere01h,Красный Хорнер,Игрок
1958,smythco01h,Конн Смайт,Строитель
1952,goheemo01h,Лось Гохин,Игрок
1980,butteja01h,Джек Баттерфилд,Строитель
1991,bowmasc01h,Скотти Боуман,Строитель
2001,gartnmi01h,Майк Гартнер,Игрок
1965,russebl01h,Блэр Рассел,Игрок
1989,lewishe01h,Херби Льюис,Игрок
1966,lachel01h,Элмер Лах,Игрок
1950,malonjo01h,Джо Мэлоун,Игрок
2001,hawerda01h,Дейл Хаверчук,Игрок
1961,schmimi01h,Милт Шмидт,Игрок
1989,sittlda01h,Дэррил Ситлер,Игрок
1947,robincl01h,Клод Робинсон,Строитель
1972,holmeha01h,Хап Холмс,Игрок
2011,gilmodo01h,Даг Гилмур,Игрок
2003,fuhrgr01h,Грант Фюр,Игрок
2009,robitlu01h,Люк Робитай,Игрок
1973,smithto01h,Томми Смит,Игрок
1978,plantja01h,Жак Планте,Игрок
1985,cheevge01h,Джерри Чиверс,Игрок
1997,sathegl01h,Глен Сазер,Строитель
2000,bushwa01h,Уолтер Буш,Строитель
1990,flamafe01h,Ферн Фламан,Игрок
1962,greensh01h,Короткий зелёный,Игрок
1972,geoffbe01h,Берни Джеффрион,Игрок
2010,ciccadi01h,Дино Чикарелли,Игрок
1990,perregi01h,Гилберт Перро,Игрок
1978,pronoma01h,Марсель Проновост,Игрок
1975,pilotpi01h,Пьер Пилот,Игрок
1994,conacli01h,Лайонел Конахер,Игрок
1979,howelha01h,Гарри Хоуэлл,Игрок
1962,darraja01h,Джек Дарраг,Игрок
1979,orrbo01h,Бобби Орр,Игрок
1961,dayha01h,День хапа,Игрок
1958,norrija02h,Джеймс Норрис старший.,Строитель
1966,brimsfr01h,Фрэнк Бримсек,Игрок
1999,morriia01h,Скотти Моррисон,Строитель
1977,delveal01h,Алекс Дельвеккио,Игрок
1947,sutheja01h,Джеймс Сазерленд,Строитель
1998,goulemi01h,Мишель Гуле,Игрок
1960,bouchge01h,Джордж Бушер,Игрок
2007,macinal01h,Аль МакИннис,Игрок
1961,richama01h,Морис Ричард,Игрок
2001,kurrija01h,Яри Курри,Игрок
1984,esposph01h,Фил Эспозито,Игрок
2003,kilrebr01h,Брайан Килреа,Строитель
2000,savarde01h,Денис Савард,Игрок
1974,vossca01h,Карл Восс,Строитель
2007,stevesc01h,Скотт Стивенс,Игрок
1960,adamsch01h,Чарльз Адамс,Строитель
1986,hanlebi01h,Билл Хэнли,Строитель
1981,mahovfr01h,Фрэнк Маховлич,Игрок
1962,smithfr01h,Фрэнк Смит,Строитель
1978,bickejo01h,Джон Бикелл,Строитель
1945,gardich01h,Чарли Гардинер,Игрок
1947,clappdi01h,Грязный хлопок,Игрок
1969,leadeal01h,&lt; &lt; Аль-Лидер &gt; &gt;,Строитель
1981,ashlejo01h,Джон Эшли,Референт/Линсман
1947,northwi01h,Уильям Норти,Строитель
2008,chynoed01h,Эд Чиновет,Строитель
1969,wortero01h,Рой Уортерс,Игрок
1982,ullmano01h,Норм Ульман,Игрок
2008,scapira01h,Рэй Скапинелло,Референт/Линсман
1947,roberjo02h,Джон Робертсон,Строитель
1969,hextabr01h,Брайан Хексалл,Игрок
1993,knoxse01h,Сеймур Нокс,Строитель
1962,ruttaja01h,Джек Руттан,Игрок
