coachid,award,year,lgid,note
krommbo01c,Schmertz,1975,WHA,
bowmasc01c,Jack Adams,1995,NHL,
patrile01c,First Team All-Star,1931,NHL,
ruffli01c,Jack Adams,2005,NHL,
tortojo01c,Jack Adams,2003,NHL,
gormato01c,Second Team All-Star,1935,NHL,
tessior01c,Jack Adams,1982,NHL,
burnspa01c,Jack Adams,1997,NHL,
vigneal01c,Jack Adams,2006,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
patrile01c,First Team All-Star,1937,NHL,
quennjo01c,Jack Adams,1999,NHL,
barbebi01c,Jack Adams,2000,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
nolante01c,Jack Adams,1996,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
sherofr01c,Jack Adams,1973,NHL,
patrile01c,First Team All-Star,1933,NHL,
dayha01c,Second Team All-Star,1943,NHL,
dineebi01c,Schmertz,1976,WHA,
murdobo01c,Jack Adams,1989,NHL,
pulfobo01c,Jack Adams,1974,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
murrabr01c,Jack Adams,1983,NHL,
sathegl01c,Jack Adams,1985,NHL,
burnspa01c,Jack Adams,1992,NHL,
wattto01c,Jack Adams,1981,NHL,
krommbo01c,Jack Adams,1977,NHL,
francbo01c,Jack Adams,2001,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
bowmasc01c,Jack Adams,1976,NHL,
rossar01c,Second Team All-Star,1937,NHL,
demerja01c,Jack Adams,1986,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
boudrbr01c,Jack Adams,2007,NHL,
lemaija01c,Jack Adams,2002,NHL,
harribi01c,Baldwin,1973,WHA,
hartce01c,Second Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
keenami01c,Jack Adams,1984,NHL,
kelleja01c,Baldwin,1972,WHA,
patrile01c,First Team All-Star,1934,NHL,
duttore01c,Second Team All-Star,1938,NHL,
rossar01c,First Team All-Star,1938,NHL,
brophjo01c,Schmertz,1978,WHA,
quinnpa01c,Jack Adams,1979,NHL,
rossar01c,Second Team All-Star,1942,NHL,
irvindi01c,First Team All-Star,1943,NHL,
