name,id,award,year,lgid,note
Чарльз М. Шлоз,,Патрик,1980,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Рей Мирон,,Патрик,2003,NHL,
Джек Баттерфилд,butteja01h,Патрик,1984,NHL,
Мильт Шмидт,schmimi01,Патрик,1995,NHL,
Кейт Аллен,allenke01,Патрик,1987,NHL,
Джон Циглер,ziegljo01h,Патрик,1983,NHL,
Лен Цегельский,,Патрик,1989,NHL,
Том Фицджеральд,,Патрик,1977,NHL,
Джон Девидсон,davidjo01,Патрик,2003,NHL,
Макс Макнаб,mcnabma01,Патрик,1997,NHL,
Боб Флеминг,,Патрик,1994,NHL,
Мюррей Армстронг,armstmu01,Патрик,1976,NHL,
Лу Вайро,,Патрик,1999,NHL,
Куни Мыланд,weilaco01,Патрик,1971,NHL,
Брайан Лиэтч,leetcbr01,Патрик,2006,NHL,
Линн Патрик,patrily01,Патрик,1988,NHL,поступить после смерти
Чарльз Л. Кроват,,Патрик,1973,NHL,поступить после смерти
Кен Морроу,morroke01,Патрик,1995,NHL,
Арт Росс,rossar01,Патрик,1983,NHL,поступить после смерти
Лу Нэнн,nannelo01,Патрик,1988,NHL,
Билл Тёрри,torrebi01h,Патрик,1982,NHL,
Вальтер Буш,bushwa01h,Патрик,1972,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Стан Фишлер,,Патрик,2006,NHL,
Гил Штайн,,Патрик,1992,NHL,
Фил Хаусли,houslph01,Патрик,2007,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Скоти Боуман,bowmasc01c,Патрик,2000,NHL,
Боби Орр,orrbo01,Патрик,1978,NHL,
Дэвид Поил,,Патрик,2000,NHL,
Тони Росси,,Патрик,2010,NHL,
Дэйв Эндрюс,,Патрик,2009,NHL,
Стан Микита,mikitst01,Патрик,1975,NHL,
Уильям Вирц,wirtzwi01h,Патрик,1977,NHL,
Марио Лемьо,lemiema01,Патрик,1999,NHL,
Джери Йорк,,Патрик,2009,NHL,
Марк Джонсон,johnsma02,Патрик,2010,NHL,
Буд Поил,poilebu01,Патрик,1988,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Джон Б. Солленбергер,,Патрик,1970,NHL,поступить после смерти
Боб Пульфорд,pulfobo01,Патрик,2010,NHL,
Роберт Ридер,,Патрик,1993,NHL,
Майк Илич,ilitcmi01h,Патрик,1990,NHL,
Брюс Норрис,norribr01h,Патрик,1975,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Марсель Дьонне,dionnma01,Патрик,2005,NHL,
Уилли О'Ри,oreewi01,Патрик,2002,NHL,
Эд Джеремия,jeremed01,Патрик,1968,NHL,поступить после смерти
Горди Хоу,howego01,Патрик,1966,NHL,
Тед Линдси,lindste01,Патрик,2007,NHL,
Бобби Халл,hullbo01,Патрик,1968,NHL,
Арт Берглунд,,Патрик,1991,NHL,
Глен Сономор,sonmogl01,Патрик,2005,NHL,
Уэстон Адамс,adamswe01h,Патрик,1973,NHL,поступить после смерти
Мюррей Мёрдох,murdomu01,Патрик,1973,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Майк Ричтер,richtmi01,Патрик,2008,NHL,
Красный Беренсон,berenre01,Патрик,2005,NHL,
Джон Маясич,,Патрик,1997,NHL,
Ками Гранато,,Патрик,2006,NHL,
Кэм Нилли,neelyca01,Патрик,2009,NHL,
Джеймс Норрис,norrija02h,Патрик,1966,NHL,поступить после смерти
Джеймс Д. Норрис,norrija03h,Патрик,1971,NHL,поступить после смерти
Джим Девелано,,Патрик,2008,NHL,
1998 год: Женская олимпийская хоккейная команда США.,,Патрик,1998,NHL,
Ларри Плю,pleaula01,Патрик,2001,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,поступить после смерти
Тери Сэвчук,sawchte01,Патрик,1970,NHL,поступить после смерти
Джек Паркер,,Патрик,2009,NHL,
Ал Арбор,arboual01,Патрик,1991,NHL,
Саймон Х. Кнокс III,,Патрик,1996,NHL,поступить после смерти
Джим Хендри,hendyji01h,Патрик,1969,NHL,поступить после смерти
Уильям Татт,tuttwi01h,Патрик,1977,NHL,
Кларенс Кэмпбелл,campbcl01h,Патрик,1971,NHL,
Джордж Гунд,,Патрик,1995,NHL,
Пат Лафонтен,lafonpa01,Патрик,1996,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Питер Карманос,,Патрик,1997,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Артур Вертц,wirtzar01h,Патрик,1984,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
Джефф Сауэр,,Патрик,2010,NHL,
Чарльз Адамс,adamsch01h,Патрик,1966,NHL,поступить после смерти
Эмиль Франсис,francem01,Патрик,1981,NHL,
Фред Шеро,sherofr01,Патрик,1979,NHL,
Джон Холлиган,,Патрик,2006,NHL,
Джон Марьючич,mariujo01,Патрик,1976,NHL,
Уильям Дженнингс,jenniwi01h,Патрик,1970,NHL,
Билл Клири,,Патрик,1996,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Эд Снайдер,snideed01h,Патрик,1979,NHL,
Рон ДеГрегорио,,Патрик,2002,NHL,
