playerid,year,stint,tmid,s,g,gdg
plekato01,2006,1,MTL,3,1,0
streima01,2011,1,NYI,0,1,0
kovalal01,2008,1,MTL,8,4,2
boothda01,2011,2,VAN,1,2,0
lilesjo01,2007,1,COL,1,1,0
pominja01,2010,1,BUF,4,0,0
kesseph01,2008,1,BOS,8,1,0
gagnesi01,2006,1,PHI,6,1,0
stoary01,2010,1,COL,2,1,1
nielsfr01,2007,1,NYI,1,0,0
hrdinja01,2005,1,CBS,2,0,0
bulisja01,2006,1,VAN,1,0,0
berarbr01,2005,1,CBS,1,0,0
thornjo01,2007,1,SJS,1,1,1
ribeimi01,2010,1,DAL,10,6,1
fishemi01,2008,1,OTT,5,2,2
parkri01,2008,1,NYI,2,1,1
zajactr01,2007,1,NJD,1,0,0
marlepa01,2006,1,SJS,1,0,0
broditj01,2011,1,CAL,0,2,0
oshietj01,2010,1,STL,5,4,1
modanmi01,2006,1,DAL,3,0,0
lupuljo01,2009,1,AND,2,1,0
kopitan01,2009,1,LAK,16,8,4
anisiar01,2009,1,NYR,2,0,0
ruzicst01,2006,1,PHI,1,0,0
nilssro01,2007,1,EDM,7,4,1
byfugdu01,2010,1,ATL,2,0,0
pothibr01,2006,1,WAS,1,0,0
vyborda01,2006,1,CBS,9,5,1
smythry01,2009,1,LAK,6,1,0
zidlima01,2011,1,MIN,0,1,0
staaler01,2009,1,CAR,2,0,0
batessh01,2005,1,NYI,3,2,0
clarkno02,2006,1,LAK,1,0,0
oreilry01,2009,1,COL,3,1,0
kaletpa01,2009,1,BUF,1,0,0
leopojo01,2008,1,COL,1,1,1
dvorara01,2005,1,EDM,2,1,1
wingeto01,2011,1,SJS,0,1,0
wardja01,2006,1,NYR,1,0,0
dorsede01,2011,1,CBS,0,1,0
chriser01,2005,1,PIT,1,1,0
belaner01,2011,1,EDM,0,2,0
porteke01,2010,1,COL,2,1,1
eratma01,2007,1,NAS,5,2,2
richabr01,2007,2,DAL,1,1,0
pothibr01,2007,1,WAS,1,0,0
bouchpi02,2008,1,MIN,1,0,0
ovechal01,2005,1,WAS,13,6,3
maddejo01,2005,1,NJD,2,0,0
modanmi01,2006,1,DAL,3,0,0
drurych01,2008,1,NYR,7,3,3
holmsto01,2005,1,DET,2,1,1
dupuipa01,2007,1,ATL,1,1,1
whitnry01,2005,1,PIT,2,1,0
samuemi01,2006,1,DET,2,0,0
suttebr03,2011,1,CAR,0,1,0
stlouma01,2011,1,TBL,1,2,0
gomezsc01,2007,1,NYR,4,2,1
foligni01,2009,1,OTT,1,0,0
malhoma01,2009,1,SJS,1,0,0
ritchby01,2006,1,CAL,3,2,0
samsose01,2009,1,CAR,5,1,1
burroal01,2007,1,VAN,1,0,0
huntetr01,2005,1,NYI,9,5,2
datsypa01,2006,1,DET,10,5,0
tyutife01,2010,1,CBS,3,1,0
waltebe01,2005,1,BOS,1,0,0
chimeja01,2005,1,CBS,1,1,1
berglpa01,2008,1,STL,1,0,0
lilesjo01,2009,1,COL,1,0,0
coglian01,2010,1,EDM,2,0,0
malonry01,2011,1,TBL,0,3,0
perroda01,2009,1,STL,5,1,1
hortona01,2009,1,FLO,8,2,1
stollja01,2010,1,LAK,10,9,4
legwada01,2010,1,NAS,3,0,0
giroucl01,2008,1,PHI,2,0,0
tambeje01,2010,1,VAN,5,2,1
royde01,2009,1,BUF,5,1,0
seminal01,2006,1,WAS,10,2,1
nielsfr01,2011,1,NYI,7,11,4
sykorpe01,2011,1,NJD,0,1,0
jokinol01,2006,1,FLO,6,1,0
whitnra01,2005,1,CAR,5,4,0
royde01,2006,1,BUF,1,0,0
modanmi01,2008,1,DAL,5,2,1
pacioma01,2010,1,MTL,2,1,0
carteje01,2010,1,PHI,2,0,0
boylebr01,2010,1,NYR,2,0,0
lecavvi01,2007,1,TBL,3,1,0
lapiema01,2008,1,MTL,3,2,1
comrimi01,2007,1,NYI,4,1,1
savarma01,2006,1,BOS,6,1,0
reasoma01,2006,1,EDM,1,1,1
eliaspa01,2006,1,NJD,11,2,1
robitra01,2006,1,PHI,1,0,0
gagnesi01,2006,1,PHI,6,1,0
nagyla01,2006,2,DAL,2,1,1
reasoma01,2005,2,BOS,1,0,0
weighdo01,2008,1,NYI,1,0,0
laichbr01,2008,1,WAS,1,0,0
langeja01,2009,1,NJD,9,3,2
hartite01,2011,1,EDM,0,1,0
charazd01,2006,1,BOS,2,1,1
gelinma01,2006,1,FLO,1,0,0
plekato01,2011,1,MTL,1,5,1
butlebo01,2011,1,OTT,1,2,1
lombama01,2009,1,PHO,3,1,1
toewsjo01,2010,1,CHI,11,5,2
kesseph01,2010,1,TOR,8,1,1
weighdo01,2007,1,STL,1,0,0
johnsja02,2009,1,LAK,17,6,1
simjo01,2009,1,NYI,1,0,0
burnsbr01,2008,1,MIN,3,0,0
bouwmja01,2006,1,FLO,1,0,0
kolniju01,2006,1,FLO,1,0,0
chimeja01,2006,1,CBS,4,1,1
larosch01,2009,1,CAR,1,1,1
schnema01,2007,1,AND,3,2,2
hollwry01,2005,1,NYR,1,0,0
coutulo01,2009,1,SJS,1,1,1
maddejo01,2007,1,NJD,2,0,0
iginlja01,2009,1,CAL,4,0,0
spurgja01,2011,1,MIN,0,1,0
kubafi01,2005,1,MIN,1,0,0
coutulo01,2011,1,SJS,0,4,0
foligni01,2008,1,OTT,2,0,0
toewsjo01,2009,1,CHI,14,8,3
wardja01,2006,1,NYR,1,0,0
kapanni01,2007,1,PHO,1,0,0
dumonjp01,2006,1,NAS,3,1,1
niskama01,2009,1,DAL,3,1,1
tyutife01,2011,1,CBS,0,1,0
backeda01,2009,1,STL,1,0,0
bertuto01,2011,1,DET,5,10,4
korpila01,2010,1,PHO,4,0,0
sextoda01,2009,1,AND,2,0,0
hortona01,2008,1,FLO,7,2,1
eliaspa01,2011,1,NJD,6,12,2
giroucl01,2008,1,PHI,2,0,0
hemskal01,2006,1,EDM,6,1,0
nieuwjo01,2006,1,FLO,2,0,0
sakicjo01,2007,1,COL,5,3,2
hartnsc01,2008,1,PHI,1,0,0
parrima01,2006,1,MIN,2,0,0
gocma01,2011,1,FLO,1,7,1
dumonjp01,2005,1,BUF,1,0,0
malhoma01,2009,1,SJS,1,0,0
allisja01,2005,1,TOR,3,0,0
shannry01,2006,1,AND,5,1,0
prospva01,2009,1,NYR,1,1,0
tenkrpe01,2006,1,BOS,3,2,1
lecavvi01,2006,1,TBL,12,3,2
kostian01,2011,1,MTL,0,2,0
langkda01,2011,1,PHO,0,1,0
pacioma01,2010,1,MTL,2,1,0
dagosma01,2010,1,STL,6,1,0
enstrto01,2007,1,ATL,1,0,0
belaner01,2006,2,ATL,1,0,0
modinfr01,2006,1,CBS,3,0,0
hollwry01,2006,1,NYR,1,0,0
backsni02,2010,1,WAS,9,2,0
oneilje01,2006,1,TOR,2,1,1
crosbsi01,2006,1,PIT,15,5,4
zubruda01,2006,1,WAS,1,0,0
leopojo01,2010,1,BUF,1,0,0
coglian01,2010,1,EDM,2,0,0
langfjo01,2006,1,DET,2,0,0
richabr01,2007,1,TBL,3,2,1
jonesry01,2010,1,EDM,2,0,0
modanmi01,2009,1,DAL,7,1,1
richami02,2006,1,PHI,3,0,0
duchema01,2009,1,COL,7,2,1
