year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1909,NHA,OT1,STE,,,2,,12,9,3,0,,18,,,89,66,Оттавские сенаторы,,,,,,,,
1910,NHA,MOC,MTL,,,2,,16,8,8,0,,16,,,66,62,Монреальские канадиенсы,,,,,,,,
1910,NHA,OT1,STE,,,1,,16,13,3,0,,26,,,122,69,Оттавские сенаторы,,,,,,,,
1911,NHA,MOC,MTL,,,4,,18,8,10,0,,16,,,59,66,Монреальские канадиенсы,,,,,,,,
1911,NHA,OT1,STE,,,2,,18,9,9,0,,18,,,99,93,Оттавские сенаторы,,,,,,,,
1911,PCHA,VA1,SPO,,,3,,16,7,9,0,,14,,,81,90,Виктория Аристократс,,,,,,,,
1911,PCHA,VML,VMR,,,2,,15,7,8,0,,14,,,102,94,Ванкуверские миллионеры,,,,,,,,
1912,NHA,MOC,MTL,,,5,,20,9,11,0,,18,,,83,81,Монреальские канадиенсы,,,,,,,,
1912,NHA,OT1,STE,,,3,,20,9,11,0,,18,,,87,81,Оттавские сенаторы,,,,,,,,
1912,NHA,TBS,TBS,,,4,,20,9,11,0,,18,,,86,95,Торонтские голубые футболки,,,,,,,,
1912,PCHA,VA1,SPO,,,1,ВТС,15,10,5,0,,20,,,68,56,Виктория Аристократс,,,,,,,,
1912,PCHA,VML,VMR,,,2,,14,7,7,0,,14,,,71,68,Ванкуверские миллионеры,,,,,,,,
1913,NHA,MOC,MTL,,,2,НКАФ,20,13,7,0,,26,,,85,65,Монреальские канадиенсы,,,,,,,,
1913,NHA,OT1,STE,,,4,,20,11,9,0,,22,,,65,71,Оттавские сенаторы,,,,,,,,
1913,NHA,TBS,TBS,,,1,ПК,20,13,7,0,,26,,,93,65,Торонтские голубые футболки,,,,,,,,
1913,PCHA,VA1,SPO,,,1,F,16,10,6,0,,20,,,86,80,Виктория Аристократс,,,,,,,,
1913,PCHA,VML,VMR,,,2,,16,7,9,0,,14,,,89,89,Ванкуверские миллионеры,,,,,,,,
1914,NHA,MOC,MTL,,,6,,20,6,14,0,,12,,,65,81,Монреальские канадиенсы,,,,,,,,
1914,NHA,OT1,STE,,,1,F,20,14,6,0,,28,,,74,65,Оттавские сенаторы,,,,,,,,
1914,NHA,TBS,TBS,,,4,,20,8,12,0,,16,,,66,84,Торонтские голубые футболки,,,,,,,,
1914,PCHA,VA1,SPO,,,3,,17,4,13,0,,8,,,64,116,Виктория Аристократс,,,,,,,,
1914,PCHA,VML,VMR,,,1,ПК,17,13,4,0,,26,,,115,71,Ванкуверские миллионеры,,,,,,,,
1915,NHA,MOC,MTL,,,1,ПК,24,16,7,1,,33,,,104,76,Монреальские канадиенсы,,,,,,,,
1915,NHA,OT1,STE,,,2,,24,13,11,0,,26,,,78,72,Оттавские сенаторы,,,,,,,,
1915,PCHA,SEA,SEA,,,3,,18,9,9,0,,18,,,68,67,Сиэтл Метрополитен,,,,,,,,
1915,NHA,TBS,TBS,,,5,,24,9,14,1,,19,,,97,98,Торонтские голубые футболки,,,,,,,,
1915,PCHA,VA1,SPO,,,4,,18,5,13,0,,10,,,74,102,Виктория Аристократс,,,,,,,,
1915,PCHA,VML,VMR,,,2,,18,9,9,0,,18,,,75,69,Ванкуверские миллионеры,,,,,,,,
1916,NHA,MOC,MTL,,,2,F,20,10,10,0,,20,,,89,80,Монреальские канадиенсы,,,,,,,,
1916,NHA,OT1,STE,,,1,НКАФ,20,15,5,0,,30,,,119,63,Оттавские сенаторы,,,,,,,,
1916,PCHA,SEA,SEA,,,1,ПК,24,16,8,0,,32,,,125,80,Сиэтл Метрополитен,,,,,,,,
1916,NHA,TBS,TBS,,,4,,14,7,7,0,,14,,,64,61,Торонтские голубые футболки,,,,,,,,
1916,PCHA,VML,VMR,,,2,,23,14,9,0,,28,,,131,124,Ванкуверские миллионеры,,,,,,,,
1917,NHL,MTL,MTL,,,1,НФЧМ,22,13,9,0,,26,,,115,84,Монреальские канадиенсы,336.0,,,,,,,
1917,NHL,OTS,STE,,,3,,22,9,13,0,,18,,,102,114,Оттавские сенаторы,333.0,,,,,,,
1917,PCHA,SEA,SEA,,,1,ПФ,18,11,7,0,,22,,,67,65,Сиэтл Метрополитен,,,,,,,,
1917,NHL,TOA,TOR,,,1,ПК,22,13,9,0,,26,,,108,109,Торонто Аренас,355.0,,,,,,,
1917,PCHA,VML,VMR,,,2,F,18,9,9,0,,18,,,70,60,Ванкуверские миллионеры,,,,,,,,
1918,NHL,MTL,MTL,,,2,ND,18,10,8,0,,20,,,88,78,Монреальские канадиенсы,253.0,,,,,,,
1918,NHL,OTS,STE,,,1,НФЧМ,18,12,6,0,,24,,,71,53,Оттавские сенаторы,241.0,,,,,,,
1918,PCHA,SEA,SEA,,,2,ND,20,11,9,0,,22,,,66,46,Сиэтл Метрополитен,,,,,,,,
1918,NHL,TOA,TOR,,,3,,18,5,13,0,,10,,,64,92,Торонто Аренас,269.0,,,,,,,
1918,PCHA,VML,VMR,,,1,ПФ,20,12,8,0,,24,,,72,55,Ванкуверские миллионеры,,,,,,,,
1919,NHL,MTL,MTL,,,2,,24,13,11,0,,26,,,129,113,Монреальские канадиенсы,297.0,,,,,,,
1919,NHL,OTS,STE,,,1,ПК,24,19,5,0,,38,,,121,64,Оттавские сенаторы,305.0,,,,,,,
1919,PCHA,SEA,SEA,,,1,F,22,12,10,0,,24,,,59,55,Сиэтл Метрополитен,,,,,,,,
1919,NHL,TRS,TOR,,,3,,24,12,12,0,,24,,,119,106,"Торонто, Сент-Патрикс",253.0,,,,,,,
1919,PCHA,VML,VMR,,,2,ПФ,22,11,11,0,,22,,,75,65,Ванкуверские миллионеры,,,,,,,,
1920,NHL,MTL,MTL,,,3,,24,13,11,0,,26,,,112,99,Монреальские канадиенсы,325.0,,,,,,,
1920,NHL,OTS,STE,,,2,ПК,24,14,10,0,,28,,,97,75,Оттавские сенаторы,179.0,,,,,,,
1920,PCHA,SEA,SEA,,,2,ПФ,24,12,11,1,,25,,,77,68,Сиэтл Метрополитен,,,,,,,,
1920,NHL,TRS,TOR,,,1,НФЧМ,24,15,9,0,,30,,,105,100,"Торонто, Сент-Патрикс",287.0,,,,,,,
1920,PCHA,VML,VMR,,,1,F,24,13,11,0,,26,,,86,79,Ванкуверские миллионеры,,,,,,,,
1921,WCHL,CAT,CAT,,,3,WSF,24,14,10,0,,28,,,75,62,Тигры Калгари,,,,,,,,
1921,WCHL,EDE,EDE,,,1,WF,24,15,9,0,,30,,,117,76,Эдмонтон Эскимос,,,,,,,,
1921,NHL,MTL,MTL,,,3,,24,12,11,1,,25,,,88,94,Монреальские канадиенсы,206.0,,,,,,,
1921,NHL,OTS,STE,,,1,НФЧМ,24,14,8,2,,30,,,106,84,Оттавские сенаторы,111.0,,,,,,,
1921,WCHL,REG,POR,,,2,СКФ,24,14,10,0,,28,,,94,78,Регина Капиталс,,,,,,,,
1921,PCHA,SEA,SEA,,,1,ПФ,24,12,11,1,,25,,,65,64,Сиэтл Метрополитен,,,,,,,,
1921,NHL,TRS,TOR,,,2,ПК,24,13,10,1,,27,,,98,97,"Торонто, Сент-Патрикс",160.0,,,,,,,
