year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1909,NHA,OT1,5,1,0.0,,4,2,0.0,,,,,,,,,,,,,,,,,,4,0,0.0,,5.0,1.0,0.0,,0.0,2.0,0.0,,,,,
1910,NHA,MOC,5,3,0.0,,3,5,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,,4,2,0.0,,4.0,2.0,0.0,,0.0,3.0,0.0,,,,,
1910,NHA,OT1,7,1,0.0,,6,2,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,,6,0,0.0,,4.0,1.0,0.0,,2.0,2.0,0.0,,,,,
1911,NHA,MOC,4,5,0.0,,4,5,0.0,,,,,,,,,,,,,,,,,,5,4,0.0,,2.0,6.0,0.0,,1.0,0.0,0.0,,,,,
1911,NHA,OT1,6,4,0.0,,3,5,0.0,,,,,,,,,,,,,,,,,,3,5,0.0,,6.0,2.0,0.0,,0.0,2.0,0.0,,,,,
1911,PCHA,VA1,4,4,0.0,,3,5,0.0,,,,,,,,,,,,,,,,,,3,4,0.0,,2.0,3.0,0.0,,2.0,2.0,0.0,,,,,
1911,PCHA,VML,3,5,0.0,,4,3,0.0,,,,,,,,,,,,,,,,,,2,3,0.0,,4.0,2.0,0.0,,1.0,3.0,0.0,,,,,
1912,NHA,MOC,4,6,0.0,,5,5,0.0,,,,,,,,,,,,,,2.0,0.0,0.0,,5,3,0.0,,1.0,7.0,0.0,,1.0,1.0,0.0,,,,,
1912,NHA,OT1,6,4,0.0,,3,7,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,,4,5,0.0,,4.0,4.0,0.0,,1.0,1.0,0.0,,,,,
1912,NHA,TBS,7,3,0.0,,2,8,0.0,,,,,,,,,,,,,,0.0,2.0,0.0,,3,5,0.0,,5.0,3.0,0.0,,1.0,1.0,0.0,,,,,
1912,PCHA,VA1,7,1,0.0,,3,4,0.0,,,,,,,,,,,,,,2.0,1.0,0.0,,4,1,0.0,,3.0,2.0,0.0,,1.0,1.0,0.0,,,,,
1912,PCHA,VML,5,3,0.0,,2,4,0.0,,,,,,,,,,,,,,2.0,1.0,0.0,,2,2,0.0,,2.0,4.0,0.0,,1.0,0.0,0.0,,,,,
1913,NHA,MOC,9,1,0.0,,4,6,0.0,,,,,,,,,,,,,,1.0,1.0,0.0,,6,3,0.0,,5.0,3.0,0.0,,1.0,0.0,0.0,,,,,
1913,NHA,OT1,7,3,0.0,,4,6,0.0,,,,,,,,,,,,,,0.0,2.0,0.0,,8,1,0.0,,3.0,5.0,0.0,,0.0,1.0,0.0,,,,,
1913,NHA,TBS,8,2,0.0,,5,5,0.0,,,,,,,,,,,,,,1.0,1.0,0.0,,6,3,0.0,,6.0,2.0,0.0,,0.0,1.0,0.0,,,,,
