playerid,award,year,lgid,note,pos
conacli01,Second Team All-Star,1936,NHL,,D
trembjc01,First Team All-Star,1972,WHA,,D
hasekdo01,First Team All-Star,1998,NHL,,G
gainebo01,Selke,1978,NHL,,
tayloda01,King Clancy,1990,NHL,,
howego01,Art Ross,1952,NHL,,
harvedo01,Norris,1954,NHL,,
rozsimi01,Plus-Minus,2005,NHL,tie,
hullbo01,Art Ross,1965,NHL,,
smithbi01,Vezina,1981,NHL,,
clarkbo01,Second Team All-Star,1972,NHL,,C
carsoji01,All-Rookie,1986,NHL,,C
vachoro01,Second Team All-Star,1976,NHL,,G
richama01,First Team All-Star,1946,NHL,,RW
johnsch01,Second Team All-Star,1933,NHL,,D
charazd01,Plus-Minus,2010,NHL,,
smithbi01,First Team All-Star,1981,NHL,,G
drydeda01,Howe,1978,WHA,MVP,
bathgan01,Second Team All-Star,1962,NHL,,RW
jovaned01,All-Rookie,1995,NHL,,D
kellyre01,Second Team All-Star,1949,NHL,,D
jacksbu01,First Team All-Star,1936,NHL,,LW
gadsbbi01,Second Team All-Star,1956,NHL,,D
leachre01,Conn Smythe,1975,NHL,,
shanabr01,First Team All-Star,1999,NHL,,LW
jenseda02,Jennings,1985,NHL,shared,
eschero01,Jennings,2002,NHL,shared,
ridlemi01,All-Rookie,1985,NHL,,C
belivje01,Second Team All-Star,1965,NHL,,C
iginlja01,First Team All-Star,2001,NHL,,RW
waltomi01,Hunter,1973,WHA,Scoring,
hullbo01,First Team All-Star,1967,NHL,,LW
flamafe01,Second Team All-Star,1956,NHL,,D
hollefl01,Second Team All-Star,1942,NHL,,D
gorinbu01,Conn Smythe,1980,NHL,,
forsbpe01,Hart,2002,NHL,,
leetcbr01,Second Team All-Star,1990,NHL,,D
esposph01,Art Ross,1973,NHL,,
messima01,Pearson,1989,NHL,,
lidstni01,Norris,2001,NHL,,
shanabr01,First Team All-Star,1993,NHL,,LW
hasekdo01,Jennings,1993,NHL,shared,
niedesc01,First Team All-Star,2006,NHL,,D
backsra01,Deneau,1973,WHA,Most Gentlemanly,
smithge01,All-Rookie,1989,NHL,,D
clarkbo01,Hart,1972,NHL,,
juneajo01,All-Rookie,1992,NHL,,LW
potvide01,Norris,1977,NHL,,
kehoeri01,Lady Byng,1980,NHL,,
mccoofr01,Calder,1944,NHL,,
drydeke01,Conn Smythe,1970,NHL,,
parkbr01,First Team All-Star,1969,NHL,,D
bourqra01,First Team All-Star,1991,NHL,,D
langeda01,Second Team All-Star,1978,WHA,,D
mikitst01,Art Ross,1964,NHL,,
niedesc01,Conn Smythe,2006,NHL,,
bossymi01,Second Team All-Star,1978,NHL,,RW
bouchbu01,First Team All-Star,1945,NHL,,D
turekro01,Second Team All-Star,1999,NHL,,G
durnabi01,Vezina,1944,NHL,,
esposph01,First Team All-Star,1969,NHL,,C
vickest01,Calder,1972,NHL,,
lemiema01,Art Ross,1996,NHL,,
kellyre01,Lady Byng,1960,NHL,,
sevigri01,Vezina,1980,NHL,shared,
daneyke01,Masterton,1999,NHL,,
howego01,Second Team All-Star,1958,NHL,,RW
howego01,Art Ross,1950,NHL,,
smithcl01,Lady Byng,1938,NHL,,
bossymi01,Lady Byng,1983,NHL,,
rogermi01,Deneau,1974,WHA,Most Gentlemanly,
wilsodo01,Second Team All-Star,1989,NHL,,D
parenbe01,Vezina,1973,NHL,tie,
mooredi01,Second Team All-Star,1960,NHL,,LW
breweca01,Second Team All-Star,1964,NHL,,D
messima01,First Team All-Star,1981,NHL,,LW
brodema01,Vezina,2006,NHL,,
orrbo01,First Team All-Star,1971,NHL,,D
lemiema01,All-Rookie,1984,NHL,,C
orrbo01,Art Ross,1974,NHL,,
moreaet01,King Clancy,2008,NHL,,
lidstni01,First Team All-Star,1999,NHL,,D
provocl01,Masterton,1967,NHL,,
lemiema01,Plus-Minus,1992,NHL,,
masonst01,Calder,2008,NHL,,
ftorero01,First Team All-Star,1976,WHA,,C
kellyre01,First Team All-Star,1951,NHL,,D
brimsfr01,Second Team All-Star,1940,NHL,,G
pilotpi01,Second Team All-Star,1960,NHL,,D
hortoti01,First Team All-Star,1968,NHL,,D
laflegu01,Hart,1977,NHL,,
dennecy01,Art Ross,1923,NHL,,
coultar01,Second Team All-Star,1939,NHL,,D
sheppra01,All-Rookie,1987,NHL,,RW
sakicjo01,Pearson,2000,NHL,,
barrato01,All-Rookie,1983,NHL,,G
meaghri01,Selke,1989,NHL,,
amontto01,All-Rookie,1991,NHL,,RW
delveal01,Second Team All-Star,1958,NHL,,LW
yzermst01,Pearson,1988,NHL,,
laflegu01,First Team All-Star,1975,NHL,,RW
belfoed01,Crozier,1999,NHL,,
hallgl01,First Team All-Star,1956,NHL,,G
datsypa01,Lady Byng,2005,NHL,,
orrbo01,Norris,1970,NHL,,
seibeea01,Second Team All-Star,1939,NHL,,D
jenseal01,Jennings,1983,NHL,shared,
