playerid,year,stint,tmid,s,g,gdg
kesseph01,2009,1,TOR,7,3,2
waltebe01,2005,1,BOS,1,0,0
oneilje01,2006,1,TOR,2,1,1
thornjo01,2007,1,SJS,1,1,1
pothibr01,2007,1,WAS,1,0,0
craigry01,2006,1,TBL,1,0,0
pominja01,2009,1,BUF,9,5,2
fleisto01,2006,1,WAS,1,0,0
gelinma01,2006,1,FLO,1,0,0
yorkmi01,2006,1,NYI,3,1,1
steenal01,2008,1,TOR,1,0,0
brunnfa01,2008,1,DAL,4,1,0
sullist01,2011,1,PIT,0,2,0
dumonjp01,2009,1,NAS,2,0,0
tallihe01,2009,1,BUF,1,0,0
kovalil01,2006,1,ATL,4,1,0
umberrj01,2006,1,PHI,1,0,0
miettan01,2007,1,DAL,1,1,0
mitchjo02,2011,1,NYR,0,4,0
hossama01,2006,1,ATL,10,5,1
samuemi01,2011,1,VAN,0,1,0
maddejo01,2011,1,FLO,0,2,0
tkachke01,2009,1,STL,1,0,0
vescery01,2009,1,SJS,1,0,0
sundima01,2007,1,TOR,6,3,2
reinpst01,2007,1,PHO,2,0,0
bertuto01,2010,1,DET,7,2,1
doansh01,2005,1,PHO,3,1,0
brierda01,2008,1,PHI,3,2,0
osullpa01,2011,1,PHO,2,3,1
coleer01,2005,1,CAR,3,1,1
kovalal01,2008,1,MTL,8,4,2
markoan01,2008,1,MTL,7,3,1
stalbvi01,2011,1,CHI,0,5,0
ohlunma01,2009,1,TBL,1,0,0
sextoda01,2009,1,AND,2,0,0
plattge01,2006,1,CBS,1,0,0
hedmavi01,2010,1,TBL,6,2,1
staaler01,2006,1,CAR,3,0,0
bertuto01,2010,1,DET,7,2,1
demitpa01,2009,1,VAN,4,2,2
pyattta01,2006,1,VAN,2,0,0
zherdni01,2007,1,CBS,8,5,1
lombama01,2009,1,PHO,3,1,1
byfugdu01,2010,1,ATL,2,0,0
staffdr01,2011,1,BUF,0,4,0
eberljo01,2011,1,EDM,3,12,0
steenal01,2008,1,TOR,1,0,0
cullema01,2009,1,CAR,3,0,0
fedotru01,2006,1,TBL,2,0,0
zidlima01,2006,1,NAS,1,0,0
guitebe01,2007,1,COL,1,0,0
artyuev01,2009,1,AND,1,0,0
getzlry01,2005,1,ANA,2,0,0
lemiema01,2005,1,PIT,3,0,0
bochebr01,2006,1,CHI,1,0,0
seminal01,2007,1,WAS,7,3,2
hagmani01,2008,1,TOR,5,1,1
hornqpa01,2009,1,NAS,3,0,0
visnolu01,2009,1,EDM,1,1,1
staaler01,2008,1,CAR,2,0,0
greenmi03,2007,1,WAS,2,0,0
arnotja01,2010,1,NJD,2,1,0
johnsja02,2009,1,LAK,17,6,1
stumpjo01,2005,1,FLO,3,0,0
koivumi01,2009,1,MIN,12,5,2
michami01,2008,1,SJS,4,1,0
alfreda01,2007,1,OTT,7,2,1
