playerid,year,ppa,sha
goulemi01,1989,15,1
momesse01,1990,1,
paslagr01,1990,3,1
skrikpe01,1990,5,
mckegto01,1989,3,
wilsoca01,1988,19,
wellsja01,1989,3,2
krushmi01,1990,3,
gingrga01,1987,9,
broteaa01,1990,1,
johanca01,1988,7,
ruotsre01,1989,9,
cullejo01,1990,29,
klimape01,1989,11,
sheehne01,1987,1,
gartnmi01,1989,14,1
rousebo01,1988,,1
huberwi01,1987,14,
ferrara01,1990,5,
maclebr01,1988,8,
brookbo01,1989,1,2
maroima01,1988,3,
mcintjo01,1990,,2
hunteda01,1987,1,4
pederba01,1989,7,1
nylunga01,1988,1,
ciccadi01,1988,10,1
butchga01,1990,3,2
malondo01,1988,2,
frasecu01,1987,2,
vaiveri01,1988,15,
mcdonhu01,1989,1,
sanipev01,1989,2,
kennede01,1988,,2
lawtobr01,1989,1,
cyrpa01,1987,1,
macivno01,1988,19,
manthmo01,1987,15,1
archida01,1989,4,
creigad01,1988,7,
ledyagr01,1987,5,
donnemi01,1987,2,
hullbr01,1987,10,
courtge01,1987,7,
robergo01,1987,3,
brownje02,1989,24,
bradlbr01,1990,10,
mcbeawa01,1988,1,
petitmi01,1990,16,
wilsoca01,1990,4,
tuckejo01,1990,1,
hardyma01,1988,5,
brownro01,1990,10,
foligmi01,1990,1,
picarro02,1989,1,1
samueul01,1990,,2
joycebo01,1989,3,
carsoli01,1987,1,1
charbjo01,1988,1,
carpebo01,1988,4,
creigad01,1988,7,
crossdo01,1990,21,
tantito01,1990,5,
murphla01,1990,19,
hunteda01,1987,1,4
wilsoca01,1990,4,
cullejo01,1990,29,
vaiveri01,1988,15,
maclebr01,1988,8,
donnemi01,1987,2,
konrost01,1988,1,1
dineego01,1987,2,
kennede01,1988,,2
maroima01,1988,3,
brookbo01,1989,1,2
mckegto01,1990,7,
mcdonhu01,1989,1,
tantito01,1989,9,
cunnera01,1989,4,
ferrara01,1990,5,
huntema01,1990,4,
frasecu01,1987,2,
foligmi01,1990,1,
momesse01,1990,1,
butchga01,1990,3,2
carpebo01,1988,4,
bradlbr01,1990,10,
wilsoca01,1988,19,
broteaa01,1990,1,
linseke01,1989,8,
robergo01,1987,3,
manthmo01,1988,9,
wellsja01,1989,3,2
rousebo01,1988,,1
skrikpe01,1990,5,
hullbr01,1987,10,
larsore01,1988,14,
sandsto01,1989,20,
bodgedo01,1988,25,1
sanipev01,1989,2,
kurveto01,1990,15,
brownje02,1989,24,
playfla01,1988,,1
ledyagr01,1988,6,
franclo01,1990,1,1
laughcr01,1987,3,
ciccadi01,1988,10,1
allismi01,1987,5,
coxecr01,1987,1,
gingrga01,1987,9,
hardyma01,1988,5,
pederma01,1990,7,
pederba01,1989,7,1
huberwi01,1987,14,
carsoji01,1989,5,
carsoli01,1987,1,1
quinnda01,1989,15,1
archida01,1989,4,
erickbr01,1987,6,
krushmi01,1990,3,
bennibr01,1989,5,
macivno01,1988,19,
gartnmi01,1989,14,1
iafraal01,1990,11,1
dahlqch01,1990,,1
simpscr01,1987,10,1
klimape01,1989,11,
libaig01,1988,6,
hunteda01,1988,,1
deblolu01,1990,,1
josepch01,1987,6,
murphla01,1988,22,
halwado01,1988,1,
actonke01,1988,,1
ruffli01,1988,1,
courtge01,1987,7,
stastpe01,1989,23,
petitmi01,1990,16,
gartnmi01,1988,9,
cyrpa01,1987,1,
bullami01,1988,13,
courtru01,1988,2,
goulemi01,1989,15,1
picarro02,1989,1,1
nichobe01,1989,37,1
ysebapa01,1990,4,1
johanca01,1988,7,
mcintjo01,1990,,2
tuckejo01,1989,6,
loisecl01,1990,1,1
huntema01,1990,4,
laughcr01,1987,3,
adamsgr01,1989,1,
kurveto01,1990,15,
dahlqch01,1990,,1
carpebo01,1988,4,
ledyagr01,1987,5,
jonssto01,1988,24,
kaspest01,1988,6,2
allismi01,1987,5,
bodgedo01,1988,25,1
simpscr01,1987,10,1
gingrga01,1987,9,
zezelpe01,1988,17,
cyrpa01,1987,1,
gartnmi01,1988,9,
creigad01,1988,7,
johanca01,1988,7,
klimape01,1989,11,
maroima01,1988,3,
krushmi01,1990,3,
lawlepa01,1987,3,
cunnera01,1989,4,
ruotsre01,1989,9,
bullami01,1988,13,
mcbeawa01,1988,1,
stastpe01,1989,23,
hrdinji01,1990,4,
iafraal01,1990,11,1
charbjo01,1988,1,
nylunga01,1988,1,
pederba01,1989,7,1
huberwi01,1987,14,
hunteda01,1988,,1
franclo01,1990,1,1
macivno01,1988,19,
frasecu01,1987,2,
hardyma01,1988,5,
quinnda01,1989,15,1
kontoch01,1987,6,
mcintjo01,1990,,2
actonke01,1988,,1
archida01,1989,4,
dineego01,1987,2,
macivno01,1988,19,
broteaa01,1989,3,
bassebo01,1988,,1
bullami01,1988,13,
pederma01,1990,7,
linseke01,1989,8,
macdepa01,1989,2,
wilsoca01,1987,9,3
samueul01,1990,,2
hardyma01,1988,5,
cullejo01,1990,29,
chrisda01,1989,7,
huntema01,1990,4,
josepch01,1987,6,
murphla01,1988,22,
dineego01,1988,2,
fentopa01,1990,2,
deblolu01,1990,,1
josepch01,1987,6,
chrisda01,1989,7,
macdepa01,1989,2,
hardyma01,1988,5,
tantito01,1989,9,
skrikpe01,1990,5,
fentopa01,1990,2,
grahadi01,1987,7,1
cyrpa01,1987,1,
sandsto01,1989,20,
maclebr01,1988,8,
tuckejo01,1990,1,
halwado01,1988,1,
pederma01,1990,7,
murphla01,1988,22,
zezelpe01,1990,5,1
mcdonhu01,1989,1,
cunnera01,1989,4,
tuckejo01,1989,6,
actonke01,1988,,1
broteaa01,1989,3,
joycebo01,1989,3,
stastpe01,1989,23,
macivno01,1988,19,
gartnmi01,1989,14,1
broteaa01,1990,1,
creigad01,1988,7,
ruotsre01,1989,9,
pavesji01,1987,1,
adamsgr01,1988,1,
hardyma01,1987,10,1
erickbr01,1987,6,
loisecl01,1990,1,1
franclo01,1990,1,1
jonssto01,1988,24,
krushmi01,1990,3,
ramagro01,1987,19,2
lawlepa01,1987,3,
brownro01,1990,10,
hunteda01,1988,,1
wellsja01,1989,3,2
courtru01,1988,2,
ferrara01,1990,5,
frasecu01,1987,2,
murphla01,1990,19,
archida01,1989,4,
ysebapa01,1990,4,1
goulemi01,1989,15,1
lawtobr01,1988,4,
hrdinji01,1990,4,
courtge01,1987,7,
petitmi01,1990,16,
larsore01,1988,14,
carpebo01,1988,4,
picarro02,1989,1,1
coxecr01,1987,1,
kurveto01,1990,15,
wilsoca01,1988,19,
manthmo01,1988,9,
krushmi01,1990,3,
iafraal01,1990,11,1
courtge01,1987,7,
murphla01,1990,19,
carpebo01,1988,4,
foligmi01,1990,1,
murphla01,1988,22,
maclebr01,1988,8,
mckegto01,1989,3,
linseke01,1989,8,
kurveto01,1990,15,
tuckejo01,1990,1,
vaiveri01,1988,15,
ferrara01,1990,5,
wilsoca01,1990,4,
momesse01,1990,1,
bassebo01,1988,,1
bodgedo01,1988,25,1
nylunga01,1988,1,
fentopa01,1990,2,
mcintjo01,1990,,2
tantito01,1989,9,
robergo01,1987,3,
huntema01,1990,4,
skrikpe01,1990,5,
ramagro01,1987,19,2
macivno01,1988,19,
huberwi01,1987,14,
zezelpe01,1990,5,1
jonssto01,1988,24,
kaspest01,1988,6,2
wellsja01,1989,3,2
lemiejo01,1989,1,1
cyrpa01,1987,1,
poulida02,1989,1,1
picarro02,1989,1,1
zezelpe01,1988,17,
smaildo01,1990,1,1
quinnda01,1990,18,
laughcr01,1987,3,
iafraal01,1990,11,1
carsoli01,1987,1,1
mcbeawa01,1988,1,
sanipev01,1989,2,
wilsoca01,1987,9,3
hunteda01,1988,,1
rousebo01,1988,,1
actonke01,1988,,1
picarro02,1989,1,1
lawtobr01,1988,4,
norwole01,1990,3,
petitmi01,1987,9,1
butchga01,1990,3,2
franclo01,1990,1,1
wellsja01,1989,3,2
courtru01,1988,2,
cyrpa01,1987,1,
creigad01,1988,7,
ruffli01,1988,1,
loisecl01,1990,1,1
macivno01,1988,19,
sandsto01,1989,20,
carsoji01,1989,5,
mcintjo01,1990,,2
simpscr01,1987,10,1
tuckejo01,1989,6,
mckegto01,1989,3,
lawlepa01,1987,3,
adamsgr01,1988,1,
nylunga01,1988,1,
ciccadi01,1988,10,1
ferrara01,1990,5,
mcdonhu01,1989,1,
ramagro01,1987,19,2
fentopa01,1990,2,
petitmi01,1990,16,
bassebo01,1988,,1
zezelpe01,1988,17,
krushmi01,1990,3,
coxecr01,1987,1,
carpebo01,1988,4,
ysebapa01,1990,4,1
konrost01,1988,1,1
murphla01,1990,19,
gartnmi01,1988,9,
quinnda01,1990,18,
joycebo01,1989,3,
macdepa01,1989,2,
foligmi01,1990,1,
robergo01,1987,3,
kennede01,1988,,2
murphla01,1988,22,
cullejo01,1990,29,
smaildo01,1990,1,1
grahadi01,1987,7,1
bullami01,1988,13,
nichobe01,1989,37,1
wilsoca01,1990,4,
duguaro01,1987,2,
mckegto01,1990,7,
