playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
malonjo01,1912,QU1,NHA,К,3,2,0,2,2
oatmaed01,1923,CAT,WCHL,К,2,0,1,1,0
holmeha01,1919,SEA,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",5,0,0,0,0
griffsi01,1917,VML,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",5,1,0,1,9
dennecy01,1919,OTS,NHL,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",5,0,2,2,3
rowebo01,1919,SEA,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",5,2,1,3,13
patrile01,1913,VA1,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",3,2,0,2,5
ulricja01,1913,VA1,PCHA,r,3,0,0,0,3
hartgi01,1925,VIC,WCHL,r,4,0,0,0,2
stackte01,1921,TRS,NHL,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",4,0,0,0,0
morrijo01,1922,EDE,WCHL,r,2,1,0,1,0
duncaar01,1921,VML,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",5,0,1,1,9
berlilo01,1915,MOC,NHA,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",2,0,0,0,0
patrile01,1912,VA1,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",3,4,0,4,4
rowebo01,1918,SEA,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",5,1,0,1,6
holmeha01,1916,SEA,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",4,0,0,0,0
rileyji01,1916,SEA,PCHA,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",4,0,0,0,3
bouchbi01,1924,MTL,NHL,r,4,1,1,2,13
halljo01,1918,MTL,NHL,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",5,0,0,0,6
bouchfr01,1923,VAM,PCHA,К,2,1,1,2,2
lindsbe01,1912,VA1,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",3,0,0,0,0
oatmaru01,1925,VIC,WCHL,r,4,0,0,0,10
benedcl01,1920,OTS,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",5,0,0,0,0
hartgi01,1924,VIC,WCHL,r,4,2,1,3,0
carsofr01,1925,MTM,NHL,r,4,0,0,0,0
brucemo01,1919,OTS,NHL,Ф,5,0,0,0,0
crawfru01,1923,CAT,WCHL,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",2,0,0,0,0
rickero01,1919,SEA,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",5,2,0,2,9
reidch01,1923,CAT,WCHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",2,0,0,0,0
meekiha01,1924,VIC,WCHL,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",4,0,1,1,2
rossar01,1914,OT1,NHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",3,0,0,0,12
duttore01,1923,CAT,WCHL,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",2,0,0,0,9
benedcl01,1914,OT1,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",3,0,0,0,0
lavioja01,1915,MOC,NHA,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",2,0,0,0,6
cleghod01,1923,MTL,NHL,r/с,4,0,1,1,0
harrism01,1922,VAM,PCHA,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",4,1,0,1,8
skinnal01,1921,VML,PCHA,r,5,0,1,1,12
nighbfr01,1922,OTS,NHL,К,6,1,1,2,10
bostrhe01,1923,VAM,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти, і вкажіть, з якого і на який мови потрібен переклад.",2,1,0,1,0
mcdonra01,1917,VML,PCHA,"Добро пожаловать в Coral, ваш персональный помощник на базе ИИ, готовый помочь вам в любое время! Я могу перевести текст с английского на русский язык и обратно. Пожалуйста, предоставьте мне текст, который вы хотите перевести, и я с радостью помогу вам.",3,2,1,3,9
mackeja01,1919,OTS,NHL,Ф,5,0,0,0,0
