year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1972,DF,,WIJ,WHA,HOU,WHA,4,0,0,14,3,
1922,F,,VAM,PCHA,VC1,PCHA,1,1,0,5,3,ТГ
2007,CF,Н,DET,NHL,DAL,NHL,4,2,0,17,10,
1974,РВК,,HOU,WHA,QUN,WHA,4,0,0,20,7,
1923,СКФ,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1922,ПКФ,,OTS,NHL,EDE,WCHL,2,0,0,3,1,
1972,QF,C,CHI,NHL,STL,NHL,4,1,0,22,9,
2009,CQF,Н,DET,NHL,PHO,NHL,4,3,0,26,18,
2009,CQF,A,MTL,NHL,WAS,NHL,4,3,0,20,22,
1984,DF,L,EDM,NHL,WIN,NHL,4,0,0,22,11,
1985,DF,J,NYR,NHL,WAS,NHL,4,2,0,20,25,
1976,РВК,,QUN,WHA,WIJ,WHA,4,3,0,31,28,
2002,СФК,L,MIN,NHL,VAN,NHL,4,3,0,26,17,
1982,DSF,A,BOS,NHL,QUE,NHL,3,1,0,11,8,
1995,СФК,L,COL,NHL,CHI,NHL,4,2,0,21,14,
1993,CQF,Н,DAL,NHL,STL,NHL,4,0,0,16,10,
1942,ПКФ,C,DET,NHL,BOS,NHL,4,0,0,16,5,
1996,СФК,I,NYR,NHL,NJD,NHL,4,1,0,10,5,
1981,CF,М,NYI,NHL,QUE,NHL,4,0,0,18,9,
1983,CF,М,NYI,NHL,MTL,NHL,4,2,0,17,12,
2007,СФК,К,DET,NHL,COL,NHL,4,0,0,21,9,
2002,CQF,Н,VAN,NHL,STL,NHL,4,3,0,17,21,
2000,ПКФ,O,COL,NHL,NJD,NHL,4,3,0,19,11,
1986,DSF,C,PHI,NHL,NYR,NHL,4,2,0,22,13,
2010,CQF,F,SJS,NHL,LAK,NHL,4,2,0,20,20,
1987,DSF,D,WAS,NHL,PHI,NHL,4,3,0,31,25,
1978,Предварительно,,NEW,WHA,CIN,WHA,2,1,0,10,10,
1973,QF,A,BOS,NHL,TOR,NHL,4,0,0,17,9,
2002,ПКФ,O,NJD,NHL,ANA,NHL,4,3,0,19,12,
1975,Предварительно,A,BUF,NHL,STL,NHL,2,1,0,7,8,
1991,DF,I,BOS,NHL,MTL,NHL,4,0,0,14,8,
2005,CF,Н,EDM,NHL,ANA,NHL,4,1,0,16,13,
1991,DSF,B,BOS,NHL,BUF,NHL,4,3,0,19,24,
2005,СФК,L,ANA,NHL,COL,NHL,4,0,0,16,4,
1992,DSF,Н,LAK,NHL,CAL,NHL,4,2,0,33,28,
1977,Предварительно,A,PHI,NHL,COR,NHL,2,0,0,6,3,
2011,CQF,G,PHO,NHL,CHI,NHL,4,2,0,17,12,
2002,CQF,D,PHI,NHL,TOR,NHL,4,3,0,24,16,
1975,Предварительно,,NEW,WHA,CLC,WHA,3,0,0,14,6,
1927,ПКФ,E,NYR,NHL,MTM,NHL,3,2,0,5,6,
2005,СФК,К,EDM,NHL,SJS,NHL,4,2,0,19,12,
2009,СФК,I,MTL,NHL,PIT,NHL,4,3,0,19,18,
1989,DF,I,BOS,NHL,MTL,NHL,4,1,0,16,12,
1972,QF,A,MTL,NHL,BUF,NHL,4,2,0,21,16,
1973,ПКФ,G,PHI,NHL,BOS,NHL,4,2,0,15,13,
1987,CF,Н,EDM,NHL,DET,NHL,4,1,0,23,16,
1934,SF,D,MTM,NHL,NYR,NHL,1,0,1,5,4,ТГ
1936,QF,C,NYR,NHL,TOR,NHL,2,0,0,5,1,
1990,DSF,G,LAK,NHL,VAN,NHL,4,2,0,26,16,
1982,DSF,D,NYI,NHL,WAS,NHL,3,1,0,19,11,
1918,ПКФ,,SEA,PCHA,MTL,NHL,2,2,0,19,10,ND
1994,CQF,A,NYR,NHL,QUE,NHL,4,2,0,25,19,
2002,CF,М,NJD,NHL,OTT,NHL,4,3,0,17,13,
1982,DSF,A,BOS,NHL,QUE,NHL,3,1,0,11,8,
1947,SF,B,DET,NHL,NYR,NHL,4,2,0,17,12,
1986,DF,К,DET,NHL,TOR,NHL,4,3,0,20,18,
1928,QF,C,TOR,NHL,DTC,NHL,2,0,0,7,2,ТГ
1993,CQF,G,TOR,NHL,CHI,NHL,4,2,0,15,10,
1949,SF,A,DET,NHL,TOR,NHL,4,3,0,10,11,
1988,DSF,A,MTL,NHL,HAR,NHL,4,0,0,18,11,
1985,DSF,Н,CAL,NHL,WIN,NHL,3,0,0,15,8,
1922,F,,OTS,NHL,MTL,NHL,1,1,0,3,2,ТГ
1979,QF,L,NYI,NHL,BOS,NHL,4,1,0,19,14,
1927,QF,B,NYR,NHL,PIP,NHL,1,1,0,6,4,ТГ
1985,DF,I,MTL,NHL,HAR,NHL,4,3,0,16,13,
2000,CQF,E,COL,NHL,VAN,NHL,4,0,0,16,9,
1936,SF,A,DET,NHL,MTL,NHL,3,2,0,13,8,
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
1989,DF,К,CHI,NHL,STL,NHL,4,3,0,28,22,
1973,QF,A,BOS,NHL,TOR,NHL,4,0,0,17,9,
1964,SF,A,CHI,NHL,DET,NHL,4,3,0,23,19,
1938,QF,B,TOR,NHL,NYA,NHL,2,0,0,6,0,
1985,DSF,G,EDM,NHL,VAN,NHL,3,0,0,17,5,
1984,DSF,E,MNS,NHL,STL,NHL,3,0,0,9,5,
1976,Предварительно,C,LAK,NHL,ATF,NHL,2,1,0,11,7,
1924,F,,MTL,NHL,HAM,NHL,0,0,0,0,0,ДЭФ
1940,SF,D,DET,NHL,CHI,NHL,2,0,0,5,2,
1984,DSF,C,PHI,NHL,NYR,NHL,3,0,0,14,10,
1987,CF,Н,EDM,NHL,DET,NHL,4,1,0,23,16,
2010,СФК,L,SJS,NHL,DET,NHL,4,3,0,18,18,
1997,CQF,Н,STL,NHL,LAK,NHL,4,0,0,16,8,
1976,SF,I,MTL,NHL,NYI,NHL,4,2,0,19,13,
1989,CF,Н,EDM,NHL,CHI,NHL,4,2,0,25,20,
1989,DF,К,CHI,NHL,STL,NHL,4,3,0,28,22,
1971,ПКФ,G,BOS,NHL,NYR,NHL,4,2,0,18,16,
1987,DF,J,NJD,NHL,WAS,NHL,4,3,0,25,23,
1984,ПКФ,O,EDM,NHL,PHI,NHL,4,1,0,21,14,
1924,F,,VIC,WCHL,CAT,WCHL,1,0,1,3,1,ТГ
1921,СКФ,,VML,PCHA,REG,WCHL,1,1,0,5,2,ТГ
1923,РГ,,CAT,WCHL,VAM,PCHA,2,1,0,10,7,
1950,ПКФ,C,TOR,NHL,MTL,NHL,4,1,0,13,10,
1975,Предварительно,C,LAK,NHL,ATF,NHL,2,0,0,3,1,
2010,СФК,I,TBL,NHL,WAS,NHL,4,0,0,16,10,
2005,CF,М,CAR,NHL,BUF,NHL,4,3,0,22,17,
1954,ПКФ,C,DET,NHL,MTL,NHL,4,3,0,27,20,
1977,SF,J,BOS,NHL,PHI,NHL,4,1,0,21,15,
1955,SF,A,MTL,NHL,NYR,NHL,4,1,0,24,9,
2008,СФК,К,DET,NHL,AND,NHL,4,3,0,22,17,
2000,СФК,L,STL,NHL,DAL,NHL,4,0,0,13,6,
1954,SF,B,MTL,NHL,BOS,NHL,4,1,0,16,9,
1995,CQF,A,PHI,NHL,TBL,NHL,4,2,0,26,13,
1996,CQF,E,COL,NHL,CHI,NHL,4,2,0,28,14,
2006,CQF,A,BUF,NHL,NYI,NHL,4,1,0,17,11,
2005,CQF,F,COL,NHL,DAL,NHL,4,1,0,18,15,
1991,CF,М,PIT,NHL,BOS,NHL,4,0,0,19,7,
1971,QF,C,CHI,NHL,PIT,NHL,4,0,0,14,8,
1925,SF,,MTM,NHL,PIP,NHL,1,0,1,6,4,ТГ
1931,SF,A,NYR,NHL,MTL,NHL,3,1,0,13,9,
1986,DSF,B,MTL,NHL,BOS,NHL,4,0,0,19,11,
1990,DSF,D,WAS,NHL,NYR,NHL,4,2,0,16,16,
1954,SF,A,DET,NHL,TOR,NHL,4,0,0,14,6,
2008,CQF,F,DET,NHL,CBS,NHL,4,0,0,18,7,
1972,РВК,,NEW,WHA,WIJ,WHA,4,1,0,30,18,
2006,CQF,G,VAN,NHL,DAL,NHL,4,3,0,13,12,
1932,SF,D,NYR,NHL,DET,NHL,2,0,0,6,3,ТГ
2010,CF,Н,VAN,NHL,SJS,NHL,4,1,0,20,13,
1979,QF,I,PHI,NHL,NYR,NHL,4,1,0,14,7,
1970,QF,C,CHI,NHL,PHI,NHL,4,0,0,20,8,
1974,QF,,HOU,WHA,CLC,WHA,4,1,0,24,14,
2009,CF,М,PHI,NHL,MTL,NHL,4,1,0,17,7,
1987,DSF,E,DET,NHL,TOR,NHL,4,2,0,32,20,
1923,F,,CAT,WCHL,REG,WCHL,1,0,1,4,2,ТГ
1991,ПКФ,O,PIT,NHL,CHI,NHL,4,0,0,15,10,
2005,CQF,Н,SJS,NHL,NAS,NHL,4,1,0,17,10,
1996,CQF,C,PHI,NHL,PIT,NHL,4,1,0,20,13,
1987,DSF,C,NJD,NHL,NYI,NHL,4,2,0,23,18,
1940,QF,C,CHI,NHL,MTL,NHL,2,1,0,8,7,
1999,CF,Н,DAL,NHL,COL,NHL,4,3,0,14,13,
1943,SF,A,MTL,NHL,TOR,NHL,4,1,0,23,6,
1938,SF,A,BOS,NHL,NYR,NHL,4,3,0,14,12,
1970,SF,F,CHI,NHL,NYR,NHL,4,3,0,21,14,
1922,СКФ,,OTS,NHL,VAM,PCHA,3,1,0,10,7,
1996,СФК,I,NYR,NHL,NJD,NHL,4,1,0,10,5,
1985,DSF,C,NYR,NHL,PHI,NHL,3,2,0,18,15,
1986,DF,L,EDM,NHL,WIN,NHL,4,0,0,17,9,
1976,QF,G,BOS,NHL,LAK,NHL,4,2,0,30,24,
