type,code,fullname
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Division,AD,Adams Division
Round,SCF,Stanley Cup Finals
Division,PT,Patrick Division
Round,F,Finals
Playoffs,SC,Won Stanley Cup
Playoffs,DSF,Lost NHL division semi-finals
Round,CSF,Conference Semi-Finals
Round,CF,Conference Finals
Conference,WC,Western Conference
Playoffs,WF,Lost WCHL finals
Division,PC,Pacific Division
Playoffs,F,Lost Stanley Cup finals
Playoffs,CF,Lost NHL conference finals
Round,DSF,Division Semi-Finals
Playoffs,AVF,Lost AVCO Cup finals
Playoffs,WSF,Lost WCHL semi-finals
Playoffs,PF,Lost PCHA finals
Playoffs,PRE,Lost NHL preliminary round
Round,CQF,Conference Quarter-Finals
Playoffs,CQF,Lost NHL conference quarter-finals
Round,WP,Western Playoff
Playoffs,NHLF,Lost NHL finals
Division,CA,Canadian Division
Division,ED,East Division
Playoffs,AVC,Won AVCO Cup
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Round,QF,Quarter-Finals
Round,Pre,Preliminary
Round,SCSF,Stanley Cup Semi-Finals
Playoffs,SCSF,Lost Stanley Cup semi-finals
Playoffs,QF,Lost NHL quarter-finals
Division,NE,Northeast Division
Division,SE,Southeast Division
Division,NW,Northwest Division
Division,WD,West Division
Division,NO,Norris Division
Division,WW,WHA West Division
Round,DF,Division Finals
Playoffs,SF,Lost NHL semi-finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Division,SM,Smythe Division
Division,AT,Atlantic Division
Conference,WA,Wales Conference
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Playoffs,DF,Lost NHL division finals
Conference,EC,Eastern Conference
Division,EW,WHA East Division
Conference,CC,Campbell Conference
Playoffs,AVSF,Lost AVCO Cup semi-finals
Round,ACF,Avco Cup Finals
Division,AM,American Division
Playoffs,NHAF,Lost NHA finals
Division,CW,WHA Canadian Division
Playoffs,WCS,Won Challenge Series
Division,CE,Central Division
Playoffs,CSF,Lost NHL conference semi-finals
Round,SF,Semi-Finals
