playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
martiri01,,,Rick,Martin,,Richard Lionel,,71.0,179.0,L,13552,3431.0,martiri01,1971.0,1981.0,,,L,1951.0,7.0,26.0,Canada,QC,LaSalle,2011.0,3.0,13.0,USA,NY,Buffalo
kubalto01,,,Tomas,Kubalik,,,,74.0,183.0,,,,kubalto01,2010.0,2011.0,,,R,1990.0,5.0,1.0,Czech Republic,,Plzen,,,,,,
rogermi01,,,Mike,Rogers,,Michael R.,Bucky/Dash,69.0,170.0,L,14164,4631.0,rogermi01,1979.0,1985.0,1974.0,1978.0,C,1954.0,10.0,24.0,Canada,AB,Calgary,,,,,,
williha01,,,Hal,Willis,,Harold William,,74.0,215.0,L,,10335.0,williha01,,,1972.0,1973.0,D,1946.0,6.0,8.0,Canada,NS,Liverpool,,,,,,
lashoma01,,,Matt,Lashoff,,,,74.0,204.0,L,21641,76834.0,lashoma01,2006.0,2010.0,,,D,1986.0,9.0,29.0,USA,NY,Albany,,,,,,
ingpe01,,,Peter,Ing,,Peter A.,,74.0,170.0,L,18299,2460.0,ingpe01,1989.0,1993.0,,,G,1969.0,4.0,28.0,Canada,ON,Toronto,,,,,,
groulte01,,,Teddy,Groulx,,Edward,,,,,,,,,,,,G,,,,,,,,,,,,
whiteia01,,,Ian,White,,,,70.0,185.0,R,20730,55464.0,whiteia01,2005.0,2011.0,,,D,1984.0,6.0,4.0,Canada,MB,Steinbach,,,,,,
hilleja01,,,Jack,Hillen,,,,70.0,190.0,L,22634,73773.0,hilleja01,2007.0,2011.0,,,D,1986.0,1.0,24.0,USA,MN,Minnetonka,,,,,,
piskujo01,,,Joe,Piskula,,,,75.0,214.0,L,22205,69763.0,piskujo01,2006.0,2011.0,,,D,1984.0,7.0,5.0,USA,WI,Antigo,,,,,,
desjake01,,,Ken,Desjardine,,Kenneth Frederick,,72.0,180.0,L,,10544.0,desjake01,,,1972.0,1975.0,D,1947.0,8.0,23.0,Canada,ON,Toronto,,,,,,
marjama01,,,Masi,Marjamaki,,,,74.0,184.0,L,20989,69041.0,marjama01,2005.0,2005.0,,,L,1985.0,1.0,16.0,Finland,,Pori,,,,,,
ferrape01,,,Peter,Ferraro,,Peter Joseph,,70.0,180.0,R,10466,1656.0,ferrape01,1995.0,2001.0,,,R,1973.0,1.0,24.0,USA,NY,Port Jefferson,,,,,,
newelri01,,,Rick,Newell,,Richard Gordon,,71.0,180.0,L,13839,8333.0,newelri01,1972.0,1973.0,1974.0,1974.0,D,1948.0,2.0,18.0,Canada,MB,Winnipeg,,,,,,
malarcl01,,,Clint,Malarchuk,,Clint Regan,,72.0,185.0,L,18333,3340.0,malarcl01,1981.0,1991.0,,,G,1961.0,5.0,1.0,Canada,AB,Grande Prairie,,,,,,
bouilfr01,,,Francis,Bouillon,,Francis,,68.0,201.0,L,19401,23003.0,bouilfr01,1999.0,2011.0,,,D,1975.0,10.0,17.0,Canada,QC,Quebec City,,,,,,
grievbr01,,,Brent,Grieve,,Brent J.,,73.0,202.0,L,10568,2036.0,grievbr01,1993.0,1996.0,,,L,1969.0,5.0,9.0,Canada,ON,Oshawa,,,,,,
