year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1995,NHL,WIN,6,2,4,0,10,20,119,2,0,28,2,8,37,0
1972,WHA,NEW,15,12,3,0,70,49,,,14,75,0,13,64,1
1999,NHL,WAS,5,1,4,0,8,17,83,0,3,21,0,6,29,1
1930,NHL,MTM,2,0,2,0,1,8,28,,,,,,,
1992,NHL,WIN,6,2,4,0,17,21,85,0,6,23,0,4,29,1
1981,NHL,BUF,4,1,3,0,11,17,104,0,6,17,0,4,15,0
2007,NHL,PHI,17,9,8,0,52,54,232,4,15,67,2,18,75,2
1934,NHL,BOS,4,1,3,0,2,7,25,,,,,,,
1980,NHL,CHI,3,0,3,0,9,15,43,2,1,11,0,3,11,1
1957,NHL,MTL,10,8,2,0,35,20,121,,,,,,,
1989,NHL,NJD,6,2,4,0,18,21,225,2,5,31,0,4,29,1
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
1984,NHL,MNS,9,5,4,0,38,38,258,0,12,44,1,6,47,1
1972,WHA,WIJ,14,9,5,0,55,49,,,11,48,2,6,33,0
2007,NHL,DAL,18,10,8,0,45,41,218,0,18,90,4,13,76,0
1970,NHL,MTL,20,12,8,0,75,63,379,,16,,2,17,,1
1973,NHL,LAK,5,1,4,0,7,10,109,,2,,0,1,,0
2009,NHL,PIT,13,7,6,0,42,38,136,4,15,57,1,12,43,1
2009,NHL,SJS,15,8,7,0,41,41,163,0,14,71,0,9,49,1
1985,NHL,MTL,20,15,5,0,56,41,689,6,17,93,3,10,82,4
1981,NHL,MTL,5,2,3,0,16,11,201,2,4,36,1,3,26,3
2011,NHL,NAS,10,5,5,0,22,21,92,2,5,41,0,5,35,0
1983,NHL,EDM,19,15,4,0,94,56,460,4,17,76,3,20,89,3
1977,NHL,ATF,2,0,2,0,5,8,24,0,0,4,1,3,6,0
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1979,NHL,CHI,7,3,4,0,19,20,120,0,7,23,0,7,26,0
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
1987,NHL,TOR,6,2,4,0,20,32,189,0,6,41,,11,32,2
1975,NHL,PIT,3,1,2,0,3,8,25,0,1,13,0,2,9,0
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1983,NHL,VAN,4,1,3,0,13,14,85,2,3,19,1,2,16,0
2006,NHL,PIT,5,1,4,0,10,18,78,0,4,28,0,6,24,0
1962,NHL,TOR,10,8,2,0,31,16,93,,,,,,,
1974,NHL,BUF,17,10,7,0,53,58,276,6,13,75,1,15,72,2
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
1989,NHL,HAR,7,3,4,0,21,23,143,2,3,34,1,8,32,0
1977,NHL,DET,7,3,4,0,18,29,83,0,5,33,2,6,24,1
1929,NHL,CHI,2,0,1,1,2,3,50,,,,,,,
1985,NHL,WAS,9,5,4,0,36,24,209,0,9,40,1,7,36,2
1975,WHA,CLC,3,0,3,0,6,14,,,,,,,,
1979,NHL,NYR,9,4,5,0,21,22,194,0,5,39,2,4,40,1
1980,NHL,NYI,18,15,3,0,97,48,310,0,31,80,1,19,96,9
1980,NHL,PHI,12,6,6,0,48,39,415,10,11,37,0,14,61,2
1992,NHL,VAN,12,6,6,0,46,43,188,2,12,56,2,12,56,0
1997,NHL,EDM,12,5,7,0,24,25,245,4,8,72,1,7,67,0
1974,NHL,BOS,3,1,2,0,15,12,47,0,2,14,0,4,14,1
1991,NHL,MTL,11,4,7,0,29,32,208,0,9,59,2,10,57,1
1986,NHL,WAS,7,3,4,0,19,19,199,0,2,36,0,4,30,0
1923,WCHL,CAT,5,3,1,1,14,9,,,,,,,,
2002,NHL,DAL,12,6,6,0,34,25,176,8,10,58,2,5,50,1
1998,NHL,DAL,23,16,7,0,64,44,279,2,13,107,0,9,95,3
1993,NHL,CAL,7,3,4,0,20,23,173,8,5,44,1,6,41,1
2009,NHL,BOS,13,7,6,0,36,37,175,4,11,45,0,5,50,0
1989,NHL,EDM,22,16,6,0,93,60,288,0,21,99,2,14,98,4
1970,NHL,CHI,18,11,7,0,59,42,289,,17,,1,11,,1
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1941,NHL,TOR,13,8,5,0,38,31,117,,,,,,,
1933,NHL,MTM,4,1,2,1,4,7,26,,,,,,,
1920,NHL,TRS,2,0,2,0,0,7,24,,,,,,,
1944,NHL,MTL,6,2,4,0,21,15,45,,,,,,,
1917,NHL,MTL,2,1,1,0,7,10,59,,,,,,,
2011,NHL,NJD,24,14,10,0,59,58,248,0,13,85,2,22,82,1
1967,NHL,BOS,4,0,4,0,8,15,56,,1,,0,3,,0
1965,NHL,MTL,10,8,2,0,33,20,187,,,,,,,
1987,NHL,CAL,9,4,5,0,41,36,310,2,12,60,,14,65,4
1996,NHL,NYR,15,9,6,0,36,35,218,2,10,64,1,14,68,1
2007,NHL,DET,22,16,6,0,72,41,243,4,20,106,0,14,98,6
1972,NHL,MTL,17,12,5,0,73,52,179,,15,,2,12,,1
2010,NHL,PIT,7,3,4,0,14,22,82,0,1,35,1,8,27,0
1976,WHA,WIJ,20,11,9,0,80,73,,,,,,,,
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
2000,NHL,SJS,6,2,4,0,11,16,88,0,0,22,1,5,27,1
1967,NHL,MTL,13,12,1,0,48,25,150,,10,,2,6,,3
1972,NHL,MNS,6,2,4,0,12,14,112,,3,,1,4,,0
1985,NHL,VAN,3,0,3,0,5,17,55,2,2,13,1,4,11,0
2006,NHL,MIN,5,1,4,0,9,12,79,0,2,27,1,5,19,1
1981,NHL,LAK,10,4,6,0,41,42,309,0,14,44,3,6,32,0
1932,NHL,BOS,5,2,3,0,7,9,50,,,,,,,
1978,WHA,WIJ,10,8,2,0,51,38,,,,,,,,
1966,NHL,TOR,12,8,4,0,35,30,150,,,,,,,
2002,NHL,WAS,6,2,4,0,15,14,88,4,5,27,1,4,27,0
1974,NHL,PIT,9,5,4,0,27,27,126,0,5,32,1,7,36,2
1991,NHL,NJD,7,3,4,0,25,28,177,4,5,29,4,9,35,1
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
