playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
martiri01,,,Рик,Мартин,,Ричард Лайонел,,71.0,179.0,L,13552,3431.0,martiri01,1971.0,1981.0,,,L,1951.0,7.0,26.0,Канада,QC,ЛаСалле,2011.0,3.0,13.0,США,Нью-Йорк,Буффало
kubalto01,,,Томас,Кубалик,,,,74.0,183.0,,,,kubalto01,2010.0,2011.0,,,Р,1990.0,5.0,1.0,Чешская Республика,,Пльзень,,,,,,
rogermi01,,,Майк,Роджеры,,Майкл Р.,Баки/Даш,69.0,170.0,L,14164,4631.0,rogermi01,1979.0,1985.0,1974.0,1978.0,C,1954.0,10.0,24.0,Канада,AB,Калгари,,,,,,
williha01,,,Хэл,Уиллис,,Гарольд Уильям,,74.0,215.0,L,,10335.0,williha01,,,1972.0,1973.0,D,1946.0,6.0,8.0,Канада,НС,Ливерпуль,,,,,,
lashoma01,,,Мэтт,Лэшофф,,,,74.0,204.0,L,21641,76834.0,lashoma01,2006.0,2010.0,,,D,1986.0,9.0,29.0,США,Нью-Йорк,Олбани,,,,,,
ingpe01,,,Питер,Инг,,Питер А.,,74.0,170.0,L,18299,2460.0,ingpe01,1989.0,1993.0,,,G,1969.0,4.0,28.0,Канада,ВО ВСТРЕЧЕ,Торонто,,,,,,
groulte01,,,Тедди,Грулькс,,Эдвард,,,,,,,,,,,,G,,,,,,,,,,,,
whiteia01,,,Йен,Белый,,,,70.0,185.0,Р,20730,55464.0,whiteia01,2005.0,2011.0,,,D,1984.0,6.0,4.0,Канада,БМ,Штейнбах,,,,,,
hilleja01,,,Джек,Хиллен,,,,70.0,190.0,L,22634,73773.0,hilleja01,2007.0,2011.0,,,D,1986.0,1.0,24.0,США,МН,Миннетонка,,,,,,
piskujo01,,,Джо,Пискула,,,,75.0,214.0,L,22205,69763.0,piskujo01,2006.0,2011.0,,,D,1984.0,7.0,5.0,США,ЖИ,Антиго,,,,,,
