playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
niedero01,2002,1,CAL,NHL,L,54.0,8.0,10.0,18.0,42.0,-13.0,2.0,4.0,0.0,0.0,1.0,0.0,104.0,,,,,,,,,,,,
lundpe01,1950,1,NYR,NHL,Р,59.0,4.0,16.0,20.0,6.0,,,,,,,,,,,,,,,,,,,,
lemiema01,1991,1,PIT,NHL,C,64.0,44.0,87.0,131.0,94.0,27.0,12.0,35.0,4.0,6.0,5.0,1.0,249.0,15.0,16.0,18.0,34.0,2.0,6.0,8.0,10.0,2.0,0.0,5.0,69.0
tambest01,1982,1,NJD,NHL,C,73.0,25.0,18.0,43.0,14.0,-27.0,6.0,,1.0,,4.0,0.0,153.0,,,,,,,,,,,,
wolfbe01,1981,1,PIT,NHL,D,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
milbumi01,1978,1,BOS,NHL,D,74.0,1.0,34.0,35.0,149.0,23.0,0.0,,0.0,,0.0,0.0,76.0,11.0,1.0,7.0,8.0,7.0,,0.0,,0.0,,1.0,
albelto01,1997,1,CAL,NHL,D,69.0,2.0,17.0,19.0,32.0,9.0,1.0,3.0,0.0,3.0,2.0,0.0,88.0,,,,,,,,,,,,
lundypa01,1947,1,DET,NHL,C,11.0,4.0,1.0,5.0,6.0,,,,,,,,,5.0,1.0,1.0,2.0,0.0,,,,,,,
weslebl01,1985,1,TOR,NHL,D,27.0,0.0,1.0,1.0,21.0,-4.0,0.0,,0.0,,0.0,0.0,11.0,,,,,,,,,,,,
smolibr01,2003,1,OTT,NHL,C,80.0,19.0,27.0,46.0,49.0,22.0,4.0,7.0,0.0,1.0,3.0,0.0,182.0,7.0,1.0,1.0,2.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,10.0
zanongr01,2005,1,NAS,NHL,D,4.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,,,,,,,,,,,,
butsavi01,1998,1,FLO,NHL,C,1.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
bashkan01,1998,1,MTL,NHL,L,10.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,
jacksje01,1986,2,NYR,NHL,L,9.0,5.0,1.0,6.0,15.0,-3.0,2.0,,0.0,,1.0,0.0,16.0,6.0,1.0,1.0,2.0,16.0,-2.0,0.0,,0.0,,0.0,10.0
lawlepa01,1988,1,TOR,NHL,L,7.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,
murphco01,2008,2,TBL,NHL,D,25.0,5.0,10.0,15.0,12.0,-3.0,4.0,6.0,0.0,0.0,0.0,,47.0,,,,,,,,,,,,
halljo01,1913,1,QU1,NHA,,19.0,13.0,4.0,17.0,61.0,,,,,,,,,,,,,,,,,,,,
konrost01,1984,1,CAL,NHL,D,64.0,3.0,23.0,26.0,73.0,12.0,0.0,,0.0,,0.0,0.0,121.0,4.0,1.0,4.0,5.0,2.0,1.0,0.0,,1.0,,0.0,15.0
lynchja01,1975,1,WAS,NHL,D,79.0,9.0,13.0,22.0,78.0,-52.0,5.0,,0.0,,1.0,1.0,126.0,,,,,,,,,,,,
bromlga01,1974,1,BUF,NHL,G,50.0,0.0,4.0,4.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
burgedo01,1972,1,PHB,WHA,L,74.0,20.0,22.0,42.0,15.0,,1.0,,3.0,,,,,4.0,1.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,
brownda01,1982,1,PHI,NHL,Р,2.0,0.0,0.0,0.0,5.0,-1.0,0.0,,0.0,,0.0,0.0,2.0,,,,,,,,,,,,
wilsobe02,1987,1,CHI,NHL,D,58.0,6.0,23.0,29.0,166.0,-19.0,3.0,14.0,0.0,0.0,0.0,0.0,103.0,3.0,0.0,0.0,0.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,8.0
oystrna01,2009,1,AND,NHL,D,3.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,
mcallch01,2003,2,NYR,NHL,L,12.0,0.0,1.0,1.0,12.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,
strudja01,2001,1,VAN,NHL,D,44.0,2.0,4.0,6.0,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,
stumpjo01,1997,1,LAK,NHL,C,77.0,21.0,58.0,79.0,53.0,17.0,4.0,17.0,0.0,2.0,2.0,1.0,162.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
stothmi01,1986,1,PHI,NHL,D,2.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,,0.0,0.0
couturi01,1974,1,CHC,WHA,G,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,
lidstdo01,1990,1,VAN,NHL,D,78.0,6.0,32.0,38.0,77.0,-6.0,4.0,16.0,0.0,1.0,1.0,0.0,157.0,6.0,0.0,2.0,2.0,6.0,-3.0,0.0,1.0,0.0,0.0,0.0,9.0
kurveto01,1989,1,NJD,NHL,D,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
potvije01,1980,1,NYI,NHL,D,18.0,2.0,3.0,5.0,25.0,-4.0,2.0,,0.0,,1.0,0.0,16.0,,,,,,,,,,,,
thomawa01,1978,1,NYR,NHL,G,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
smithfl01,1962,1,DET,NHL,Р,51.0,9.0,17.0,26.0,10.0,,,,,,,,,11.0,2.0,3.0,5.0,4.0,,,,,,0.0,
brownbr01,1998,2,CHI,NHL,D,61.0,1.0,7.0,8.0,184.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,,,,,,,,,,,,
murphro01,1959,1,CHI,NHL,L,63.0,15.0,21.0,36.0,18.0,,,,,,,,,4.0,1.0,0.0,1.0,0.0,,,,,,,
alfreda01,1995,1,OTT,NHL,Р,82.0,26.0,35.0,61.0,28.0,-18.0,8.0,18.0,2.0,0.0,3.0,1.0,212.0,,,,,,,,,,,,
auguspa01,1993,1,TOR,NHL,Р,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,
murzyda01,1994,1,VAN,NHL,D,40.0,0.0,8.0,8.0,129.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.0,0.0,1.0,1.0,22.0,-1.0,0.0,0.0,0.0,1.0,0.0,9.0
thornjo01,2011,1,SJS,NHL,C,82.0,18.0,59.0,77.0,31.0,17.0,4.0,19.0,0.0,1.0,2.0,,156.0,5.0,2.0,3.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0
