coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
evansja01c,1975,CLF,NHL,1,,80.0,27.0,42.0,11.0,,,,
dineebi01c,1977,HOU,WHA,1,,80.0,42.0,34.0,4.0,6.0,2.0,4.0,0.0
dayha01c,1944,TOR,NHL,1,,50.0,24.0,22.0,4.0,13.0,8.0,5.0,0.0
ingraro01c,1977,IND,WHA,1,,51.0,16.0,31.0,4.0,,,,
roberji01c,1991,HAR,NHL,1,,80.0,26.0,41.0,13.0,7.0,3.0,4.0,0.0
pagepi01c,1995,CAL,NHL,1,,82.0,34.0,37.0,11.0,4.0,0.0,4.0,0.0
stanlba01c,1927,CHI,NHL,1,,23.0,4.0,17.0,2.0,,,,
gendrje01c,1974,QUN,WHA,1,,78.0,46.0,32.0,0.0,15.0,8.0,7.0,0.0
crozijo01c,1974,VAB,WHA,1,,78.0,37.0,39.0,2.0,,,,
demerja01c,1998,TBL,NHL,1,,82.0,19.0,54.0,9.0,,,,
duttore01c,1937,NYA,NHL,1,,48.0,19.0,18.0,11.0,6.0,3.0,3.0,0.0
plageba01c,1979,STL,NHL,1,,24.0,7.0,14.0,3.0,,,,
gillda01c,1928,OTS,NHL,1,,44.0,14.0,17.0,13.0,,,,
keenami01c,2001,FLO,NHL,2,,56.0,16.0,32.0,8.0,,,,
blaketo01c,1958,MTL,NHL,1,,70.0,39.0,18.0,13.0,11.0,8.0,3.0,0.0
muldope01c,1925,POR,WCHL,1,,30.0,12.0,16.0,2.0,,,,
neilsro01c,1982,VAN,NHL,1,,80.0,30.0,35.0,15.0,4.0,1.0,3.0,0.0
berrybo01c,1985,PIT,NHL,1,,80.0,34.0,38.0,8.0,,,,
carpedo01c,1987,NJD,NHL,1,,50.0,21.0,24.0,5.0,,,,
pilouru01c,1958,CHI,NHL,1,,70.0,28.0,29.0,13.0,6.0,2.0,4.0,0.0
sathegl01c,1984,EDM,NHL,1,,80.0,49.0,20.0,11.0,18.0,15.0,3.0,0.0
perroje01c,1987,MTL,NHL,1,,80.0,45.0,22.0,13.0,11.0,5.0,6.0,0.0
quennjo01c,2001,STL,NHL,1,,82.0,43.0,31.0,8.0,10.0,5.0,5.0,0.0
sherofr01c,1978,NYR,NHL,1,,80.0,40.0,29.0,11.0,18.0,11.0,7.0,0.0
hanlogl01c,2003,WAS,NHL,2,,54.0,15.0,30.0,9.0,,,,
suttebr01c,1998,CAL,NHL,1,,82.0,30.0,40.0,12.0,,,,
burnspa01c,1994,TOR,NHL,1,,48.0,21.0,19.0,8.0,7.0,3.0,4.0,0.0
stewabi02c,1937,CHI,NHL,1,,48.0,14.0,25.0,9.0,10.0,7.0,3.0,0.0
pulfobo01c,1984,CHI,NHL,2,,27.0,16.0,7.0,4.0,15.0,9.0,6.0,0.0
crozijo01c,1971,BUF,NHL,3,,36.0,8.0,19.0,9.0,,,,
crawfma01c,1999,VAN,NHL,1,,82.0,30.0,37.0,15.0,,,,
kingda01c,1993,CAL,NHL,1,,84.0,42.0,29.0,13.0,7.0,3.0,4.0,0.0
gainebo01c,1993,DAL,NHL,1,,84.0,42.0,29.0,13.0,9.0,5.0,4.0,0.0
keenami01c,2008,CAL,NHL,1,,82.0,46.0,30.0,6.0,6.0,2.0,4.0,0.0
patrile01c,1929,NYR,NHL,1,,44.0,17.0,17.0,10.0,4.0,1.0,2.0,1.0
neilsro01c,1999,PHI,NHL,1,,82.0,45.0,25.0,12.0,18.0,11.0,7.0,0.0
wilsoro02c,1994,ANA,NHL,1,,48.0,16.0,27.0,5.0,,,,
dandule01c,1925,MTL,NHL,1,,36.0,11.0,24.0,1.0,,,,
ftorero01c,1987,LAK,NHL,3,,52.0,23.0,25.0,4.0,5.0,1.0,4.0,0.0
champwe01c,1923,REG,WCHL,1,,30.0,17.0,11.0,2.0,2.0,0.0,1.0,1.0
muckljo01c,1990,EDM,NHL,1,,80.0,37.0,37.0,6.0,18.0,9.0,9.0,0.0
irvindi01c,1932,TOR,NHL,1,,48.0,24.0,18.0,6.0,9.0,4.0,5.0,0.0
sherofr01c,1976,PHI,NHL,1,,80.0,48.0,16.0,16.0,10.0,4.0,6.0,0.0
schmimi01c,1954,BOS,NHL,2,,40.0,13.0,12.0,15.0,5.0,1.0,4.0,0.0
quinnpa01c,1984,LAK,NHL,1,,80.0,34.0,32.0,14.0,3.0,0.0,3.0,0.0
nealeha01c,1974,MFS,WHA,1,,77.0,42.0,32.0,3.0,12.0,6.0,6.0,0.0
blackdo01c,1979,HAR,NHL,1,,80.0,27.0,34.0,19.0,3.0,0.0,3.0,0.0
trottbr01c,2002,NYR,NHL,1,,54.0,21.0,27.0,6.0,,,,
brookhe01c,1984,NYR,NHL,1,,45.0,15.0,22.0,8.0,,,,
neilsro01c,1978,TOR,NHL,1,,80.0,34.0,33.0,13.0,6.0,2.0,4.0,0.0
cheevge01c,1981,BOS,NHL,1,,80.0,43.0,27.0,10.0,11.0,6.0,5.0,0.0
johnsma01c,1974,CLF,NHL,1,,48.0,11.0,28.0,9.0,,,,
holmgpa01c,1990,PHI,NHL,1,,80.0,33.0,37.0,10.0,,,,
quinnmi01c,1915,QU1,NHA,1,,24.0,10.0,12.0,2.0,,,,
schmimi01c,1960,BOS,NHL,1,,70.0,15.0,42.0,13.0,,,,
satorte01c,1986,BUF,NHL,3,,47.0,21.0,22.0,4.0,,,,
ivanto01c,1951,DET,NHL,1,,70.0,44.0,14.0,12.0,8.0,8.0,0.0,0.0
arboual01c,1981,NYI,NHL,1,,80.0,54.0,16.0,10.0,19.0,15.0,4.0,0.0
oreilte01c,1987,BOS,NHL,1,,80.0,44.0,30.0,6.0,23.0,12.0,10.0,1.0
macledo02c,1997,FLO,NHL,1,,23.0,7.0,12.0,4.0,,,,
johnsbo02c,1984,CAL,NHL,1,,80.0,41.0,27.0,12.0,4.0,1.0,3.0,0.0
irvindi01c,1931,TOR,NHL,2,,43.0,23.0,15.0,5.0,7.0,5.0,1.0,1.0
boudrbr01c,2008,WAS,NHL,1,,82.0,50.0,24.0,8.0,14.0,7.0,7.0,0.0
adamsja01c,1929,DTC,NHL,1,,44.0,14.0,24.0,6.0,,,,
saccojo01c,2011,COL,NHL,1,,82.0,41.0,35.0,6.0,,,,
murrate01c,2008,LAK,NHL,1,,82.0,34.0,37.0,11.0,,,,
bowneri01c,1994,OTT,NHL,1,,48.0,9.0,34.0,5.0,,,,
hartscr01c,1998,ANA,NHL,1,,82.0,35.0,34.0,13.0,4.0,0.0,4.0,0.0
smithfl01c,1974,BUF,NHL,1,,80.0,49.0,16.0,15.0,17.0,10.0,7.0,0.0
needhbi01c,1972,CLC,WHA,1,,78.0,43.0,32.0,3.0,9.0,5.0,4.0,0.0
demerja01c,1992,MTL,NHL,1,,84.0,48.0,30.0,6.0,20.0,16.0,4.0,0.0
patrifr01c,1914,VML,PCHA,1,,17.0,13.0,4.0,0.0,3.0,3.0,0.0,0.0
patrile01c,1935,NYR,NHL,1,,48.0,19.0,17.0,12.0,,,,
murphmi01c,1996,TOR,NHL,1,,82.0,30.0,44.0,8.0,,,,
robinla01c,2001,NJD,NHL,1,,51.0,21.0,23.0,7.0,,,,
babcomi01c,2006,DET,NHL,1,,82.0,50.0,19.0,13.0,18.0,10.0,8.0,0.0
