playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
ronansk01,1915,MOC,NHA,Р,4,1,0,1,6
camerha01,1917,TOA,NHL,D,5,3,1,4,0
barboal01,1915,PO1,PCHA,C,5,0,0,0,0
pitredi01,1918,MTL,NHL,Р,5,0,3,3,0
noblere01,1925,MTM,NHL,D,4,0,0,0,4
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
morrijo01,1922,EDE,WCHL,Р,2,1,0,1,0
smailwa01,1913,VA1,PCHA,L,3,1,0,1,2
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
broadpu01,1925,MTM,NHL,Р,4,1,0,1,20
davidal01,1913,TBS,NHA,Р,2,1,0,1,7
cookll01,1914,VML,PCHA,D,3,3,0,3,9
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
camerha01,1921,TRS,NHL,D,4,0,2,2,11
pitredi01,1916,MOC,NHA,Р,4,5,0,5,6
cleghod01,1924,MTL,NHL,Р/С,4,0,0,0,0
darraja01,1919,OTS,NHL,Р/Л,5,5,2,7,3
carsofr01,1925,MTM,NHL,Р,4,0,0,0,0
smithto01,1912,QU1,NHA,L,3,4,0,4,0
bouchfr01,1922,VAM,PCHA,C,4,2,0,2,0
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
lalonne01,1918,MTL,NHL,C,5,6,0,6,3
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
nighbfr01,1920,OTS,NHL,C,5,0,1,1,0
cookll01,1921,VML,PCHA,D,5,1,0,1,6
oatmaru01,1925,VIC,WCHL,Р,4,0,0,0,10
morenho01,1924,MTL,NHL,C,4,4,1,5,4
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
hartgi01,1925,VIC,WCHL,Р,4,0,0,0,2
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
arbouam01,1915,MOC,NHA,L,4,3,0,3,8
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
bouchbi01,1923,MTL,NHL,Р,4,5,1,6,6
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
harrism01,1922,VAM,PCHA,L,4,1,0,1,8
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
corbeco01,1913,TBS,NHA,D,2,0,0,0,0
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
benedcl01,1922,OTS,NHL,G,6,0,0,0,2
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
dennecy01,1919,OTS,NHL,L,5,0,2,2,3
tobinch01,1915,PO1,PCHA,Р,5,2,1,3,12
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
halljo01,1912,QU1,NHA,D,3,0,0,0,7
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
morenho01,1923,MTL,NHL,C,4,4,2,6,4
