year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1995,Критическая нейротическая система,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",COL,NHL,CHI,NHL,4,2,0,21,14,
2003,КЭФ,Да,TOR,NHL,OTT,NHL,4,3,0,14,11,
2010,КЭФ,Да,TBL,NHL,PIT,NHL,4,3,0,22,14,
2010,КЭФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",DET,NHL,PHO,NHL,4,0,0,18,10,
1979,SF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",NYI,NHL,BUF,NHL,4,2,0,22,17,
2011,КЭФ,Х,NAS,NHL,DET,NHL,4,1,0,13,9,
1990,SFD,Б,MTL,NHL,BUF,NHL,4,2,0,29,24,
1992,Удачи!,я,MTL,NHL,BUF,NHL,4,0,0,16,12,
1924,"Даже если вы не знаете, что это такое, я могу объяснить.",,MTL,NHL,HAM,NHL,0,0,0,0,0,ДЕФ
1977,Пред,Да,DET,NHL,ATF,NHL,2,0,0,8,5,
1992,SFD,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",STL,NHL,CHI,NHL,4,0,0,13,6,
1991,CF,М,PIT,NHL,BOS,NHL,4,0,0,19,7,
1936,КФ,Б,MTM,NHL,BOS,NHL,2,1,0,8,6,
1938,SCФ,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",BOS,NHL,TOR,NHL,4,1,0,12,6,
1955,SF,A,MTL,NHL,NYR,NHL,4,1,0,24,9,
1988,Удачи!,"Я - ваш цифровой помощник. Я здесь, чтобы помогать вам с переводом и другими задачами. Что я могу сделать для вас сегодня?",PHI,NHL,PIT,NHL,4,3,0,31,24,
2010,CF,М,BOS,NHL,TBL,NHL,4,3,0,21,21,
1975,Пред,,PHR,WHA,SDM,WHA,2,3,0,13,17,
2002,Критическая нейротическая система,я,OTT,NHL,PHI,NHL,4,2,0,17,10,
1992,Удачи!,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",LAK,NHL,VAN,NHL,4,2,0,26,25,
1939,SCФ,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",NYR,NHL,TOR,NHL,4,2,0,14,11,
1999,КЭФ,A,PHI,NHL,BUF,NHL,4,1,0,14,8,
1973,SFD,,MFS,WHA,EDO,WHA,4,1,0,22,14,
2010,Критическая нейротическая система,я,TBL,NHL,WAS,NHL,4,0,0,16,10,
1998,SCФ,О,DAL,NHL,BUF,NHL,4,2,0,13,9,
2005,КЭФ,"Даже если вы не знаете, что это такое, я могу объяснить.",COL,NHL,DAL,NHL,4,1,0,18,15,
2001,КЭФ,A,MTL,NHL,BOS,NHL,4,2,0,20,18,
1999,КЭФ,Б,PIT,NHL,WAS,NHL,4,1,0,17,8,
1971,КФ,Б,NYR,NHL,MTL,NHL,4,2,0,19,14,
2011,КЭФ,Б,WAS,NHL,BOS,NHL,4,3,0,16,15,
1971,КФ,Да,STL,NHL,MNS,NHL,4,3,0,19,19,
2009,КЭФ,Б,PHI,NHL,NJD,NHL,4,1,0,15,9,
1972,КФ,A,MTL,NHL,BUF,NHL,4,2,0,21,16,
1974,АСС,,HOU,WHA,QUN,WHA,4,0,0,20,7,
1970,КФ,С,CHI,NHL,PHI,NHL,4,0,0,20,8,
1983,SFD,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",EDM,NHL,WIN,NHL,3,0,0,18,7,
1973,SCФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",PHI,NHL,BOS,NHL,4,2,0,15,13,
1990,SFD,A,BOS,NHL,HAR,NHL,4,2,0,24,17,
1974,SF,,HOU,WHA,SDM,WHA,4,0,0,17,5,
1996,Критическая нейротическая система,я,NYR,NHL,NJD,NHL,4,1,0,10,5,
1975,Пред,A,BUF,NHL,STL,NHL,2,1,0,7,8,
1978,SF,я,NYR,NHL,NYI,NHL,4,2,0,18,13,
1987,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",EDM,NHL,DET,NHL,4,1,0,23,16,
1999,КЭФ,Х,DET,NHL,LAK,NHL,4,0,0,15,6,
2007,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",DET,NHL,DAL,NHL,4,2,0,17,10,
1984,SCФ,О,EDM,NHL,PHI,NHL,4,1,0,21,14,
1985,SFD,Да,WAS,NHL,NYI,NHL,3,0,0,11,4,
1951,SF,A,DET,NHL,TOR,NHL,4,0,0,13,3,
1989,Удачи!,"Я - ваш цифровой помощник. Я здесь, чтобы помогать вам с переводом и другими задачами. Что я могу сделать для вас сегодня?",WAS,NHL,NYR,NHL,4,1,0,22,15,
1990,Удачи!,К,MNS,NHL,STL,NHL,4,2,0,22,17,
2006,Критическая нейротическая система,я,BUF,NHL,NYR,NHL,4,2,0,17,13,
1981,CF,М,NYI,NHL,QUE,NHL,4,0,0,18,9,
1921,ССФС,,VML,PCHA,REG,WCHL,1,1,0,5,2,ТГ
1941,КФ,Б,BOS,NHL,CHI,NHL,2,1,0,5,7,
1999,CF,М,NJD,NHL,PHI,NHL,4,3,0,18,15,
1970,SCФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",MTL,NHL,CHI,NHL,4,3,0,20,18,
2008,КЭФ,Да,PIT,NHL,PHI,NHL,4,2,0,18,16,
2011,КЭФ,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",LAK,NHL,VAN,NHL,4,1,0,12,8,
1983,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",EDM,NHL,MNS,NHL,4,0,0,22,10,
1968,SF,"Даже если вы не знаете, что это такое, я могу объяснить.",STL,NHL,LAK,NHL,4,0,0,16,5,
1985,SFD,A,HAR,NHL,QUE,NHL,3,0,0,16,7,
1929,КФ,Б,MTL,NHL,CHI,NHL,1,0,1,3,2,ТГ
1977,КФ,,QUN,WHA,HOU,WHA,4,2,0,29,16,
1933,SF,Да,CHI,NHL,MTM,NHL,2,0,0,6,2,ТГ
1999,КЭФ,"Даже если вы не знаете, что это такое, я могу объяснить.",DAL,NHL,EDM,NHL,4,1,0,14,11,
1973,SF,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",BOS,NHL,CHI,NHL,4,2,0,28,20,
1983,SCФ,О,EDM,NHL,NYI,NHL,4,1,0,21,12,
1955,SF,Б,DET,NHL,TOR,NHL,4,1,0,14,10,
1973,SFD,,HOU,WHA,WIJ,WHA,4,0,0,23,9,
2002,КЭФ,Б,NJD,NHL,BOS,NHL,4,1,0,13,8,
2006,КЭФ,Х,SJS,NHL,NAS,NHL,4,1,0,16,14,
1969,КФ,A,CHI,NHL,DET,NHL,4,0,0,16,8,
2001,Критическая нейротическая система,я,CAR,NHL,MTL,NHL,4,2,0,21,12,
1992,Удачи!,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",LAK,NHL,VAN,NHL,4,2,0,26,25,
1944,SF,Б,DET,NHL,BOS,NHL,4,3,0,22,22,
1971,КФ,A,BOS,NHL,TOR,NHL,4,1,0,18,10,
1972,Пред,,MFS,WHA,ALB,WHA,1,0,0,4,2,
1991,SFD,Да,PIT,NHL,WAS,NHL,4,3,0,25,27,
2007,КЭФ,Х,DAL,NHL,AND,NHL,4,2,0,20,13,
1974,КФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",MTL,NHL,VAN,NHL,4,1,0,20,9,
2008,Критическая нейротическая система,К,DET,NHL,AND,NHL,4,3,0,22,17,
2000,КЭФ,С,PIT,NHL,WAS,NHL,4,2,0,14,10,
1958,SF,Б,TOR,NHL,BOS,NHL,4,3,0,20,21,
1926,SF,С,OTS,NHL,MTL,NHL,1,0,1,5,1,ТГ
1983,Удачи!,я,MTL,NHL,QUE,NHL,4,2,0,20,13,
2008,КЭФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",VAN,NHL,STL,NHL,4,0,0,11,5,
1966,SCФ,С,TOR,NHL,MTL,NHL,4,2,0,17,16,
2005,Критическая нейротическая система,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",ANA,NHL,COL,NHL,4,0,0,16,4,
2011,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",LAK,NHL,PHO,NHL,4,1,0,14,8,
1923,WP — в словаре,,CAT,WCHL,VAM,PCHA,2,1,0,10,7,
2010,КЭФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",DET,NHL,PHO,NHL,4,0,0,18,10,
1992,Удачи!,"Я - ваш цифровой помощник. Я здесь, чтобы помогать вам с переводом и другими задачами. Что я могу сделать для вас сегодня?",NYI,NHL,PIT,NHL,4,3,0,24,27,
1987,SFD,Б,BOS,NHL,BUF,NHL,4,2,0,28,22,
2001,КЭФ,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",DET,NHL,VAN,NHL,4,2,0,22,16,
2001,КЭФ,A,MTL,NHL,BOS,NHL,4,2,0,20,18,
2001,КЭФ,Б,OTT,NHL,PHI,NHL,4,1,0,11,2,
2002,КЭФ,A,OTT,NHL,NYI,NHL,4,1,0,13,7,
2007,КЭФ,Да,NYR,NHL,NJD,NHL,4,1,0,19,12,
1978,КФ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",BOS,NHL,PIT,NHL,4,0,0,16,7,
1930,SF,A,MTL,NHL,BOS,NHL,3,2,0,13,13,
1994,КЭФ,Х,CHI,NHL,TOR,NHL,4,3,0,22,20,
2005,КЭФ,Б,CAR,NHL,MTL,NHL,4,2,0,15,17,
1984,SFD,Х,WIN,NHL,CAL,NHL,3,1,0,15,13,
1986,Удачи!,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",EDM,NHL,WIN,NHL,4,0,0,17,9,
1943,SF,A,MTL,NHL,TOR,NHL,4,1,0,23,6,
1998,КЭФ,С,BOS,NHL,CAR,NHL,4,2,0,16,10,
1990,Удачи!,"Я - ваш цифровой помощник. Я здесь, чтобы помогать вам с переводом и другими задачами. Что я могу сделать для вас сегодня?",PIT,NHL,WAS,NHL,4,1,0,19,13,
1973,АСС,,HOU,WHA,CHC,WHA,4,0,0,22,9,
1975,КФ,Х,NYI,NHL,BUF,NHL,4,2,0,21,18,
1984,SFD,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",MNS,NHL,STL,NHL,3,0,0,9,5,
2002,SCФ,О,NJD,NHL,ANA,NHL,4,3,0,19,12,
1917,"Даже если вы не знаете, что это такое, я могу объяснить.",,VML,PCHA,SEA,PCHA,1,0,1,3,2,ТГ
1999,КЭФ,Х,DET,NHL,LAK,NHL,4,0,0,15,6,
1979,КФ,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",NYI,NHL,BOS,NHL,4,1,0,19,14,
1967,SF,"Даже если вы не знаете, что это такое, я могу объяснить.",STL,NHL,MNS,NHL,4,3,0,18,22,
2000,КЭФ,"Даже если вы не знаете, что это такое, я могу объяснить.",LAK,NHL,DET,NHL,4,2,0,15,17,
1994,CF,М,NJD,NHL,PHI,NHL,4,2,0,20,14,
1973,КФ,Б,NYR,NHL,MTL,NHL,4,2,0,21,17,
1932,SF,A,TOR,NHL,BOS,NHL,3,2,0,9,7,
1983,SFD,Да,WAS,NHL,PHI,NHL,3,0,0,15,5,
2007,КЭФ,Да,NYR,NHL,NJD,NHL,4,1,0,19,12,
1999,Критическая нейротическая система,К,DAL,NHL,SJS,NHL,4,1,0,15,7,
2009,КЭФ,Х,DET,NHL,PHO,NHL,4,3,0,26,18,
2010,CF,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",VAN,NHL,SJS,NHL,4,1,0,20,13,
1996,КЭФ,С,PHI,NHL,PIT,NHL,4,1,0,20,13,
2008,КЭФ,Да,PIT,NHL,PHI,NHL,4,2,0,18,16,
2010,КЭФ,Да,TBL,NHL,PIT,NHL,4,3,0,22,14,
1991,SFD,Да,PIT,NHL,WAS,NHL,4,3,0,25,27,
1969,КФ,С,STL,NHL,MNS,NHL,4,2,0,20,16,
2009,КЭФ,С,BOS,NHL,BUF,NHL,4,2,0,16,15,
1933,КФ,Б,CHI,NHL,MTL,NHL,1,0,1,4,3,ТГ
1933,SF,Да,CHI,NHL,MTM,NHL,2,0,0,6,2,ТГ
1979,КФ,К,MNS,NHL,MTL,NHL,4,3,0,18,21,
1998,Критическая нейротическая система,"Я - ваш цифровой помощник. Я здесь, чтобы помогать вам с переводом и другими задачами. Что я могу сделать для вас сегодня?",BUF,NHL,BOS,NHL,4,2,0,17,14,
1972,SFD,,CLC,WHA,PHB,WHA,4,0,0,19,6,
1999,КЭФ,Да,NJD,NHL,FLO,NHL,4,0,0,12,6,
1981,SFD,A,QUE,NHL,MTL,NHL,3,2,0,11,16,
1975,КФ,,NEW,WHA,IND,WHA,4,3,0,18,15,
1976,Пред,Б,BUF,NHL,MNS,NHL,2,0,0,11,3,
1922,"Даже если вы не знаете, что это такое, я могу объяснить.",,EDE,WCHL,REG,WCHL,1,0,1,4,3,ТГ
1931,КФ,С,MTM,NHL,DTF,NHL,1,0,1,3,1,ТГ
1974,Пред,Б,CHI,NHL,BOS,NHL,2,1,0,12,15,
1985,SFD,A,HAR,NHL,QUE,NHL,3,0,0,16,7,
1998,КЭФ,Да,TOR,NHL,PHI,NHL,4,2,0,9,11,
1941,SCФ,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и отвечать на вопросы. Я всегда готов помочь и предоставить переводы. Как я могу помочь вам сегодня?",TOR,NHL,DET,NHL,4,3,0,25,19,
1912,SCФ,,VA1,PCHA,QU1,NHA,2,1,0,16,12,EX
1988,SFD,С,PHI,NHL,WAS,NHL,4,2,0,25,19,
