year,lgid,tmid,oppid,w,l,t,otl
1997,NHL,DET,CHI,2,1,2.0,
1983,NHL,TOR,STL,2,6,0.0,
1997,NHL,WAS,MTL,2,1,1.0,
2009,NHL,AND,VAN,2,1,,1
1989,NHL,NJD,CAL,0,3,0.0,
2003,NHL,TBL,FLO,3,2,1.0,0
2008,NHL,MTL,ATL,2,2,,0
1993,NHL,WIN,FLO,1,2,0.0,
1990,NHL,QUE,EDM,0,3,0.0,
2010,NHL,LAK,NYR,0,0,,1
1977,NHL,VAN,NYR,1,4,0.0,
1930,NHL,MTM,CHI,4,0,0.0,
2003,NHL,NJD,DET,0,1,0.0,0
2005,NHL,MIN,PIT,1,0,,0
1989,NHL,DET,TOR,4,3,1.0,
2001,NHL,MTL,TOR,0,2,3.0,0
2001,NHL,FLO,CBS,1,0,0.0,0
1989,NHL,MTL,BOS,3,4,1.0,
2007,NHL,CAR,PIT,2,1,,1
1973,NHL,PIT,BUF,3,2,0.0,
1984,NHL,NYI,CHI,3,0,0.0,
1983,NHL,CAL,STL,2,0,1.0,
1978,WHA,WIJ,EDO,7,7,0.0,
1988,NHL,WAS,DET,1,1,1.0,
1975,NHL,MTL,TOR,3,1,1.0,
1985,NHL,CAL,VAN,4,2,2.0,
2010,NHL,PIT,CHI,0,0,,1
2010,NHL,STL,MIN,1,1,,2
2005,NHL,LAK,CAL,2,2,,0
1959,NHL,CHI,TOR,4,8,2.0,
2010,NHL,WAS,LAK,0,1,,0
1984,NHL,BOS,CHI,0,3,0.0,
1992,NHL,CAL,BOS,0,2,0.0,
1986,NHL,BOS,DET,0,2,1.0,
1973,NHL,PHI,CHI,2,2,1.0,
2001,NHL,PIT,EDM,1,0,0.0,0
2010,NHL,CHI,COL,1,2,,1
1996,NHL,VAN,PHO,2,2,0.0,
2009,NHL,OTT,MIN,1,0,,0
2006,NHL,COL,NAS,2,2,,0
1987,NHL,MTL,CAL,0,2,1.0,
1997,NHL,STL,DET,3,2,1.0,
1992,NHL,NJD,OTT,2,1,1.0,
2008,NHL,WAS,AND,1,0,,0
1973,NHL,BUF,NYR,2,2,1.0,
1934,NHL,DET,BOS,0,5,1.0,
1997,NHL,TBL,FLO,1,2,2.0,
1979,NHL,EDM,NYI,2,1,1.0,
2003,NHL,BUF,DAL,1,0,0.0,0
1981,NHL,STL,TOR,5,2,0.0,
1967,NHL,NYR,PHI,3,1,0.0,
1993,NHL,BOS,PHI,2,2,1.0,
1979,NHL,TOR,LAK,0,3,1.0,
1989,NHL,PHI,PIT,4,3,0.0,
1980,NHL,CAL,WAS,3,1,0.0,
1978,NHL,LAK,MTL,3,3,2.0,
1995,NHL,COL,EDM,3,1,1.0,
2007,NHL,CAR,BUF,2,2,,0
2003,NHL,DET,LAK,4,0,0.0,0
2009,NHL,CHI,FLO,1,0,,1
1993,NHL,VAN,WIN,4,0,0.0,
2007,NHL,LAK,VAN,3,0,,1
2006,NHL,PIT,STL,0,1,,0
1994,NHL,QUE,OTT,3,0,1.0,
2003,NHL,PHO,VAN,0,3,1.0,0
1968,NHL,TOR,CHI,4,3,1.0,
1935,NHL,DET,MTM,2,3,1.0,
2008,NHL,VAN,WAS,0,1,,0
1987,NHL,BOS,CHI,3,0,0.0,
1994,NHL,BOS,PIT,1,3,0.0,
2003,NHL,CAL,CAR,1,0,0.0,0
