playerid,year,stint,tmid,w,l,sa,ga
hardijo01,2011,1,MIN,5,3,23,5
neuvimi01,2011,1,WAS,3,2,17,7
thibajo01,2006,1,PIT,1,1,5,3
gigueje01,2011,1,COL,1,2,7,5
gigueje01,2006,1,AND,4,6,39,13
norrefr01,2007,1,CBS,0,4,10,4
cassifr01,2006,1,WAS,0,1,3,2
danisya01,2008,1,NYI,0,2,5,3
gigueje01,2008,1,AND,2,2,12,4
bouchbr01,2008,1,SJS,1,1,6,2
niittan01,2006,1,PHI,1,4,23,6
dunhami01,2006,1,NYI,1,1,8,3
denisma01,2007,1,TBL,1,0,3,0
weekeke01,2005,1,NYR,3,1,13,6
sabouda01,2007,1,PIT,4,1,26,6
emeryra01,2005,1,OTT,0,2,5,2
munroad01,2005,1,CHI,0,1,4,2
raycran01,2008,1,COL,2,0,8,1
gustajo01,2009,1,TOR,2,1,7,3
budajpe01,2007,1,COL,1,2,9,4
bouchbr01,2010,1,PHI,2,3,20,8
kolziol01,2006,1,WAS,1,5,17,9
smithmi02,2008,1,TBL,2,7,27,15
lalimpa01,2005,1,STL,0,2,5,3
dubnyde01,2009,1,EDM,2,1,11,3
wardca01,2007,1,CAR,1,3,11,6
gustajo01,2011,1,TOR,1,3,11,4
thomati01,2011,1,BOS,7,1,26,6
rolosdw01,2010,2,TBL,3,3,24,6
millery01,2007,1,BUF,4,7,33,14
budajpe01,2008,1,COL,7,4,35,13
thomati01,2009,1,BOS,5,5,33,9
bachmri01,2011,1,DAL,0,1,3,1
lehtoka01,2008,1,ATL,4,1,22,5
priceca01,2007,1,MTL,3,2,22,4
gigueje01,2005,1,ANA,3,7,31,12
macdojo01,2006,1,DET,0,1,7,3
macdojo01,2010,1,DET,1,2,9,2
luongro01,2011,1,VAN,6,6,42,17
priceca01,2008,1,MTL,5,6,35,13
garonma01,2008,1,EDM,1,0,3,1
khabini01,2011,1,EDM,0,5,20,12
cloutda01,2005,1,VAN,0,1,2,2
bironma01,2011,1,NYR,0,2,7,3
crawfco01,2011,1,CHI,6,4,32,6
fleurma01,2006,1,PIT,9,5,39,9
johnsbr02,2006,1,WAS,0,5,20,7
johnsbr02,2005,1,WAS,3,1,13,2
auldal01,2006,1,FLO,0,3,8,6
thibajo01,2005,1,PIT,1,1,12,3
luongro01,2010,1,VAN,3,5,26,12
auldal01,2007,2,BOS,2,3,15,5
clemmsc01,2005,1,NJD,1,1,7,3
khabini01,2007,1,CHI,2,4,19,7
vokouto01,2006,1,NAS,2,3,17,7
schneco01,2008,1,VAN,0,1,3,3
quickjo01,2008,1,LAK,4,1,14,4
schneco01,2010,1,VAN,1,0,3,0
andercr01,2005,1,CHI,0,3,7,5
valiqst01,2007,1,NYR,2,2,11,3
gustajo01,2010,1,TOR,2,1,10,4
thomati01,2008,1,BOS,4,4,28,9
elliobr01,2011,1,STL,1,3,14,5
lundqhe01,2010,1,NYR,7,3,46,7
hackema01,2011,1,MIN,1,0,5,2
kiprumi01,2009,1,CAL,2,7,27,15
rolosdw01,2007,1,EDM,5,4,37,10
peterju01,2010,1,CAR,0,1,2,2
priceca01,2011,1,MTL,5,8,40,14
greisth01,2011,1,SJS,1,1,7,2
raycran01,2005,1,BOS,0,1,2,1
schneco01,2011,1,VAN,2,1,8,3
mclenja01,2005,1,FLO,0,1,4,2
bernijo01,2009,1,LAK,1,0,6,0
raycran01,2008,1,COL,2,0,8,1
kiprumi01,2011,1,CAL,3,8,40,15
thibajo01,2005,1,PIT,1,1,12,3
rolosdw01,2011,1,TBL,2,2,15,5
elliobr01,2009,1,OTT,2,4,21,7
mclenja01,2006,1,CAL,0,1,11,4
hasekdo01,2005,1,OTT,2,4,16,6
elliobr01,2008,1,OTT,2,2,16,6
hardijo01,2006,1,MIN,0,1,3,1
fleurma01,2005,1,PIT,0,2,5,4
wardca01,2008,1,CAR,2,4,19,7
lalimpa01,2006,1,CHI,2,1,8,4
osgooch01,2009,1,DET,1,2,8,4
lindban01,2011,1,NAS,1,0,3,0
lundqhe01,2006,1,NYR,8,4,50,9
pavelon01,2009,1,ATL,0,4,11,6
budajpe01,2010,1,COL,3,0,14,1
poulike01,2010,1,NYI,0,1,3,2
labarja01,2009,1,PHO,6,1,27,8
tellqmi01,2006,2,PHO,3,1,16,4
osgooch01,2008,1,DET,4,2,21,6
sabouda01,2006,1,VAN,0,1,4,2
lalimpa01,2009,1,BUF,0,2,13,5
elliobr01,2010,1,OTT,0,4,8,6
dubiewa01,2005,1,NYI,1,0,3,0
eschero01,2006,1,PHI,0,1,2,2
bryzgil01,2008,1,PHO,2,3,20,10
backsni01,2008,1,MIN,5,2,21,5
scrivbe01,2011,1,TOR,1,1,5,2
greisth01,2009,1,SJS,1,0,6,0
labarja01,2007,1,LAK,2,1,10,5
thomati01,2011,1,BOS,7,1,26,6
backsni01,2011,1,MIN,5,6,32,15
grahajo01,2005,1,TBL,4,1,16,4
sabouda01,2008,1,PIT,3,2,19,5
hardijo01,2011,1,MIN,5,3,23,5
masonch02,2009,1,STL,5,3,28,8
schneco01,2008,1,VAN,0,1,3,3
conklty01,2007,1,PIT,2,3,15,7
smithmi02,2007,1,DAL,2,0,6,0
howarji01,2010,1,DET,3,2,17,2
labarja01,2008,2,VAN,0,2,9,5
priceca01,2007,1,MTL,3,2,22,4
varlasi01,2011,1,COL,8,0,24,2
smithmi02,2006,1,DAL,1,0,3,0
bernijo01,2010,1,LAK,0,2,5,3
budajpe01,2008,1,COL,7,4,35,13
toivoha01,2007,1,STL,1,2,9,2
gigueje01,2009,1,AND,1,2,8,4
mcelhcu01,2009,1,CAL,1,0,4,2
fleurma01,2007,1,PIT,1,0,3,0
labarja01,2009,1,PHO,6,1,27,8
bryzgil01,2007,2,PHO,5,4,26,8
eschero01,2006,1,PHI,0,1,2,2
toskave01,2006,1,SJS,0,1,3,3
millery01,2006,1,BUF,10,4,46,9
varlasi01,2009,1,WAS,3,4,33,9
macdojo01,2006,2,BOS,0,1,3,2
dipieri01,2006,1,NYI,5,4,44,9
lehtoka01,2009,1,DAL,1,0,4,0
budajpe01,2006,1,COL,3,4,27,11
josepcu01,2005,1,PHO,3,2,19,6
masonst01,2009,1,CBS,0,7,28,12
turcoma01,2005,1,DAL,8,1,24,6
luongro01,2007,1,VAN,6,8,54,15
lehtoka01,2005,1,ATL,5,0,20,3
wardca01,2011,1,CAR,1,4,14,6
niittan01,2010,1,SJS,2,0,4,0
conklty01,2011,1,DET,1,0,3,0
auldal01,2009,1,DAL,2,2,15,2
dubnyde01,2009,1,EDM,2,1,11,3
nabokev01,2007,1,SJS,6,6,40,18
niittan01,2008,1,PHI,2,3,18,6
johnsbr02,2011,1,PIT,0,1,3,2
legacma01,2009,1,CAR,2,2,16,4
nabokev01,2009,1,SJS,6,6,50,13
clemmsc01,2011,1,FLO,2,3,20,7
toivoha01,2007,1,STL,1,2,9,2
legacma01,2008,1,STL,3,1,13,4
conklty01,2010,1,STL,0,2,7,6
brodema01,2011,1,NJD,7,2,26,7
bouchbr01,2008,1,SJS,1,1,6,2
gerbema01,2006,1,OTT,1,2,10,3
schneco01,2008,1,VAN,0,1,3,3
garonma01,2007,1,EDM,10,0,32,2
fleurma01,2005,1,PIT,0,2,5,4
eschero01,2006,1,PHI,0,1,2,2
priceca01,2007,1,MTL,3,2,22,4
dubiewa01,2006,1,NYI,2,0,6,1
conklty01,2009,1,STL,2,2,10,5
bacasja01,2005,1,STL,1,0,4,1
emeryra01,2006,1,OTT,1,4,19,8
rasktu01,2011,1,BOS,2,2,14,6
crawfco01,2011,1,CHI,6,4,32,6
budajpe01,2010,1,COL,3,0,14,1
halakja01,2008,1,MTL,2,1,7,2
luongro01,2008,1,VAN,3,4,29,8
bishobe01,2010,1,STL,1,0,4,2
schaeno01,2005,1,SJS,1,0,4,1
dipieri01,2011,1,NYI,0,1,3,1
johnsbr02,2008,1,WAS,0,1,2,1
johnsbr02,2005,1,WAS,3,1,13,2
smithmi02,2008,1,TBL,2,7,27,15
lalimpa01,2006,1,CHI,2,1,8,4
