year,hofid,name,category
2003,fuhrgr01h,Grant Fuhr,Player
1963,seibeea01h,Earl Seibert,Player
1988,oconnbu01h,Buddy O'Connor,Player
1962,pitredi01h,Didier Pitre,Player
1958,mcnamge02h,George McNamara,Player
2004,murphla01h,Larry Murphy,Player
1969,wortero01h,Roy Worters,Player
1964,siebeba01h,Babe Siebert,Player
1959,adamsja01h,Jack Adams,Player
1969,norribr01h,Bruce Norris,Builder
1960,adamsch01h,Charles Adams,Builder
1979,orrbo01h,Bobby Orr,Player
1984,parenbe01h,Bernie Parent,Player
1972,adamswe01h,Weston Adams,Builder
1961,hainsge01h,George Hainsworth,Player
1997,trottbr01h,Bryan Trottier,Player
1958,clancki01h,King Clancy,Player
1980,butteja01h,Jack Butterfield,Builder
1959,thompti01h,Tiny Thompson,Player
1958,dudlege01h,George Dudley,Builder
2008,larioig01h,Igor Larionov,Player
1958,pickaal01h,Allan Pickard,Builder
1977,ahearbu01h,Bunny Ahearne,Builder
1996,arboual01h,Al Arbour,Builder
1970,gadsbbi01h,Bill Gadsby,Player
1958,gardihe01h,Herb Gardiner,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
2007,macinal01h,Al MacInnis,Player
1973,molsoha01h,Hartland Molson,Builder
2001,kurrija01h,Jari Kurri,Player
1984,milfoja01h,Jake Milford,Builder
1974,coultar01h,Art Coulter,Player
1993,lapoigu01h,Guy Lapointe,Player
1967,colvine01h,Neil Colville,Player
1990,flamafe01h,Fern Flaman,Player
1992,allenke01h,Keith Allen,Builder
1997,sathegl01h,Glen Sather,Builder
1965,howesy01h,Syd Howe,Player
1952,johnsmo01h,Moose Johnson,Player
2011,belfoed01h,Ed Belfour,Player
1950,richage01h,George Richardson,Player
1988,laflegu01h,Guy Lafleur,Player
1962,gardnji01h,Jim Gardner,Player
1945,stanlfr01h,Frederick Stanley,Builder
2002,neilsro01h,Roger Neilson,Builder
1945,bakerho01h,Hobey Baker,Player
1983,mikitst01h,Stan Mikita,Player
2001,fetisvi01h,Viacheslav Fetisov,Player
1962,obrieja01h,Ambrose O'Brien,Builder
1965,farrear01h,Art Farrell,Player
2001,hawerda01h,Dale Hawerchuk,Player
1972,belivje01h,Jean Beliveau,Player
2004,fletccl01h,Cliff Fletcher,Builder
1989,bauerda01h,David Bauer,Builder
1958,norrija02h,James Norris Sr.,Builder
2007,messima01h,Mark Messier,Player
1974,dundeto01h,Tommy Dunderdale,Player
1961,brownge03h,George Brown,Builder
1966,lachel01h,Elmer Lach,Player
1970,dyeba01h,Babe Dye,Player
1985,mariujo01h,John Mariucci,Builder
1978,bathgan01h,Andy Bathgate,Player
1962,gilmobi01h,Billy Gilmour,Player
1999,morriia01h,Scotty Morrison,Builder
1962,darraja01h,Jack Darragh,Player
1988,parkbr01h,Brad Park,Player
1964,campban01h,Angus Campbell,Builder
1994,oneilbr01h,Brian O'Neill,Builder
2008,chynoed01h,Ed Chynoweth,Builder
1969,hextabr01h,Bryan Hextall,Player
1976,rossph01h,Philip Ross,Builder
1977,hortoti01h,Tim Horton,Player
1978,bickejo01h,John Bickell,Builder
1980,patrily01h,Lynn Patrick,Player
1985,pilouru01h,Rudy Pilous,Builder
1962,brownwa02h,Walter Brown,Builder
1992,mathefr01h,Frank Mathers,Builder
